date,close
2020-12-31,348.057587
2021-01-31,344.510712
2021-02-28,354.090027
2021-03-31,370.165527
2021-04-30,389.751099
2021-05-31,392.310211
2021-06-30,401.108673
2021-07-31,410.900757
2021-08-31,423.129181
2021-09-30,403.408997
2021-10-31,431.713593
2021-11-30,428.244812
2021-12-31,448.050232
2022-01-31,424.419434
2022-02-28,411.891876
2022-03-31,427.375122
2022-04-30,389.864746
2022-05-31,390.744843
2022-06-30,358.523834
2022-07-31,391.539368
2022-08-31,375.563843
2022-09-30,340.844482
2022-10-31,368.546753
2022-11-30,389.034882
2022-12-31,366.615448
2023-01-31,389.670990
2023-02-28,379.873566
2023-03-31,393.958466
2023-04-30,400.251923
2023-05-31,402.099548
2023-06-30,428.155487
2023-07-31,442.170471
2023-08-31,434.984283
2023-09-30,414.351013
2023-10-31,405.356110
2023-11-30,442.382782
2023-12-31,462.579987
2024-01-31,469.947205
2024-02-29,494.472321
2024-03-31,510.642426
2024-04-30,490.053650
2024-05-31,514.840332
2024-06-30,533.004089
2024-07-31,539.458313
2024-08-31,552.062988
2024-09-30,563.658813
2024-10-31,558.629028
2024-11-30,591.941956
2024-12-31,577.699707
2025-01-31,593.214722
2025-02-28,585.683899
2025-03-31,553.050110
2025-04-30,548.255066
2025-05-31,582.710144
2025-06-30,612.653381
2025-07-31,626.763733
2025-08-31,639.624573
2025-09-30,662.408264
2025-10-31,678.198364
2025-11-30,679.520813
2025-12-31,680.062744
2026-01-31,690.085327
2026-02-28,684.121643
2026-03-31,634.090027
