date,side,entry_time,exit_time,spx_at_entry,spx_at_exit,short_strike,long_strike,qty,credit_received,spread_value_exit,pnl_earned,win,loss,equity_after,vix_level,indicator_value
20220103,CALL,15:52:00,16:00:00,4794.62,4796.59,4800,4810,2,0.45,0.0,86.0,1,0,50086.0,16.6,"vix1550=16.8,dist=3"
20220103,PUT,15:52:00,16:00:00,4794.62,4796.59,4790,4780,3,0.7,0.0,204.0,1,0,50290.0,16.6,"vix1550=16.8,dist=3"
20220107,PUT,15:52:00,15:59:00,4685.93,4676.51,4680,4670,2,0.5,1.55,-214.0,0,1,50076.0,18.76,"vix1550=18.7,dist=5,TOUCH@15:59"
20220107,CALL,15:52:00,16:00:00,4685.93,4677.02,4695,4705,1,0.15,0.0,13.0,1,0,50089.0,18.76,"vix1550=18.7,dist=5"
20220112,CALL,15:52:00,16:00:00,4730.26,4726.43,4735,4745,3,0.95,0.0,279.0,1,0,50368.0,17.62,"vix1550=17.7,dist=3"
20220112,PUT,15:52:00,16:00:00,4730.26,4726.43,4725,4715,3,0.9,0.0,264.0,1,0,50632.0,17.62,"vix1550=17.7,dist=3"
20220114,CALL,15:52:00,16:00:00,4659.13,4662.82,4665,4675,3,1.1,0.0,324.0,1,0,50956.0,19.19,"vix1550=19.2,dist=5"
20220114,PUT,15:52:00,16:00:00,4659.13,4662.82,4650,4640,2,0.5,0.0,96.0,1,0,51052.0,19.19,"vix1550=19.2,dist=5"
20220118,PUT,15:52:00,15:54:00,4577.65,4568.97,4570,4560,3,1.15,1.5,-111.0,0,1,50941.0,22.79,"vix1550=22.6,dist=5,TOUCH@15:54"
20220118,CALL,15:52:00,16:00:00,4577.65,4577.34,4585,4595,3,1.0,0.0,294.0,1,0,51235.0,22.79,"vix1550=22.6,dist=5"
20220119,CALL,15:52:00,16:00:00,4545.42,4532.89,4555,4565,3,0.55,0.0,159.0,1,0,51394.0,23.85,"vix1550=23.5,dist=5"
