date,entry_time,exit_time,spx_at_entry,spx_at_exit,short_strike,long_strike,qty,credit_received,spread_value_exit,pnl_earned,win,loss,equity_after,vix_level,indicator_value
20220112,15:55:00,16:00:00,4728.94,4726.43,4740,4745,5,0.05,0.0,15.0,1,0,50015.0,17.62,
20220114,15:55:00,16:00:00,4661.05,4662.82,4675,4680,5,0.1,0.0,40.0,1,0,50055.0,19.19,
20220124,15:55:00,16:00:00,4402.62,4410.5,4415,4420,5,0.6,0.0,290.0,1,0,50345.0,29.9,
20220128,15:55:00,16:00:00,4418.87,4432.0,4430,4435,5,0.25,2.0,-885.0,0,1,49460.0,27.66,
20220131,15:55:00,16:00:00,4512.29,4515.45,4525,4530,5,0.25,0.0,115.0,1,0,49575.0,24.83,
20220204,15:55:00,16:00:00,4509.16,4500.61,4520,4525,5,0.3,0.0,140.0,1,0,49715.0,23.22,
20220209,15:55:00,16:00:00,4582.46,4587.21,4595,4600,5,0.2,0.0,90.0,1,0,49805.0,19.96,
20220225,15:55:00,16:00:00,4383.67,4384.62,4395,4400,5,0.15,0.0,65.0,1,0,49870.0,27.59,
20220228,15:55:00,16:00:00,4366.93,4373.39,4380,4385,5,0.2,0.0,90.0,1,0,49960.0,30.15,
20220302,15:55:00,16:00:00,4390.44,4386.47,4405,4410,5,0.3,0.0,140.0,1,0,50100.0,30.74,
20220309,15:55:00,16:00:00,4276.45,4277.86,4290,4295,5,0.45,0.0,215.0,1,0,50315.0,32.45,
20220401,15:55:00,16:00:00,4544.83,4545.8,4555,4560,5,0.05,0.0,15.0,1,0,50330.0,19.63,
20220404,15:55:00,16:00:00,4578.41,4582.62,4590,4595,5,0.1,0.0,40.0,1,0,50370.0,18.57,
20220406,15:55:00,16:00:00,4480.29,4481.26,4500,4505,5,0.05,0.0,15.0,1,0,50385.0,22.1,
20220425,15:55:00,16:00:00,4293.94,4296.43,4305,4310,5,0.65,0.0,315.0,1,0,50700.0,27.02,
20220427,15:55:00,16:00:00,4187.99,4183.94,4200,4205,5,0.05,0.0,15.0,1,0,50715.0,31.6,
20220502,15:55:00,16:00:00,4154.16,4155.58,4165,4170,5,0.3,0.0,140.0,1,0,50855.0,32.34,
