date,side,entry_time,exit_time,spx_at_entry,spx_at_exit,short_strike,long_strike,qty,credit_received,spread_value_exit,pnl_earned,win,loss,equity_after,vix_level,indicator_value
20220103,CALL,15:55:00,16:00:00,4790.4,4796.59,4795,4800,7,0.9,1.59,-497.0,0,1,49503.0,16.6,"vix1550=16.8,dist=0"
20220107,PUT,15:55:00,16:00:00,4680.89,4677.02,4675,4670,5,0.25,0.0,115.0,1,0,49618.0,18.76,"vix1550=18.7,dist=3"
20220112,CALL,15:55:00,16:00:00,4728.94,4726.43,4735,4740,5,0.5,0.0,240.0,1,0,49858.0,17.62,"vix1550=17.7,dist=0"
20220112,PUT,15:55:00,16:00:00,4728.94,4726.43,4725,4720,5,0.35,0.0,165.0,1,0,50023.0,17.62,"vix1550=17.7,dist=0"
20220114,CALL,15:55:00,16:00:00,4661.05,4662.82,4665,4670,7,1.35,0.0,931.0,1,0,50954.0,19.19,"vix1550=19.2,dist=3"
20220118,PUT,15:55:00,16:00:00,4571.21,4577.34,4565,4560,7,0.7,0.0,476.0,1,0,51430.0,22.79,"vix1550=22.6,dist=5"
20220131,CALL,15:55:00,16:00:00,4512.29,4515.45,4520,4525,7,0.6,0.0,406.0,1,0,51836.0,24.83,"vix1550=24.9,dist=5"
20220202,CALL,15:55:00,16:00:00,4593.98,4589.31,4600,4605,3,0.15,0.0,39.0,1,0,51875.0,22.09,"vix1550=20.6,dist=3"
20220204,CALL,15:55:00,16:00:00,4509.16,4500.61,4515,4520,7,1.15,0.0,791.0,1,0,52666.0,23.22,"vix1550=22.8,dist=5"
20220207,PUT,15:55:00,16:00:00,4472.41,4483.92,4465,4460,5,0.5,0.0,240.0,1,0,52906.0,22.86,"vix1550=23.0,dist=5"
20220209,CALL,15:55:00,16:00:00,4582.46,4587.21,4590,4595,7,0.8,0.0,546.0,1,0,53452.0,19.96,"vix1550=20.0,dist=3"
20220216,CALL,15:55:00,16:00:00,4478.26,4475.1,4485,4490,5,0.4,0.0,190.0,1,0,53642.0,24.29,"vix1550=24.0,dist=5"
20220318,CALL,15:55:00,16:00:00,4463.14,4463.08,4470,4475,3,0.15,0.0,39.0,1,0,53681.0,23.87,"vix1550=24.0,dist=5"
20220321,PUT,15:55:00,16:00:00,4457.47,4461.18,4450,4445,7,0.65,0.0,441.0,1,0,54122.0,23.53,"vix1550=24.4,dist=5"
20220323,PUT,15:55:00,16:00:00,4462.19,4456.12,4455,4450,7,0.85,0.0,581.0,1,0,54703.0,23.57,"vix1550=23.4,dist=5"
20220325,CALL,15:55:00,16:00:00,4536.34,4543.06,4540,4545,7,0.85,3.06,-1561.0,0,1,53142.0,20.81,"vix1550=21.1,dist=3"
20220328,CALL,15:55:00,16:00:00,4567.14,4575.49,4575,4580,3,0.1,0.49,-123.0,0,1,53019.0,19.63,"vix1550=20.0,dist=3"
20220330,PUT,15:55:00,16:00:00,4593.25,4602.49,4590,4585,7,2.05,0.0,1421.0,1,0,54440.0,19.33,"vix1550=19.8,dist=3"
20220401,CALL,15:55:00,16:00:00,4544.83,4545.8,4550,4555,5,0.25,0.0,115.0,1,0,54555.0,19.63,"vix1550=19.8,dist=3"
20220401,PUT,15:55:00,16:00:00,4544.83,4545.8,4535,4530,3,0.15,0.0,39.0,1,0,54594.0,19.63,"vix1550=19.8,dist=3"
20220404,CALL,15:55:00,16:00:00,4578.41,4582.62,4585,4590,5,0.5,0.0,240.0,1,0,54834.0,18.57,"vix1550=18.7,dist=3"
20220406,PUT,15:55:00,16:00:00,4480.29,4481.26,4475,4470,7,0.65,0.0,441.0,1,0,55275.0,22.1,"vix1550=22.0,dist=5"
20220408,PUT,15:55:00,16:00:00,4486.04,4488.68,4480,4475,5,0.5,0.0,240.0,1,0,55515.0,21.16,"vix1550=21.4,dist=3"
20220411,PUT,15:55:00,16:00:00,4410.35,4412.83,4405,4400,7,0.65,0.0,441.0,1,0,55956.0,24.37,"vix1550=24.0,dist=5"
20220413,CALL,15:55:00,16:00:00,4445.67,4446.67,4450,4455,7,0.65,0.0,441.0,1,0,56397.0,21.82,"vix1550=21.6,dist=3"
20220414,PUT,15:55:00,16:00:00,4395.07,4392.62,4390,4385,5,0.45,0.0,215.0,1,0,56612.0,22.7,"vix1550=22.3,dist=5"
20220418,PUT,15:55:00,16:00:00,4383.5,4391.81,4375,4370,7,0.9,0.0,616.0,1,0,57228.0,22.17,"vix1550=23.0,dist=5"
20220420,PUT,15:55:00,16:00:00,4459.73,4459.4,4455,4450,5,0.45,0.0,215.0,1,0,57443.0,20.32,"vix1550=20.4,dist=3"
20220603,PUT,15:55:00,16:00:00,4110.78,4108.44,4105,4100,5,0.35,0.0,165.0,1,0,57608.0,24.79,"vix1550=25.3,dist=5"
20220606,PUT,15:55:00,16:00:00,4124.53,4121.32,4115,4110,3,0.1,0.0,24.0,1,0,57632.0,25.07,"vix1550=25.1,dist=5"
20220608,PUT,15:55:00,16:00:00,4116.47,4115.72,4110,4105,7,0.6,0.0,406.0,1,0,58038.0,23.96,"vix1550=24.1,dist=5"
20220707,CALL,15:55:00,16:00:00,3901.47,3902.43,3910,3915,3,0.1,0.0,24.0,1,0,58062.0,26.08,"vix1550=25.8,dist=5"
20220708,CALL,15:55:00,16:00:00,3904.79,3899.37,3910,3915,3,0.15,0.0,39.0,1,0,58101.0,24.64,"vix1550=24.7,dist=5"
20220722,PUT,15:55:00,16:00:00,3957.52,3961.9,3950,3945,3,0.1,0.0,24.0,1,0,58125.0,23.03,"vix1550=23.2,dist=5"
20220729,CALL,15:55:00,16:00:00,4131.54,4130.44,4135,4140,7,1.0,0.0,686.0,1,0,58811.0,21.33,"vix1550=21.5,dist=3"
20220801,CALL,15:55:00,16:00:00,4117.0,4118.62,4125,4130,3,0.15,0.0,39.0,1,0,58850.0,22.84,"vix1550=22.9,dist=5"
20220803,CALL,15:55:00,16:00:00,4161.17,4155.12,4165,4170,7,0.9,0.0,616.0,1,0,59466.0,21.95,"vix1550=21.8,dist=3"
20220804,PUT,15:55:00,16:00:00,4148.08,4152.02,4145,4140,3,0.15,0.0,39.0,1,0,59505.0,21.44,"vix1550=21.7,dist=3"
20220811,PUT,15:55:00,16:00:00,4208.53,4207.34,4205,4200,3,0.15,0.0,39.0,1,0,59544.0,20.2,"vix1550=20.4,dist=3"
20220815,CALL,15:55:00,16:00:00,4296.19,4297.14,4300,4305,3,0.2,0.0,54.0,1,0,59598.0,19.95,"vix1550=20.0,dist=3"
