date,side,entry_time,exit_time,spx_at_entry,spx_at_exit,short_strike,long_strike,qty,credit_received,spread_value_exit,pnl_earned,win,loss,equity_after,vix_level,indicator_value
20220105,CALL,15:52:00,16:00:00,4710.92,4700.67,4720,4730,2,0.5,0.0,96.0,1,0,50096.0,19.73,"vix1550=19.5,dist=5"
20220118,PUT,15:52:00,15:54:00,4577.65,4568.97,4570,4560,3,1.15,1.5,-111.0,0,1,49985.0,22.79,"vix1550=22.6,dist=5,TOUCH@15:54"
20220118,CALL,15:52:00,16:00:00,4577.65,4577.34,4585,4595,3,1.0,0.0,294.0,1,0,50279.0,22.79,"vix1550=22.6,dist=5"
20220119,CALL,15:52:00,16:00:00,4545.42,4532.89,4555,4565,3,0.55,0.0,159.0,1,0,50438.0,23.85,"vix1550=23.5,dist=5"
20220131,CALL,15:52:00,15:57:00,4509.22,4515.61,4515,4525,4,1.55,2.4,-348.0,0,1,50090.0,24.83,"vix1550=24.9,dist=5,TOUCH@15:57"
20220131,PUT,15:52:00,16:00:00,4509.22,4515.45,4500,4490,3,1.15,0.0,339.0,1,0,50429.0,24.83,"vix1550=24.9,dist=5"
20220204,PUT,15:52:00,15:59:00,4512.46,4499.81,4505,4495,3,1.0,1.9,-276.0,0,1,50153.0,23.22,"vix1550=22.8,dist=5,TOUCH@15:59"
20220204,CALL,15:52:00,16:00:00,4512.46,4500.61,4520,4530,4,1.25,0.0,492.0,1,0,50645.0,23.22,"vix1550=22.8,dist=5"
20220318,CALL,15:52:00,16:00:00,4457.28,4463.08,4465,4475,3,0.85,0.0,249.0,1,0,50894.0,23.87,"vix1550=24.0,dist=5"
20220318,PUT,15:52:00,16:00:00,4457.28,4463.08,4450,4440,3,0.95,0.0,279.0,1,0,51173.0,23.87,"vix1550=24.0,dist=5"
20220328,CALL,15:52:00,15:57:00,4562.55,4571.42,4570,4580,2,0.3,1.55,-254.0,0,1,50919.0,19.63,"vix1550=20.0,dist=5,TOUCH@15:57"
