date,year,side,short_strike,credit,qty,pnl,exit,exit_time
20220404,2022,CALL,4590,0.30000000000000004,3,84.00000000000001,expire,16:00
20220404,2022,PUT,4575,0.1,3,24.000000000000004,expire,16:00
20220406,2022,CALL,4495,0.8,3,234.00000000000003,expire,16:00
20220406,2022,PUT,4480,0.8500000000000001,3,249.00000000000003,expire,16:00
20220408,2022,CALL,4495,0.35,3,98.99999999999999,expire,16:00
20220408,2022,PUT,4480,0.5999999999999999,3,173.99999999999997,expire,16:00
20220411,2022,CALL,4420,0.5,3,144.0,expire,16:00
20220411,2022,PUT,4410,0.9500000000000001,3,-381.0,touch,15:55
20220413,2022,CALL,4455,0.45000000000000007,3,129.0,expire,16:00
20220413,2022,PUT,4445,0.6000000000000001,3,174.00000000000003,expire,16:00
20220414,2022,CALL,4400,0.6500000000000001,3,189.00000000000003,expire,16:00
20220414,2022,PUT,4390,0.7000000000000001,3,204.0,expire,16:00
20220418,2022,CALL,4380,0.4,3,-336.0,touch,15:55
20220418,2022,PUT,4365,0.45000000000000007,3,129.0,expire,16:00
20220420,2022,CALL,4470,0.9000000000000001,3,264.0,expire,16:00
20220420,2022,PUT,4460,0.4999999999999999,3,-411.00000000000006,touch,15:56
20220422,2022,CALL,4280,1.1500000000000004,3,-290.9999999999998,touch,15:53
20220422,2022,PUT,4270,1.2999999999999998,4,31.999999999999943,touch,15:59
20220425,2022,CALL,4300,1.0999999999999999,3,324.0,expire,16:00
20220425,2022,PUT,4290,1.0999999999999999,3,324.0,expire,16:00
20220427,2022,CALL,4185,1.2999999999999998,4,-548.0000000000002,touch,15:53
20220427,2022,PUT,4175,0.9999999999999998,3,293.9999999999999,expire,16:00
20220429,2022,CALL,4140,1.0,3,294.0,expire,16:00
20220429,2022,PUT,4130,1.15,3,-351.0,touch,15:54
20220502,2022,CALL,4160,0.9999999999999998,3,293.9999999999999,expire,16:00
20220502,2022,PUT,4145,0.5499999999999998,3,158.99999999999994,expire,16:00
20220504,2022,CALL,4310,1.1,3,324.0,expire,16:00
20220504,2022,PUT,4300,1.1500000000000004,3,-500.99999999999983,touch,15:55
20220506,2022,CALL,4135,0.75,3,219.0,expire,16:00
20220506,2022,PUT,4125,1.0,3,-500.99999999999983,touch,15:55
20220509,2022,CALL,3980,1.25,4,-468.0000000000001,touch,15:53
20220509,2022,PUT,3970,1.4,4,552.0,expire,16:00
20220510,2022,CALL,4000,1.05,3,-201.00000000000003,touch,15:53
20220510,2022,PUT,3990,1.0499999999999998,3,308.99999999999994,expire,16:00
20220511,2022,CALL,3940,1.1500000000000001,3,339.0,expire,16:00
20220511,2022,PUT,3930,0.8500000000000001,3,-425.99999999999994,touch,15:54
20220513,2022,CALL,4015,1.1,3,-81.0,touch,15:54
20220513,2022,PUT,4005,1.2000000000000002,3,354.00000000000006,expire,16:00
20220516,2022,CALL,4020,0.7999999999999999,3,234.0,expire,16:00
20220516,2022,PUT,4010,0.9999999999999999,3,-201.00000000000003,touch,15:54
20220517,2022,CALL,4090,0.7000000000000001,3,204.0,expire,16:00
20220517,2022,PUT,4075,0.7,3,203.99999999999997,expire,16:00
20220518,2022,CALL,3925,0.8500000000000001,3,9.000000000000014,touch,15:58
20220518,2022,PUT,3915,0.95,3,-440.99999999999994,touch,15:54
20220519,2022,CALL,3905,0.45000000000000007,3,-320.99999999999994,touch,15:55
20220519,2022,PUT,3890,0.35000000000000003,3,99.0,expire,16:00
20220520,2022,CALL,3900,1.3,4,-247.99999999999994,touch,15:57
20220520,2022,PUT,3890,1.15,3,-381.0000000000001,touch,15:53
20220523,2022,CALL,3970,0.7,3,-336.0,touch,15:53
20220523,2022,PUT,3960,0.9,3,264.0,expire,16:00
20220524,2022,CALL,3950,1.0500000000000003,3,309.00000000000006,expire,16:00
20220524,2022,PUT,3940,0.8499999999999999,3,-380.9999999999999,touch,15:53
20220525,2022,CALL,3975,1.0,3,-306.0,touch,15:54
20220525,2022,PUT,3965,0.5499999999999999,3,159.0,expire,16:00
20220526,2022,CALL,4070,0.9,3,264.0,expire,16:00
20220526,2022,PUT,4060,0.8500000000000001,3,-530.9999999999998,touch,15:56
20220527,2022,CALL,4150,0.7,3,-246.00000000000003,touch,15:55
20220527,2022,PUT,4140,0.65,3,189.00000000000003,expire,16:00
20220531,2022,CALL,4160,0.8,3,234.00000000000003,expire,16:00
20220531,2022,PUT,4145,0.7999999999999999,3,-441.00000000000006,touch,15:54
20220601,2022,CALL,4125,0.6,3,173.99999999999997,expire,16:00
20220601,2022,PUT,4115,0.95,3,-171.00000000000009,touch,15:53
20220602,2022,CALL,4175,0.39999999999999997,3,-261.0,touch,15:56
20220602,2022,PUT,4165,0.75,3,219.0,expire,16:00
20220603,2022,CALL,4110,1.05,3,-380.9999999999999,touch,15:53
20220603,2022,PUT,4100,0.75,3,219.0,expire,16:00
20220606,2022,CALL,4125,1.05,3,-276.0,touch,15:55
20220606,2022,PUT,4115,0.55,3,159.0,expire,16:00
20220607,2022,CALL,4165,0.8999999999999999,3,264.0,expire,16:00
20220607,2022,PUT,4155,0.3,3,83.99999999999999,expire,16:00
20220608,2022,CALL,4120,0.65,3,189.00000000000003,expire,16:00
20220608,2022,PUT,4110,0.7,3,203.99999999999997,expire,16:00
20220609,2022,CALL,4035,0.75,3,219.0,expire,16:00
20220609,2022,PUT,4025,0.9,3,39.00000000000001,touch,15:55
20220610,2022,CALL,3920,0.8,3,234.00000000000003,expire,16:00
20220610,2022,PUT,3910,0.75,3,-306.0,touch,15:54
20220613,2022,CALL,3740,0.75,3,-606.0,touch,15:53
20220613,2022,PUT,3730,1.1,3,324.0,expire,16:00
20220614,2022,CALL,3745,0.4999999999999999,3,143.99999999999994,expire,16:00
20220614,2022,PUT,3730,0.75,3,219.0,expire,16:00
20220615,2022,CALL,3790,0.9000000000000004,3,-605.9999999999998,touch,15:55
20220615,2022,PUT,3780,1.5,4,592.0,expire,16:00
20220616,2022,CALL,3655,1.15,3,-651.0000000000001,touch,15:53
20220616,2022,PUT,3645,1.0000000000000002,3,294.0000000000001,expire,16:00
20220617,2022,CALL,3680,0.9000000000000001,3,-336.0,touch,15:53
20220617,2022,PUT,3670,0.8999999999999999,3,264.0,expire,16:00
20220621,2022,CALL,3775,0.5,3,144.0,expire,16:00
20220621,2022,PUT,3765,0.5499999999999999,3,-261.0,touch,15:57
20220622,2022,CALL,3770,0.4,3,-471.00000000000006,touch,15:54
20220622,2022,PUT,3755,0.55,3,159.0,expire,16:00
20220623,2022,CALL,3810,0.2,3,54.00000000000001,expire,16:00
20220623,2022,PUT,3795,0.35,3,-396.00000000000006,touch,15:54
20220624,2022,CALL,3910,0.39999999999999997,3,8.999999999999996,touch,15:59
20220624,2022,PUT,3900,0.55,3,159.0,expire,16:00
20220627,2022,CALL,3900,0.5,3,8.999999999999996,touch,15:59
20220627,2022,PUT,3885,0.45000000000000007,3,129.0,expire,16:00
20220628,2022,CALL,3830,0.5,3,144.0,expire,16:00
20220628,2022,PUT,3820,0.8500000000000001,3,249.00000000000003,expire,16:00
20220629,2022,CALL,3825,0.39999999999999997,3,114.0,expire,16:00
20220629,2022,PUT,3810,0.39999999999999997,3,114.0,expire,16:00
20220630,2022,CALL,3785,1.1999999999999997,3,278.99999999999994,touch,15:59
20220630,2022,PUT,3775,1.0,3,-261.0,touch,15:53
20220701,2022,CALL,3825,1.1,3,174.00000000000003,touch,15:59
20220701,2022,PUT,3815,0.45000000000000007,3,129.0,expire,16:00
20220705,2022,CALL,3835,0.3,3,83.99999999999999,expire,16:00
20220705,2022,PUT,3820,0.35,3,98.99999999999999,expire,16:00
20220706,2022,CALL,3850,0.6000000000000001,3,174.00000000000003,expire,16:00
20220706,2022,PUT,3840,0.7000000000000001,3,-246.0,touch,15:53
20220707,2022,CALL,3905,1.0,3,-156.0,touch,15:57
20220707,2022,PUT,3895,0.4,3,114.00000000000001,expire,16:00
20220708,2022,CALL,3905,0.75,3,-246.00000000000003,touch,15:55
20220708,2022,PUT,3895,0.45000000000000007,3,129.0,expire,16:00
20220711,2022,CALL,3855,0.15,3,38.99999999999999,expire,16:00
20220711,2022,PUT,3840,0.15,3,38.99999999999999,expire,16:00
20220712,2022,CALL,3825,0.4,3,114.00000000000001,expire,16:00
20220712,2022,PUT,3810,0.44999999999999996,3,129.0,expire,16:00
20220713,2022,CALL,3810,0.4,3,-216.0,touch,15:57
20220713,2022,PUT,3795,0.45000000000000007,3,129.0,expire,16:00
20220714,2022,CALL,3795,0.7,3,203.99999999999997,expire,16:00
20220714,2022,PUT,3785,0.35000000000000003,3,99.0,expire,16:00
20220715,2022,CALL,3855,0.5499999999999999,3,-155.99999999999994,touch,15:54
20220715,2022,PUT,3845,0.35,3,98.99999999999999,expire,16:00
20220718,2022,CALL,3830,0.8,3,-261.0,touch,15:54
20220718,2022,PUT,3820,0.9,3,264.0,expire,16:00
