label,entry,dist,width,touch,sides,pnl,dd,wr,n,sharpe,pf,worst
"BOTH, 15:53, d=3, t=$+0.5, w=5",15:53,3,5,0.5,BOTH,12050,-4336,66.4,1018,1.09,1.2,-788
"BOTH, 15:53, d=3, t=$+0.5, w=10",15:53,3,10,0.5,BOTH,13127,-951,68.7,1048,2.42,1.57,-644
"PUT, 15:53, d=3, t=$+1.0, w=5",15:53,3,5,1.0,PUT,1343,-3631,60.0,497,0.23,1.04,-788
"PUT, 15:53, d=3, t=$+1.0, w=10",15:53,3,10,1.0,PUT,4644,-862,63.1,517,1.5,1.33,-644
"BOTH, 15:53, d=3, t=$+1.0, w=5",15:53,3,5,1.0,BOTH,4805,-6099,61.7,1018,0.45,1.08,-788
"BOTH, 15:53, d=3, t=$+1.0, w=10",15:53,3,10,1.0,BOTH,10132,-976,64.6,1048,1.91,1.43,-644
"PUT, 15:53, d=3, t=$+2.0, w=5",15:53,3,5,2.0,PUT,-2342,-5702,54.1,497,-0.42,0.93,-788
"PUT, 15:53, d=3, t=$+2.0, w=10",15:53,3,10,2.0,PUT,2934,-889,58.4,517,0.98,1.22,-644
"BOTH, 15:53, d=3, t=$+2.0, w=5",15:53,3,5,2.0,BOTH,-4735,-10219,55.1,1018,-0.47,0.92,-788
"BOTH, 15:53, d=3, t=$+2.0, w=10",15:53,3,10,2.0,BOTH,5742,-1110,58.8,1048,1.12,1.24,-644
"PUT, 15:53, d=5, t=None, w=5",15:53,5,5,,PUT,-32900,-32978,12.8,452,-11.5,0.07,-576
"PUT, 15:53, d=5, t=None, w=10",15:53,5,10,,PUT,-11364,-11420,19.4,499,-7.49,0.15,-444
"BOTH, 15:53, d=5, t=None, w=5",15:53,5,5,,BOTH,-55041,-55110,13.3,879,-11.56,0.07,-576
"BOTH, 15:53, d=5, t=None, w=10",15:53,5,10,,BOTH,-18269,-18310,20.0,967,-7.48,0.16,-444
"PUT, 15:53, d=5, t=$-0.5, w=5",15:53,5,5,-0.5,PUT,7833,-2568,77.4,452,1.57,1.31,-576
"PUT, 15:53, d=5, t=$-0.5, w=10",15:53,5,10,-0.5,PUT,7397,-891,80.0,499,2.8,1.72,-444
"BOTH, 15:53, d=5, t=$-0.5, w=5",15:53,5,5,-0.5,BOTH,19186,-2409,79.7,879,2.21,1.47,-576
"BOTH, 15:53, d=5, t=$-0.5, w=10",15:53,5,10,-0.5,BOTH,15181,-749,81.9,967,3.4,1.96,-444
"PUT, 15:53, d=5, t=$+0.0, w=5",15:53,5,5,0,PUT,8730,-1986,76.8,452,1.82,1.37,-576
"PUT, 15:53, d=5, t=$+0.0, w=10",15:53,5,10,0,PUT,7806,-797,79.6,499,3.05,1.81,-444
"BOTH, 15:53, d=5, t=$+0.0, w=5",15:53,5,5,0,BOTH,18109,-2604,78.2,879,2.16,1.46,-576
"BOTH, 15:53, d=5, t=$+0.0, w=10",15:53,5,10,0,BOTH,14701,-688,80.4,967,3.39,1.96,-444
"PUT, 15:53, d=5, t=$+0.5, w=5",15:53,5,5,0.5,PUT,8190,-1713,74.1,452,1.78,1.35,-576
"PUT, 15:53, d=5, t=$+0.5, w=10",15:53,5,10,0.5,PUT,7711,-656,77.0,499,3.11,1.84,-444
"BOTH, 15:53, d=5, t=$+0.5, w=5",15:53,5,5,0.5,BOTH,15589,-2169,75.4,879,1.92,1.39,-576
"BOTH, 15:53, d=5, t=$+0.5, w=10",15:53,5,10,0.5,BOTH,13831,-652,77.9,967,3.27,1.91,-444
"PUT, 15:53, d=5, t=$+1.0, w=5",15:53,5,5,1.0,PUT,5925,-2220,69.9,452,1.31,1.25,-576
"PUT, 15:53, d=5, t=$+1.0, w=10",15:53,5,10,1.0,PUT,6856,-659,73.7,499,2.8,1.74,-444
"BOTH, 15:53, d=5, t=$+1.0, w=5",15:53,5,5,1.0,BOTH,12064,-2544,71.8,879,1.52,1.3,-576
"BOTH, 15:53, d=5, t=$+1.0, w=10",15:53,5,10,1.0,BOTH,12281,-668,74.9,967,2.94,1.79,-444
"PUT, 15:53, d=5, t=$+2.0, w=5",15:53,5,5,2.0,PUT,1875,-3186,63.3,452,0.43,1.08,-576
"PUT, 15:53, d=5, t=$+2.0, w=10",15:53,5,10,2.0,PUT,4816,-781,68.5,499,2.04,1.51,-444
"BOTH, 15:53, d=5, t=$+2.0, w=5",15:53,5,5,2.0,BOTH,4459,-3735,65.3,879,0.59,1.11,-576
"BOTH, 15:53, d=5, t=$+2.0, w=10",15:53,5,10,2.0,BOTH,8841,-696,69.6,967,2.2,1.56,-444
"PUT, 15:54, d=0, t=None, w=5",15:54,0,5,,PUT,-46591,-47626,35.3,484,-7.09,0.23,-1028
"PUT, 15:54, d=0, t=None, w=10",15:54,0,10,,PUT,-13845,-14522,41.2,486,-4.23,0.41,-634
"BOTH, 15:54, d=0, t=None, w=5",15:54,0,5,,BOTH,-105896,-106396,33.0,1007,-7.45,0.21,-1528
"BOTH, 15:54, d=0, t=None, w=10",15:54,0,10,,BOTH,-34705,-35138,39.4,1010,-4.81,0.33,-1004
"PUT, 15:54, d=0, t=$-0.5, w=5",15:54,0,5,-0.5,PUT,9002,-8124,58.7,484,0.98,1.17,-1028
"PUT, 15:54, d=0, t=$-0.5, w=10",15:54,0,10,-0.5,PUT,10241,-1817,60.9,486,2.21,1.48,-634
"BOTH, 15:54, d=0, t=$-0.5, w=5",15:54,0,5,-0.5,BOTH,11007,-13943,58.9,1007,0.56,1.1,-1528
"BOTH, 15:54, d=0, t=$-0.5, w=10",15:54,0,10,-0.5,BOTH,13726,-2517,61.9,1010,1.43,1.3,-1004
"PUT, 15:54, d=0, t=$+0.0, w=5",15:54,0,5,0,PUT,5844,-7884,57.0,484,0.64,1.11,-1028
"PUT, 15:54, d=0, t=$+0.0, w=10",15:54,0,10,0,PUT,9075,-1758,60.1,486,1.96,1.42,-634
"BOTH, 15:54, d=0, t=$+0.0, w=5",15:54,0,5,0,BOTH,-1816,-17633,55.2,1007,-0.09,0.98,-1528
"BOTH, 15:54, d=0, t=$+0.0, w=10",15:54,0,10,0,BOTH,8785,-2874,58.8,1010,0.92,1.19,-1004
"PUT, 15:54, d=0, t=$+0.5, w=5",15:54,0,5,0.5,PUT,-3151,-10278,52.1,484,-0.36,0.94,-1028
"PUT, 15:54, d=0, t=$+0.5, w=10",15:54,0,10,0.5,PUT,5150,-2330,56.8,486,1.16,1.24,-634
"BOTH, 15:54, d=0, t=$+0.5, w=5",15:54,0,5,0.5,BOTH,-15196,-27718,51.8,1007,-0.8,0.87,-1528
"BOTH, 15:54, d=0, t=$+0.5, w=10",15:54,0,10,0.5,BOTH,2880,-4266,56.5,1010,0.31,1.06,-1004
"PUT, 15:54, d=0, t=$+1.0, w=5",15:54,0,5,1.0,PUT,-8096,-12977,48.8,484,-0.93,0.86,-1028
"PUT, 15:54, d=0, t=$+1.0, w=10",15:54,0,10,1.0,PUT,3400,-2620,53.5,486,0.77,1.15,-634
"BOTH, 15:54, d=0, t=$+1.0, w=5",15:54,0,5,1.0,BOTH,-24966,-32993,49.3,1007,-1.34,0.79,-1528
"BOTH, 15:54, d=0, t=$+1.0, w=10",15:54,0,10,1.0,BOTH,-1095,-6642,54.0,1010,-0.12,0.98,-1004
"PUT, 15:54, d=0, t=$+2.0, w=5",15:54,0,5,2.0,PUT,-14331,-16768,47.7,484,-1.72,0.74,-1028
"PUT, 15:54, d=0, t=$+2.0, w=10",15:54,0,10,2.0,PUT,795,-2992,52.1,486,0.18,1.04,-634
"BOTH, 15:54, d=0, t=$+2.0, w=5",15:54,0,5,2.0,BOTH,-46226,-50264,45.7,1007,-2.61,0.63,-1528
"BOTH, 15:54, d=0, t=$+2.0, w=10",15:54,0,10,2.0,BOTH,-9185,-12119,50.4,1010,-1.03,0.81,-1004
"PUT, 15:54, d=1, t=None, w=5",15:54,1,5,,PUT,-42949,-43890,33.1,489,-7.54,0.2,-868
"PUT, 15:54, d=1, t=None, w=10",15:54,1,10,,PUT,-12900,-13522,38.4,500,-4.61,0.38,-624
"BOTH, 15:54, d=1, t=None, w=5",15:54,1,5,,BOTH,-97163,-97666,30.4,1014,-7.9,0.17,-1528
"BOTH, 15:54, d=1, t=None, w=10",15:54,1,10,,BOTH,-32925,-33305,36.1,1027,-5.14,0.28,-1004
"PUT, 15:54, d=1, t=$-0.5, w=5",15:54,1,5,-0.5,PUT,12814,-4951,64.8,489,1.58,1.28,-868
"PUT, 15:54, d=1, t=$-0.5, w=10",15:54,1,10,-0.5,PUT,11111,-1881,67.2,500,2.76,1.62,-624
"BOTH, 15:54, d=1, t=$-0.5, w=5",15:54,1,5,-0.5,BOTH,15985,-9269,64.3,1014,0.95,1.17,-1528
"BOTH, 15:54, d=1, t=$-0.5, w=10",15:54,1,10,-0.5,BOTH,13606,-3103,66.7,1027,1.63,1.36,-1004
"PUT, 15:54, d=1, t=$+0.0, w=5",15:54,1,5,0,PUT,10096,-5146,62.8,489,1.26,1.22,-868
"PUT, 15:54, d=1, t=$+0.0, w=10",15:54,1,10,0,PUT,10120,-1897,66.0,500,2.52,1.57,-624
"BOTH, 15:54, d=1, t=$+0.0, w=5",15:54,1,5,0,BOTH,6212,-10825,60.9,1014,0.37,1.06,-1528
"BOTH, 15:54, d=1, t=$+0.0, w=10",15:54,1,10,0,BOTH,9855,-3204,64.1,1027,1.18,1.25,-1004
"PUT, 15:54, d=1, t=$+0.5, w=5",15:54,1,5,0.5,PUT,4276,-6106,58.5,489,0.54,1.09,-868
"PUT, 15:54, d=1, t=$+0.5, w=10",15:54,1,10,0.5,PUT,7750,-1832,62.4,500,1.95,1.42,-624
"BOTH, 15:54, d=1, t=$+0.5, w=5",15:54,1,5,0.5,BOTH,-2943,-16750,57.6,1014,-0.18,0.97,-1528
"BOTH, 15:54, d=1, t=$+0.5, w=10",15:54,1,10,0.5,BOTH,5990,-3292,61.3,1027,0.72,1.15,-1004
"PUT, 15:54, d=1, t=$+1.0, w=5",15:54,1,5,1.0,PUT,-74,-7728,55.0,489,-0.01,1.0,-868
"PUT, 15:54, d=1, t=$+1.0, w=10",15:54,1,10,1.0,PUT,6145,-1832,58.6,500,1.55,1.33,-624
"BOTH, 15:54, d=1, t=$+1.0, w=5",15:54,1,5,1.0,BOTH,-12763,-23020,54.7,1014,-0.78,0.87,-1528
"BOTH, 15:54, d=1, t=$+1.0, w=10",15:54,1,10,1.0,BOTH,2365,-3887,58.2,1027,0.29,1.06,-1004
"PUT, 15:54, d=1, t=$+2.0, w=5",15:54,1,5,2.0,PUT,-6874,-11603,52.6,489,-0.91,0.86,-868
"PUT, 15:54, d=1, t=$+2.0, w=10",15:54,1,10,2.0,PUT,3165,-1871,55.8,500,0.83,1.17,-624
"BOTH, 15:54, d=1, t=$+2.0, w=5",15:54,1,5,2.0,BOTH,-30538,-35386,50.1,1014,-1.94,0.71,-1528
"BOTH, 15:54, d=1, t=$+2.0, w=10",15:54,1,10,2.0,BOTH,-4785,-8841,53.8,1027,-0.6,0.89,-1004
"PUT, 15:54, d=2, t=None, w=5",15:54,2,5,,PUT,-40144,-40660,29.1,491,-8.03,0.17,-848
"PUT, 15:54, d=2, t=None, w=10",15:54,2,10,,PUT,-11971,-12350,34.9,510,-4.91,0.35,-624
"BOTH, 15:54, d=2, t=None, w=5",15:54,2,5,,BOTH,-88976,-89267,26.4,1014,-8.3,0.14,-1528
"BOTH, 15:54, d=2, t=None, w=10",15:54,2,10,,BOTH,-29685,-29902,32.2,1037,-5.44,0.25,-1004
"PUT, 15:54, d=2, t=$-0.5, w=5",15:54,2,5,-0.5,PUT,13659,-3287,70.1,491,1.92,1.36,-848
"PUT, 15:54, d=2, t=$-0.5, w=10",15:54,2,10,-0.5,PUT,11695,-1257,72.5,510,3.26,1.8,-624
"BOTH, 15:54, d=2, t=$-0.5, w=5",15:54,2,5,-0.5,BOTH,17150,-5836,70.7,1014,1.18,1.22,-1528
"BOTH, 15:54, d=2, t=$-0.5, w=10",15:54,2,10,-0.5,BOTH,14547,-2021,72.5,1037,2.03,1.48,-1004
"PUT, 15:54, d=2, t=$+0.0, w=5",15:54,2,5,0,PUT,11801,-3812,68.8,491,1.67,1.31,-848
"PUT, 15:54, d=2, t=$+0.0, w=10",15:54,2,10,0,PUT,10879,-1449,71.6,510,3.04,1.74,-624
"BOTH, 15:54, d=2, t=$+0.0, w=5",15:54,2,5,0,BOTH,9919,-6406,67.9,1014,0.69,1.13,-1528
"BOTH, 15:54, d=2, t=$+0.0, w=10",15:54,2,10,0,BOTH,11640,-2153,70.1,1037,1.62,1.37,-1004
"PUT, 15:54, d=2, t=$+0.5, w=5",15:54,2,5,0.5,PUT,6391,-4082,64.4,491,0.92,1.16,-848
"PUT, 15:54, d=2, t=$+0.5, w=10",15:54,2,10,0.5,PUT,8734,-1552,68.4,510,2.47,1.58,-624
"BOTH, 15:54, d=2, t=$+0.5, w=5",15:54,2,5,0.5,BOTH,604,-8241,63.9,1014,0.04,1.01,-1528
"BOTH, 15:54, d=2, t=$+0.5, w=10",15:54,2,10,0.5,BOTH,7785,-2248,67.3,1037,1.09,1.24,-1004
"PUT, 15:54, d=2, t=$+1.0, w=5",15:54,2,5,1.0,PUT,616,-5579,59.9,491,0.09,1.01,-848
"PUT, 15:54, d=2, t=$+1.0, w=10",15:54,2,10,1.0,PUT,6539,-1662,63.5,510,1.85,1.41,-624
"BOTH, 15:54, d=2, t=$+1.0, w=5",15:54,2,5,1.0,BOTH,-7906,-14861,60.5,1014,-0.56,0.91,-1528
"BOTH, 15:54, d=2, t=$+1.0, w=10",15:54,2,10,1.0,BOTH,4565,-2338,63.5,1037,0.64,1.14,-1004
"PUT, 15:54, d=2, t=$+2.0, w=5",15:54,2,5,2.0,PUT,-3469,-7692,57.0,491,-0.52,0.92,-848
"PUT, 15:54, d=2, t=$+2.0, w=10",15:54,2,10,2.0,PUT,4564,-1890,60.4,510,1.33,1.29,-624
"BOTH, 15:54, d=2, t=$+2.0, w=5",15:54,2,5,2.0,BOTH,-21356,-23987,55.2,1014,-1.56,0.76,-1528
"BOTH, 15:54, d=2, t=$+2.0, w=10",15:54,2,10,2.0,BOTH,-955,-3736,58.6,1037,-0.14,0.97,-1004
"PUT, 15:54, d=3, t=None, w=5",15:54,3,5,,PUT,-35605,-36121,26.1,479,-8.42,0.15,-728
"PUT, 15:54, d=3, t=None, w=10",15:54,3,10,,PUT,-10545,-10929,32.3,511,-5.25,0.33,-292
"BOTH, 15:54, d=3, t=None, w=5",15:54,3,5,,BOTH,-76325,-76616,24.1,970,-8.41,0.13,-1176
"BOTH, 15:54, d=3, t=None, w=10",15:54,3,10,,BOTH,-25557,-25779,30.2,1018,-5.59,0.24,-844
"PUT, 15:54, d=3, t=$-0.5, w=5",15:54,3,5,-0.5,PUT,14603,-2796,73.7,479,2.4,1.48,-728
"PUT, 15:54, d=3, t=$-0.5, w=10",15:54,3,10,-0.5,PUT,11686,-862,75.7,511,3.81,2.0,-292
"BOTH, 15:54, d=3, t=$-0.5, w=5",15:54,3,5,-0.5,BOTH,18226,-4812,74.3,970,1.49,1.3,-1176
"BOTH, 15:54, d=3, t=$-0.5, w=10",15:54,3,10,-0.5,BOTH,14605,-1970,76.0,1018,2.4,1.6,-844
"PUT, 15:54, d=3, t=$+0.0, w=5",15:54,3,5,0,PUT,12995,-2823,72.2,479,2.16,1.43,-728
"PUT, 15:54, d=3, t=$+0.0, w=10",15:54,3,10,0,PUT,10990,-1133,74.6,511,3.6,1.93,-292
"BOTH, 15:54, d=3, t=$+0.0, w=5",15:54,3,5,0,BOTH,11950,-5025,71.9,970,0.98,1.19,-1176
"BOTH, 15:54, d=3, t=$+0.0, w=10",15:54,3,10,0,BOTH,11963,-2100,73.8,1018,1.96,1.47,-844
"PUT, 15:54, d=3, t=$+0.5, w=5",15:54,3,5,0.5,PUT,9260,-2703,68.1,479,1.56,1.29,-728
"PUT, 15:54, d=3, t=$+0.5, w=10",15:54,3,10,0.5,PUT,9540,-1068,71.6,511,3.16,1.79,-292
"BOTH, 15:54, d=3, t=$+0.5, w=5",15:54,3,5,0.5,BOTH,4990,-5863,67.8,970,0.41,1.08,-1176
"BOTH, 15:54, d=3, t=$+0.5, w=10",15:54,3,10,0.5,BOTH,9123,-2202,70.7,1018,1.51,1.35,-844
"PUT, 15:54, d=3, t=$+1.0, w=5",15:54,3,5,1.0,PUT,4640,-3223,64.3,479,0.78,1.14,-728
"PUT, 15:54, d=3, t=$+1.0, w=10",15:54,3,10,1.0,PUT,7805,-1188,67.5,511,2.58,1.61,-292
"BOTH, 15:54, d=3, t=$+1.0, w=5",15:54,3,5,1.0,BOTH,-2840,-12163,64.5,970,-0.24,0.96,-1176
"BOTH, 15:54, d=3, t=$+1.0, w=10",15:54,3,10,1.0,BOTH,6183,-2675,67.2,1018,1.02,1.22,-844
"PUT, 15:54, d=3, t=$+2.0, w=5",15:54,3,5,2.0,PUT,1010,-5615,60.8,479,0.17,1.03,-728
"PUT, 15:54, d=3, t=$+2.0, w=10",15:54,3,10,2.0,PUT,5930,-1157,63.8,511,2.01,1.45,-292
"BOTH, 15:54, d=3, t=$+2.0, w=5",15:54,3,5,2.0,BOTH,-11600,-17689,59.4,970,-0.99,0.84,-1176
"BOTH, 15:54, d=3, t=$+2.0, w=10",15:54,3,10,2.0,BOTH,2293,-2615,62.6,1018,0.39,1.08,-844
"PUT, 15:54, d=5, t=None, w=5",15:54,5,5,,PUT,-28907,-29174,19.5,415,-9.65,0.1,-546
"PUT, 15:54, d=5, t=None, w=10",15:54,5,10,,PUT,-9424,-9616,26.5,471,-6.53,0.23,-292
"BOTH, 15:54, d=5, t=None, w=5",15:54,5,5,,BOTH,-57372,-57372,18.7,811,-9.02,0.09,-1008
"BOTH, 15:54, d=5, t=None, w=10",15:54,5,10,,BOTH,-19649,-19704,24.4,900,-6.42,0.18,-552
"PUT, 15:54, d=5, t=$-0.5, w=5",15:54,5,5,-0.5,PUT,8703,-1722,80.0,415,2.04,1.43,-606
"PUT, 15:54, d=5, t=$-0.5, w=10",15:54,5,10,-0.5,PUT,6991,-565,82.6,471,3.42,1.87,-292
"BOTH, 15:54, d=5, t=$-0.5, w=5",15:54,5,5,-0.5,BOTH,11411,-2793,81.4,811,1.36,1.29,-1008
"BOTH, 15:54, d=5, t=$-0.5, w=10",15:54,5,10,-0.5,BOTH,9752,-1153,83.3,900,2.46,1.63,-552
"PUT, 15:54, d=5, t=$+0.0, w=5",15:54,5,5,0,PUT,7953,-1803,79.0,415,1.87,1.39,-606
"PUT, 15:54, d=5, t=$+0.0, w=10",15:54,5,10,0,PUT,6601,-557,81.5,471,3.25,1.81,-292
"BOTH, 15:54, d=5, t=$+0.0, w=5",15:54,5,5,0,BOTH,8798,-3336,80.0,811,1.04,1.22,-1008
"BOTH, 15:54, d=5, t=$+0.0, w=10",15:54,5,10,0,BOTH,8541,-1153,82.0,900,2.14,1.53,-552
"PUT, 15:54, d=5, t=$+0.5, w=5",15:54,5,5,0.5,PUT,7278,-1488,76.4,415,1.78,1.36,-546
"PUT, 15:54, d=5, t=$+0.5, w=10",15:54,5,10,0.5,PUT,6516,-472,79.8,471,3.36,1.84,-292
"BOTH, 15:54, d=5, t=$+0.5, w=5",15:54,5,5,0.5,BOTH,6533,-3351,76.8,811,0.8,1.16,-1008
"BOTH, 15:54, d=5, t=$+0.5, w=10",15:54,5,10,0.5,BOTH,7776,-1153,79.7,900,2.01,1.49,-552
"PUT, 15:54, d=5, t=$+1.0, w=5",15:54,5,5,1.0,PUT,5208,-1590,74.0,415,1.28,1.24,-546
"PUT, 15:54, d=5, t=$+1.0, w=10",15:54,5,10,1.0,PUT,5626,-494,77.1,471,2.9,1.69,-292
"BOTH, 15:54, d=5, t=$+1.0, w=5",15:54,5,5,1.0,BOTH,2828,-4326,74.7,811,0.34,1.07,-1008
"BOTH, 15:54, d=5, t=$+1.0, w=10",15:54,5,10,1.0,BOTH,6261,-1153,77.3,900,1.62,1.38,-552
"PUT, 15:54, d=5, t=$+2.0, w=5",15:54,5,5,2.0,PUT,1368,-3702,68.7,415,0.34,1.06,-546
"PUT, 15:54, d=5, t=$+2.0, w=10",15:54,5,10,2.0,PUT,3756,-772,72.0,471,1.94,1.43,-292
"BOTH, 15:54, d=5, t=$+2.0, w=5",15:54,5,5,2.0,BOTH,-952,-6921,69.9,811,-0.12,0.98,-1008
"BOTH, 15:54, d=5, t=$+2.0, w=10",15:54,5,10,2.0,BOTH,4316,-1195,73.1,900,1.13,1.26,-552
"PUT, 15:55, d=0, t=None, w=5",15:55,0,5,,PUT,-60377,-60686,36.7,496,-7.06,0.22,-1506
"PUT, 15:55, d=0, t=None, w=10",15:55,0,10,,PUT,-19349,-20351,46.1,497,-4.43,0.36,-994
"BOTH, 15:55, d=0, t=None, w=5",15:55,0,5,,BOTH,-102151,-102689,37.8,1002,-6.44,0.26,-1506
"BOTH, 15:55, d=0, t=None, w=10",15:55,0,10,,BOTH,-32189,-33810,45.8,1007,-4.13,0.4,-994
"PUT, 15:55, d=0, t=$-0.5, w=5",15:55,0,5,-0.5,PUT,-16536,-25083,57.3,496,-1.55,0.77,-1506
"PUT, 15:55, d=0, t=$-0.5, w=10",15:55,0,10,-0.5,PUT,-1562,-7392,60.6,497,-0.3,0.95,-994
"BOTH, 15:55, d=0, t=$-0.5, w=5",15:55,0,5,-0.5,BOTH,-6970,-24280,60.8,1002,-0.35,0.94,-1506
"BOTH, 15:55, d=0, t=$-0.5, w=10",15:55,0,10,-0.5,BOTH,5643,-4865,64.2,1007,0.6,1.12,-994
"PUT, 15:55, d=0, t=$+0.0, w=5",15:55,0,5,0,PUT,-19947,-27264,56.2,496,-1.89,0.73,-1506
"PUT, 15:55, d=0, t=$+0.0, w=10",15:55,0,10,0,PUT,-2954,-8279,59.6,497,-0.57,0.9,-994
"BOTH, 15:55, d=0, t=$+0.0, w=5",15:55,0,5,0,BOTH,-20281,-34480,57.7,1002,-1.04,0.84,-1506
"BOTH, 15:55, d=0, t=$+0.0, w=10",15:55,0,10,0,BOTH,491,-8237,61.6,1007,0.05,1.01,-994
"PUT, 15:55, d=0, t=$+0.5, w=5",15:55,0,5,0.5,PUT,-25392,-30383,53.0,496,-2.47,0.65,-1506
"PUT, 15:55, d=0, t=$+0.5, w=10",15:55,0,10,0.5,PUT,-4904,-9184,57.5,497,-0.96,0.83,-994
"BOTH, 15:55, d=0, t=$+0.5, w=5",15:55,0,5,0.5,BOTH,-32501,-43610,54.9,1002,-1.7,0.75,-1506
"BOTH, 15:55, d=0, t=$+0.5, w=10",15:55,0,10,0.5,BOTH,-4079,-11442,59.0,1007,-0.44,0.92,-994
"PUT, 15:55, d=0, t=$+1.0, w=5",15:55,0,5,1.0,PUT,-32052,-35318,49.2,496,-3.17,0.57,-1506
"PUT, 15:55, d=0, t=$+1.0, w=10",15:55,0,10,1.0,PUT,-7574,-11009,54.1,497,-1.5,0.74,-994
"BOTH, 15:55, d=0, t=$+1.0, w=5",15:55,0,5,1.0,BOTH,-43276,-52370,51.6,1002,-2.29,0.67,-1506
"BOTH, 15:55, d=0, t=$+1.0, w=10",15:55,0,10,1.0,BOTH,-8274,-14725,56.1,1007,-0.91,0.84,-994
"PUT, 15:55, d=0, t=$+2.0, w=5",15:55,0,5,2.0,PUT,-42122,-44753,45.6,496,-4.35,0.45,-1506
"PUT, 15:55, d=0, t=$+2.0, w=10",15:55,0,10,2.0,PUT,-11474,-14249,50.9,497,-2.34,0.62,-994
"BOTH, 15:55, d=0, t=$+2.0, w=5",15:55,0,5,2.0,BOTH,-64341,-70720,47.0,1002,-3.57,0.53,-1506
"BOTH, 15:55, d=0, t=$+2.0, w=10",15:55,0,10,2.0,BOTH,-16829,-21585,51.9,1007,-1.92,0.68,-994
"PUT, 15:55, d=1, t=None, w=5",15:55,1,5,,PUT,-48695,-48881,35.3,498,-6.93,0.21,-1461
"PUT, 15:55, d=1, t=None, w=10",15:55,1,10,,PUT,-14672,-15167,45.2,500,-4.57,0.36,-742
"BOTH, 15:55, d=1, t=None, w=5",15:55,1,5,,BOTH,-83343,-83793,36.4,1001,-6.29,0.26,-1461
"BOTH, 15:55, d=1, t=None, w=10",15:55,1,10,,BOTH,-25148,-26154,44.4,1012,-4.15,0.4,-742
"PUT, 15:55, d=1, t=$-0.5, w=5",15:55,1,5,-0.5,PUT,-5392,-12830,66.1,498,-0.61,0.9,-1461
"PUT, 15:55, d=1, t=$-0.5, w=10",15:55,1,10,-0.5,PUT,3009,-3607,68.2,500,0.76,1.14,-742
"BOTH, 15:55, d=1, t=$-0.5, w=5",15:55,1,5,-0.5,BOTH,10015,-9310,68.3,1001,0.6,1.11,-1461
"BOTH, 15:55, d=1, t=$-0.5, w=10",15:55,1,10,-0.5,BOTH,12398,-2440,70.8,1012,1.65,1.35,-742
"PUT, 15:55, d=1, t=$+0.0, w=5",15:55,1,5,0,PUT,-8295,-15018,64.3,498,-0.95,0.85,-1461
"PUT, 15:55, d=1, t=$+0.0, w=10",15:55,1,10,0,PUT,1853,-3492,66.8,500,0.47,1.09,-742
"BOTH, 15:55, d=1, t=$+0.0, w=5",15:55,1,5,0,BOTH,-2088,-15062,64.6,1001,-0.13,0.98,-1461
"BOTH, 15:55, d=1, t=$+0.0, w=10",15:55,1,10,0,BOTH,7687,-2702,67.7,1012,1.03,1.21,-742
"PUT, 15:55, d=1, t=$+0.5, w=5",15:55,1,5,0.5,PUT,-12085,-16563,60.4,498,-1.41,0.78,-1461
"PUT, 15:55, d=1, t=$+0.5, w=10",15:55,1,10,0.5,PUT,413,-3813,64.4,500,0.11,1.02,-742
"BOTH, 15:55, d=1, t=$+0.5, w=5",15:55,1,5,0.5,BOTH,-10993,-21571,61.4,1001,-0.68,0.89,-1461
"BOTH, 15:55, d=1, t=$+0.5, w=10",15:55,1,10,0.5,BOTH,4192,-4260,64.8,1012,0.57,1.11,-742
"PUT, 15:55, d=1, t=$+1.0, w=5",15:55,1,5,1.0,PUT,-17705,-20857,55.6,498,-2.09,0.69,-1461
"PUT, 15:55, d=1, t=$+1.0, w=10",15:55,1,10,1.0,PUT,-1942,-5227,60.2,500,-0.51,0.91,-742
"BOTH, 15:55, d=1, t=$+1.0, w=5",15:55,1,5,1.0,BOTH,-19823,-29181,57.5,1001,-1.23,0.81,-1461
"BOTH, 15:55, d=1, t=$+1.0, w=10",15:55,1,10,1.0,BOTH,642,-6214,61.5,1012,0.09,1.02,-742
"PUT, 15:55, d=1, t=$+2.0, w=5",15:55,1,5,2.0,PUT,-27790,-29917,50.2,498,-3.42,0.53,-1461
"PUT, 15:55, d=1, t=$+2.0, w=10",15:55,1,10,2.0,PUT,-5992,-8340,55.8,500,-1.62,0.73,-742
"BOTH, 15:55, d=1, t=$+2.0, w=5",15:55,1,5,2.0,BOTH,-39358,-45306,51.9,1001,-2.55,0.63,-1461
"BOTH, 15:55, d=1, t=$+2.0, w=10",15:55,1,10,2.0,BOTH,-7553,-12081,56.4,1012,-1.08,0.81,-742
"PUT, 15:55, d=2, t=None, w=5",15:55,2,5,,PUT,-40397,-40514,33.9,492,-6.5,0.22,-1461
"PUT, 15:55, d=2, t=None, w=10",15:55,2,10,,PUT,-12104,-12607,42.3,504,-4.17,0.38,-742
"BOTH, 15:55, d=2, t=None, w=5",15:55,2,5,,BOTH,-71286,-71637,33.1,983,-6.31,0.24,-1461
"BOTH, 15:55, d=2, t=None, w=10",15:55,2,10,,BOTH,-21687,-22114,40.4,1011,-4.16,0.38,-742
"PUT, 15:55, d=2, t=$-0.5, w=5",15:55,2,5,-0.5,PUT,1748,-7797,72.6,492,0.23,1.04,-1461
"PUT, 15:55, d=2, t=$-0.5, w=10",15:55,2,10,-0.5,PUT,5221,-2783,74.4,504,1.48,1.32,-742
