label,entry,dist,width,touch,sides,pnl,dd,wr,n,sharpe,pf,worst
"PUT, 15:52, d=1, t=$+1.0, w=5",15:52,1,5,1.0,PUT,-3917,-6962,49.3,503,-0.58,0.91,-768
"PUT, 15:52, d=1, t=$+1.0, w=10",15:52,1,10,1.0,PUT,4699,-1109,54.4,511,1.36,1.29,-514
"BOTH, 15:52, d=1, t=$+1.0, w=5",15:52,1,5,1.0,BOTH,-2286,-11889,50.7,1039,-0.17,0.97,-768
"BOTH, 15:52, d=1, t=$+1.0, w=10",15:52,1,10,1.0,BOTH,9076,-1778,56.5,1049,1.38,1.3,-614
"PUT, 15:52, d=1, t=$+2.0, w=5",15:52,1,5,2.0,PUT,-10087,-13147,45.3,503,-1.6,0.76,-768
"PUT, 15:52, d=1, t=$+2.0, w=10",15:52,1,10,2.0,PUT,1379,-1584,50.3,511,0.44,1.09,-514
"BOTH, 15:52, d=1, t=$+2.0, w=5",15:52,1,5,2.0,BOTH,-17961,-23910,45.2,1039,-1.46,0.78,-768
"BOTH, 15:52, d=1, t=$+2.0, w=10",15:52,1,10,2.0,BOTH,1771,-3273,50.6,1049,0.29,1.06,-614
"PUT, 15:52, d=2, t=None, w=5",15:52,2,5,,PUT,-34816,-34933,23.4,504,-8.89,0.15,-768
"PUT, 15:52, d=2, t=None, w=10",15:52,2,10,,PUT,-9785,-10016,33.1,516,-4.99,0.34,-494
"BOTH, 15:52, d=2, t=None, w=5",15:52,2,5,,BOTH,-66852,-66933,23.0,1044,-8.69,0.16,-768
"BOTH, 15:52, d=2, t=None, w=10",15:52,2,10,,BOTH,-19547,-19835,31.6,1060,-5.13,0.32,-494
"PUT, 15:52, d=2, t=$-0.5, w=5",15:52,2,5,-0.5,PUT,13587,-3276,64.7,504,2.03,1.37,-768
"PUT, 15:52, d=2, t=$-0.5, w=10",15:52,2,10,-0.5,PUT,11486,-1193,68.2,516,3.61,1.84,-494
"BOTH, 15:52, d=2, t=$-0.5, w=5",15:52,2,5,-0.5,BOTH,34656,-4210,67.2,1044,2.55,1.5,-768
"BOTH, 15:52, d=2, t=$-0.5, w=10",15:52,2,10,-0.5,BOTH,23764,-1073,70.4,1060,3.83,1.91,-494
"PUT, 15:52, d=2, t=$+0.0, w=5",15:52,2,5,0,PUT,12454,-3031,63.3,504,1.95,1.36,-768
"PUT, 15:52, d=2, t=$+0.0, w=10",15:52,2,10,0,PUT,10960,-1218,67.6,516,3.53,1.84,-494
"BOTH, 15:52, d=2, t=$+0.0, w=5",15:52,2,5,0,BOTH,24048,-4548,63.6,1044,1.83,1.34,-768
"BOTH, 15:52, d=2, t=$+0.0, w=10",15:52,2,10,0,BOTH,19353,-1408,67.2,1060,3.18,1.73,-494
"PUT, 15:52, d=2, t=$+0.5, w=5",15:52,2,5,0.5,PUT,9049,-3286,60.7,504,1.45,1.26,-768
"PUT, 15:52, d=2, t=$+0.5, w=10",15:52,2,10,0.5,PUT,9590,-998,64.7,516,3.16,1.74,-494
"BOTH, 15:52, d=2, t=$+0.5, w=5",15:52,2,5,0.5,BOTH,15188,-5753,59.5,1044,1.21,1.22,-768
"BOTH, 15:52, d=2, t=$+0.5, w=10",15:52,2,10,0.5,BOTH,15968,-1258,64.1,1060,2.72,1.61,-494
"PUT, 15:52, d=2, t=$+1.0, w=5",15:52,2,5,1.0,PUT,4094,-3692,56.3,504,0.67,1.11,-768
"PUT, 15:52, d=2, t=$+1.0, w=10",15:52,2,10,1.0,PUT,7495,-913,61.4,516,2.52,1.57,-494
"BOTH, 15:52, d=2, t=$+1.0, w=5",15:52,2,5,1.0,BOTH,8518,-7963,56.3,1044,0.7,1.12,-768
"BOTH, 15:52, d=2, t=$+1.0, w=10",15:52,2,10,1.0,BOTH,13103,-1378,62.0,1060,2.29,1.51,-494
"PUT, 15:52, d=2, t=$+2.0, w=5",15:52,2,5,2.0,PUT,-481,-4827,51.6,504,-0.08,0.99,-768
"PUT, 15:52, d=2, t=$+2.0, w=10",15:52,2,10,2.0,PUT,5235,-1169,56.4,516,1.84,1.41,-494
"BOTH, 15:52, d=2, t=$+2.0, w=5",15:52,2,5,2.0,BOTH,-3317,-9990,50.4,1044,-0.29,0.95,-768
"BOTH, 15:52, d=2, t=$+2.0, w=10",15:52,2,10,2.0,BOTH,7638,-1764,55.5,1060,1.41,1.3,-494
"PUT, 15:52, d=3, t=None, w=5",15:52,3,5,,PUT,-30716,-30833,21.6,501,-9.42,0.14,-688
"PUT, 15:52, d=3, t=None, w=10",15:52,3,10,,PUT,-8543,-8841,30.8,520,-5.5,0.32,-304
"BOTH, 15:52, d=3, t=None, w=5",15:52,3,5,,BOTH,-59038,-59119,21.4,1035,-9.2,0.14,-728
"BOTH, 15:52, d=3, t=None, w=10",15:52,3,10,,BOTH,-17222,-17530,28.8,1065,-5.52,0.3,-424
"PUT, 15:52, d=3, t=$-0.5, w=5",15:52,3,5,-0.5,PUT,17372,-3134,70.9,501,2.95,1.58,-688
"PUT, 15:52, d=3, t=$-0.5, w=10",15:52,3,10,-0.5,PUT,12633,-926,73.8,520,4.6,2.1,-304
"BOTH, 15:52, d=3, t=$-0.5, w=5",15:52,3,5,-0.5,BOTH,38110,-2649,73.1,1035,3.24,1.68,-728
"BOTH, 15:52, d=3, t=$-0.5, w=10",15:52,3,10,-0.5,BOTH,24759,-809,75.6,1065,4.63,2.16,-424
"PUT, 15:52, d=3, t=$+0.0, w=5",15:52,3,5,0,PUT,16514,-2849,69.7,501,2.9,1.57,-688
