date,spot,spx_exit,short_strike,credit,qty,pnl,win,vix_prev_close,vix_1550,vix_intraday_chg,day_range_pct,intraday_return_pct,dist_from_high_pct,dist_from_low_pct,mom_5,mom_10,mom_15,mom_30,mom_60,near_high,dow,prior_day_return,ema_bullish,afternoon_return,last_hour_return
20221208,3960.99,3963.45,3965,0.05,5,15.0,1,22.68,22.36,,0.972,0.273,-0.396,0.576,0.1437,0.0447,0.002,-0.1511,-0.0427,0,3,0.013,0,-0.0407,-0.0427
20221212,3986.1,3990.59,3990,0.05,5,-280.0,0,22.83,25.01,,1.333,1.118,-0.114,1.219,0.0583,0.0251,-0.0745,0.0445,0.3752,0,0,-0.503,1,0.5696,0.3752
20221220,3824.82,3821.73,3830,0.2,5,90.0,1,22.42,21.47,,1.118,0.39,-0.339,0.78,-0.0272,-0.1115,-0.0906,0.0607,0.0238,0,1,-0.942,1,-0.1146,0.0238
20221221,3875.66,3878.4,3880,0.05,5,15.0,1,21.48,20.18,,1.311,0.905,-0.406,0.905,0.0535,0.0057,-0.0341,-0.041,-0.0132,0,2,0.296,0,-0.1358,-0.0132
20221223,3844.98,3844.88,3850,0.1,5,40.0,1,21.97,20.92,,1.279,0.747,-0.057,1.221,0.1652,0.1396,0.2467,0.1391,0.0927,0,4,-0.796,1,0.1911,0.0927
20221229,3851.73,3849.14,3855,0.5,5,240.0,1,22.14,21.42,,1.386,1.265,-0.121,1.265,0.0189,0.0371,0.0974,0.1213,0.0639,0,3,-1.216,1,-0.006,0.0639
20221230,3836.43,3839.53,3840,0.55,5,265.0,1,21.44,21.74,,0.996,0.244,-0.002,0.994,0.0607,0.2481,0.3498,0.5206,0.8802,1,4,1.148,1,0.4112,0.8802
20230106,3894.56,3895.0,3900,0.25,5,115.0,1,22.46,21.04,,2.527,1.86,-0.307,2.221,-0.0377,-0.2523,-0.1943,-0.1292,-0.1646,0,4,-0.827,0,0.6552,-0.1646
20230112,3981.25,3983.09,3985,0.15,5,65.0,1,21.09,19.04,,1.513,0.04,-0.467,1.046,-0.0098,0.1205,-0.0545,-0.0545,-0.0726,0,3,0.945,0,-0.3199,-0.0726
20230113,4000.06,3999.03,4005,0.05,5,15.0,1,18.83,18.12,,1.421,0.942,-0.153,1.268,0.0145,-0.0258,-0.1164,0.0814,0.2374,0,4,0.139,1,0.4359,0.2374
20230120,3971.31,3972.35,3975,0.15,5,65.0,1,20.52,19.65,,1.865,1.558,-0.021,1.844,0.0706,0.2055,0.1433,0.1602,0.4575,1,4,-0.33,1,0.9251,0.4575
20230123,4019.99,4019.65,4025,0.1,5,40.0,1,19.85,19.78,,1.701,1.035,-0.503,1.198,0.0259,0.1468,0.2402,0.2077,0.2684,0,0,1.62,1,-0.2333,0.2684
20230127,4071.69,4070.48,4075,0.85,6,498.0,1,18.73,18.34,,1.123,0.502,-0.497,0.626,-0.0814,-0.1713,-0.3695,-0.2849,-0.3398,0,4,0.601,0,-0.0986,-0.3398
20230131,4069.39,4076.7,4075,0.5,5,-610.0,0,19.94,19.43,,1.263,1.253,0.0,1.263,0.1358,0.2677,0.3302,0.4867,0.3149,1,1,-0.775,1,0.5662,0.3149
20230201,4117.63,4119.49,4125,0.35,5,165.0,1,19.4,18.14,,2.746,1.125,-0.813,1.932,-0.0675,-0.5495,-0.7042,-0.0728,0.1684,0,2,1.389,1,1.5417,0.1684
20230202,4173.92,4179.73,4180,0.25,5,115.0,1,17.87,18.61,,1.288,0.335,-0.548,0.739,0.0772,0.2133,0.2063,0.1844,0.4436,0,3,1.214,1,-0.1978,0.4436
20230203,4137.8,4136.42,4145,0.3,5,140.0,1,18.73,18.61,,1.426,0.021,-1.083,0.343,0.1503,0.1911,0.0762,-0.0698,0.0726,0,4,0.506,0,-0.3603,0.0726
20230207,4168.54,4164.03,4175,1.95,8,1544.0,1,19.43,18.51,,2.147,1.723,-0.011,2.136,0.1708,0.3323,0.3791,0.5797,0.6643,1,1,-0.209,1,0.3931,0.6643
20230210,4091.71,4090.48,4095,0.65,5,315.0,1,20.71,20.57,,0.825,0.564,-0.061,0.764,0.0381,0.046,0.1152,0.3224,0.1839,0,4,-1.512,1,0.3313,0.1839
20230214,4144.19,4136.18,4150,0.15,5,65.0,1,20.34,18.6,,1.569,0.419,-0.382,1.187,0.0454,-0.0034,0.0466,0.0224,0.0727,0,1,0.995,1,0.495,0.0727
20230215,4141.05,4147.76,4145,0.15,5,-1315.0,0,18.91,18.22,,0.96,0.502,-0.082,0.879,-0.0618,0.0116,0.0184,0.1359,0.1456,0,2,0.23,1,0.3819,0.1456
20230217,4079.32,4079.23,4085,0.05,5,15.0,1,20.17,19.96,,0.823,-0.047,-0.148,0.675,-0.0312,0.0317,-0.0132,-0.0066,-0.0564,0,4,-0.589,1,0.5909,-0.0564
20230228,3976.44,3969.69,3980,0.4,5,190.0,1,20.95,20.49,,0.687,-0.01,-0.52,0.167,0.1125,0.044,0.0964,-0.0191,-0.2223,0,1,-0.251,0,-0.4506,-0.2223
20230302,3981.96,3981.54,3985,0.1,5,40.0,1,20.58,19.72,,1.591,1.007,-0.318,1.274,-0.0927,-0.1854,-0.2082,0.0189,0.1811,0,3,-0.296,1,0.7514,0.1811
20230303,4045.22,4045.48,4050,0.1,5,40.0,1,19.59,18.48,,1.329,1.128,-0.13,1.199,0.0156,0.0054,0.0161,0.028,0.071,0,4,1.088,0,0.2564,0.071
20230308,3991.51,3992.08,3995,0.35,5,165.0,1,19.59,19.07,,0.769,0.093,-0.229,0.539,0.0195,-0.0266,0.1478,0.4288,0.3359,0,2,-1.527,1,0.1903,0.3359
20230313,3856.47,3855.74,3860,1.4,6,828.0,1,24.8,26.67,,2.508,0.654,-1.169,1.339,-0.051,-0.2692,-0.3253,-0.0394,-0.6948,0,0,-1.304,0,-0.0833,-0.6948
20230315,3877.14,3892.37,3885,0.1,5,-2460.0,0,23.73,26.73,,1.445,-0.15,-0.602,0.843,-0.0682,-0.2165,-0.2014,-0.3334,-0.4843,0,2,0.675,0,0.7443,-0.4843
20230316,3954.53,3960.33,3960,0.9,6,330.0,1,26.14,23.16,,2.587,2.021,-0.184,2.403,-0.0551,-0.1174,-0.0258,-0.0641,0.184,0,3,0.403,1,0.09,0.184
20230320,3949.95,3951.55,3955,0.6,5,290.0,1,25.51,24.02,,1.014,0.887,-0.113,0.901,-0.0794,0.0967,0.1056,0.2059,0.18,0,0,-1.062,1,0.18,0.18
20230321,4004.2,4003.16,4010,0.2,5,90.0,1,24.15,21.66,,0.953,0.738,-0.097,0.856,0.0137,-0.0539,-0.0424,0.2425,0.3875,0,1,0.87,1,0.6595,0.3875
20230324,3959.73,3971.18,3965,0.85,6,-2502.0,0,22.61,22.03,,1.614,0.566,-0.286,1.328,-0.0865,-0.158,-0.1714,-0.1427,-0.0464,0,4,-0.276,0,0.2927,-0.0464
20230329,4026.85,4027.88,4030,0.45,5,215.0,1,19.97,19.17,,0.777,0.701,-0.076,0.701,-0.0246,0.007,0.1188,0.042,0.1751,0,2,-0.071,1,0.4204,0.1751
20230330,4049.82,4050.85,4055,0.05,5,15.0,1,19.12,19.11,,0.636,0.061,-0.213,0.423,-0.0178,0.0235,-0.0432,0.0254,0.0746,0,3,0.709,1,0.2781,0.0746
20230411,4107.65,4109.05,4115,0.3,5,140.0,1,18.97,19.06,,0.527,-0.008,-0.348,0.179,0.0127,-0.0739,-0.1475,-0.2873,-0.2873,0,1,0.586,0,-0.1788,-0.2873
20230413,4146.39,4146.32,4150,0.1,5,40.0,1,19.09,17.89,,1.24,1.095,-0.13,1.111,0.0142,-0.1118,-0.0323,-0.0436,-0.0458,0,3,-0.718,0,0.4422,-0.0458
20230427,4135.31,4135.45,4140,0.15,5,65.0,1,18.84,16.97,,1.545,1.475,-0.069,1.475,-0.038,0.0343,0.0375,-0.0162,0.0215,0,3,-0.779,1,0.6173,0.0215
20230505,4135.59,4136.37,4140,0.2,5,90.0,1,20.09,16.95,,1.525,1.239,-0.286,1.239,-0.0249,-0.065,-0.0732,-0.1157,-0.2403,0,4,-0.519,0,0.3129,-0.2403
20230517,4160.87,4158.81,4165,0.05,5,15.0,1,17.99,16.71,,1.238,0.886,-0.129,1.11,-0.0151,0.0361,0.1481,0.1271,0.1307,0,2,-0.437,1,0.1744,0.1307
20230518,4198.39,4198.01,4205,0.1,5,40.0,1,16.87,16.14,,1.171,0.956,-0.115,1.057,-0.0443,0.0222,0.2065,0.411,0.523,0,3,0.872,1,0.6493,0.523
20230612,4335.75,4339.08,4340,0.1,5,40.0,1,13.83,14.83,,0.827,0.631,-0.104,0.722,-0.0327,-0.0291,-0.0408,0.0438,0.2296,0,0,-0.138,1,0.4137,0.2296
20230614,4365.5,4372.67,4370,0.05,5,-1320.0,0,14.61,14.15,,1.236,-0.093,-0.678,0.558,0.1587,-0.0692,-0.1716,-0.314,-0.1168,0,2,0.378,0,-0.4282,-0.1168
