distance,trades,wr,avg,total
30-40,98,79.6,89.92,8812.00
40-50,43,86.0,132.56,5700.00
50-60,22,81.8,79.64,1752.00
60-70,17,94.1,184.35,3134.00
70-80,7,85.7,114.00,798.00
80-90,2,100.0,125.50,251.00
90-100,3,66.7,27.33,82.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,158.00,158.00
150+,0,0.0,0.00,0.00
