distance,trades,wr,avg,total
30-40,563,63.4,29.07,16367.00
40-50,271,61.3,32.35,8766.00
50-60,117,68.4,77.81,9104.00
60-70,44,84.1,131.45,5784.00
70-80,23,87.0,168.74,3881.00
80-90,8,50.0,-31.50,-252.00
90-100,1,0.0,-474.00,-474.00
100-120,1,0.0,-204.00,-204.00
120-150,1,100.0,216.00,216.00
150+,0,0.0,0.00,0.00
