distance,trades,wr,avg,total
30-40,227,78.9,108.33,24591.00
40-50,102,69.6,42.54,4339.00
50-60,46,82.6,134.24,6175.00
60-70,29,96.6,203.17,5892.00
70-80,21,90.5,156.90,3295.00
80-90,4,50.0,-151.75,-607.00
90-100,2,50.0,-152.00,-304.00
100-120,0,0.0,0.00,0.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
