distance,trades,wr,avg,total
30-40,106,80.2,78.02,8270.00
40-50,49,81.6,90.02,4411.00
50-60,27,85.2,86.89,2346.00
60-70,16,93.8,180.38,2886.00
70-80,9,88.9,112.89,1016.00
80-90,3,66.7,-34.33,-103.00
90-100,2,50.0,-122.00,-244.00
100-120,1,100.0,236.00,236.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
