distance,trades,wr,avg,total
30-40,886,66.4,41.15,36456.00
40-50,430,64.0,38.91,16730.00
50-60,184,64.7,60.67,11164.00
60-70,68,82.4,136.29,9268.00
70-80,40,90.0,196.00,7840.00
80-90,13,69.2,36.00,468.00
90-100,6,66.7,29.33,176.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
