distance,trades,wr,avg,total
30-40,873,68.3,48.36,42218.00
40-50,371,71.2,72.55,26916.00
50-60,164,67.1,51.18,8394.00
60-70,71,78.9,109.66,7786.00
70-80,34,85.3,141.00,4794.00
80-90,16,43.8,-95.87,-1534.00
90-100,6,0.0,-290.67,-1744.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
