entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,entry_short_bid,entry_short_ask,entry_short_mid,entry_long_bid,entry_long_ask,entry_long_mid,qty,vix_level,strike_distance,opening_put_credit,opening_call_credit,pc_skew_ratio,ema13,ema48,outcome,pnl_earned,peak_pnl,close_date,close_time,win,loss
20220105,14:15:00,PUT,4730,4680,50.0,1.35,1.55,1.65,1.6,0.1,0.2,0.15,1,19.97,28,,,,4763.42,4765.77,PER_POS_SL,-381.99999999999994,35.00000000000001,20220105,14:42:00,0,1
20220110,14:15:00,PUT,4615,4565,50.0,1.25,1.35,1.55,1.45,0.05,0.1,0.075,1,19.4,32,,,,4643.31,4641.91,EXPIRATION,118.0,120.0,20220110,15:59:00,1,0
20220114,14:00:00,PUT,4600,4550,50.0,1.2,1.3,1.4,1.35,0.05,0.1,0.075,1,19.28,35,,,,4631.29,4629.26,EXPIRATION,112.99999999999999,114.99999999999999,20220114,15:59:00,1,0
20220118,14:00:00,PUT,4555,4505,50.0,1.2000000000000002,1.35,1.5,1.425,0.1,0.15,0.125,1,22.88,33,,,,4584.72,4583.84,EXPIRATION,113.00000000000001,115.00000000000001,20220118,15:59:00,1,0
20220118,14:15:00,PUT,4560,4510,50.0,1.6,1.75,1.85,1.8,0.1,0.15,0.125,2,22.88,28,,,,4588.07,4586.93,EXPIRATION,306.0,310.0,20220118,15:59:00,1,0
20220121,14:00:00,PUT,4380,4320,60.0,1.35,1.6,1.75,1.675,0.2,0.25,0.225,1,29.37,59,,,,4441.61,4442.81,PER_POS_SL,-267.0,60.00000000000001,20220121,15:08:00,0,1
20220124,14:15:00,PUT,4230,4170,60.0,1.2000000000000002,1.85,2.05,1.95,0.55,0.65,0.6,2,29.76,87,,,,4328.05,4326.28,PER_POS_SL,-354.0,0.0,20220124,14:24:00,0,1
20220124,14:00:00,PUT,4240,4180,60.0,1.5,2.15,2.3,2.225,0.55,0.65,0.6,1,29.76,91,,,,4318.13,4313.48,PER_POS_SL,-372.0,34.999999999999986,20220124,14:38:00,0,1
20220124,14:30:00,PUT,4210,4150,60.0,1.25,1.95,2.15,2.05,0.55,0.7,0.625,2,29.76,101,,,,4305.21,4310.45,EXPIRATION,236.0,240.0,20220124,15:59:00,1,0
20220124,14:45:00,PUT,4210,4150,60.0,1.5499999999999998,2.05,2.2,2.125,0.4,0.5,0.45,2,29.76,72,,,,4291.86,4292.47,EXPIRATION,295.99999999999994,299.99999999999994,20220124,15:59:00,1,0
20220124,15:00:00,PUT,4250,4190,60.0,1.4500000000000002,1.8,2.0,1.9,0.2,0.35,0.275,2,29.76,76,,,,4303.69,4301.0,EXPIRATION,276.0,280.0,20220124,15:59:00,1,0
20220124,15:15:00,PUT,4280,4220,60.0,1.4,1.7,1.85,1.775,0.2,0.3,0.25,2,29.76,67,,,,4331.28,4325.74,EXPIRATION,266.0,270.0,20220124,15:59:00,1,0
20220124,15:30:00,PUT,4290,4230,60.0,1.2,1.4,1.65,1.525,0.1,0.2,0.15,2,29.76,59,,,,4345.22,4342.48,EXPIRATION,225.99999999999997,229.99999999999997,20220124,15:59:00,1,0
20220128,14:00:00,PUT,4305,4245,60.0,1.2000000000000002,1.55,1.7,1.625,0.25,0.35,0.3,1,27.33,74,,,,4377.47,4376.8,PER_POS_SL,-407.0,2.220446049250313e-14,20220128,14:25:00,0,1
20220128,14:15:00,PUT,4285,4225,60.0,1.2999999999999998,1.65,1.75,1.7,0.25,0.35,0.3,2,27.33,67,,,,4362.22,4364.93,EXPIRATION,245.99999999999994,249.99999999999994,20220128,15:59:00,1,0
20220128,14:30:00,PUT,4270,4210,60.0,1.2,1.5,1.65,1.575,0.2,0.3,0.25,2,27.33,66,,,,4342.61,4346.31,EXPIRATION,225.99999999999997,229.99999999999997,20220128,15:59:00,1,0
20220128,14:45:00,PUT,4305,4245,60.0,1.35,1.6,1.75,1.675,0.15,0.25,0.2,2,27.33,53,,,,4349.93,4347.75,EXPIRATION,256.0,260.0,20220128,15:59:00,1,0
20220128,15:00:00,PUT,4330,4270,60.0,1.5,1.7,1.85,1.775,0.15,0.2,0.175,2,27.33,47,,,,4368.42,4365.27,EXPIRATION,286.0,290.0,20220128,15:59:00,1,0
20220131,14:15:00,PUT,4450,4400,50.0,1.35,1.55,1.7,1.625,0.15,0.2,0.175,1,24.98,42,,,,4492.04,4490.93,EXPIRATION,128.0,130.0,20220131,15:59:00,1,0
20220202,14:00:00,PUT,4545,4495,50.0,1.4,1.65,1.75,1.7,0.15,0.25,0.2,1,20.81,32,,,,4576.29,4576.29,EXPIRATION,133.0,135.0,20220202,15:59:00,1,0
20220204,14:00:00,PUT,4480,4430,50.0,1.4,1.7,1.85,1.775,0.2,0.3,0.25,1,23.31,39,,,,4517.58,4517.1,EXPIRATION,133.0,135.0,20220204,15:59:00,1,0
20220209,14:00:00,PUT,4550,4500,50.0,1.2999999999999998,1.4,1.5,1.45,0.05,0.1,0.075,1,20.09,31,,,,4579.7,4579.05,EXPIRATION,122.99999999999997,124.99999999999997,20220209,15:59:00,1,0
20220211,14:00:00,PUT,4335,4275,60.0,1.35,2.1,2.3,2.2,0.6,0.75,0.675,1,28.1,96,,,,4431.75,4434.63,EXPIRATION,128.0,130.0,20220211,15:59:00,1,0
20220214,14:00:00,PUT,4295,4235,60.0,1.3499999999999999,1.9,2.05,1.975,0.45,0.55,0.5,1,28.78,82,,,,4383.46,4386.87,EXPIRATION,127.99999999999997,129.99999999999997,20220214,15:59:00,1,0
20220216,14:00:00,PUT,4375,4325,50.0,1.25,1.85,2.15,2.0,0.25,0.6,0.425,1,24.34,79,,,,4440.65,4439.61,EXPIRATION,118.0,120.0,20220216,15:59:00,1,0
20220216,14:15:00,PUT,4395,4345,50.0,1.2000000000000002,1.55,1.7,1.625,0.25,0.35,0.3,2,24.34,59,,,,4449.36,4447.43,EXPIRATION,226.00000000000003,230.00000000000003,20220216,15:59:00,1,0
20220216,14:30:00,PUT,4440,4390,50.0,1.5,1.75,1.9,1.825,0.15,0.25,0.2,2,24.34,36,,,,4467.13,4464.06,EXPIRATION,286.0,290.0,20220216,15:59:00,1,0
20220216,14:45:00,PUT,4440,4390,50.0,1.4000000000000001,1.6,1.75,1.675,0.1,0.2,0.15,2,24.34,29,,,,4470.91,4470.29,EXPIRATION,266.0,270.0,20220216,15:59:00,1,0
20220218,14:30:00,PUT,4330,4270,60.0,1.2,1.3,1.45,1.375,0.05,0.1,0.075,2,27.97,41,,,,4364.56,4361.4,PER_POS_SL,-384.0,60.00000000000001,20220218,14:48:00,0,1
20220218,15:00:00,PUT,4340,4280,60.0,1.5499999999999998,1.65,1.8,1.725,0.05,0.1,0.075,2,27.97,38,,,,4369.73,4368.17,PER_POS_SL,-264.00000000000006,39.99999999999999,20220218,15:09:00,0,1
20220218,14:45:00,PUT,4315,4255,60.0,1.2,1.3,1.4,1.35,0.05,0.1,0.075,2,27.97,49,,,,4367.32,4366.82,PER_POS_SL,-254.00000000000006,170.0,20220218,15:34:00,0,1
20220218,14:00:00,PUT,4300,4240,60.0,1.45,1.65,1.8,1.725,0.15,0.2,0.175,1,27.97,48,,,,4348.38,4347.08,EXPIRATION,138.0,140.0,20220218,15:59:00,1,0
20220218,14:15:00,PUT,4305,4245,60.0,1.4000000000000001,1.6,1.75,1.675,0.15,0.2,0.175,2,27.97,46,,,,4349.98,4349.47,EXPIRATION,266.0,270.0,20220218,15:59:00,1,0
20220222,14:00:00,PUT,4225,4165,60.0,1.3499999999999999,1.65,1.75,1.7,0.2,0.3,0.25,1,29.13,53,,,,4280.44,4282.62,EXPIRATION,127.99999999999997,129.99999999999997,20220222,15:59:00,1,0
20220225,14:00:00,PUT,4315,4255,60.0,1.2999999999999998,1.65,1.8,1.725,0.25,0.35,0.3,1,27.61,56,,,,4376.06,4376.55,EXPIRATION,122.99999999999997,124.99999999999997,20220225,15:59:00,1,0
20220228,14:00:00,PUT,4290,4230,60.0,1.35,1.7,1.85,1.775,0.25,0.35,0.3,1,29.94,58,,,,4350.63,4350.31,STOP_LOSS,-317.0,0.0,20220228,14:05:00,0,1
20220318,14:00:00,PUT,4410,4360,50.0,1.35,1.55,1.65,1.6,0.15,0.2,0.175,1,24.1,28,,,,4437.89,4437.79,EXPIRATION,128.0,130.0,20220318,15:59:00,1,0
20220321,14:00:00,PUT,4410,4360,50.0,1.5,1.65,1.8,1.725,0.1,0.15,0.125,1,23.71,30,,,,4439.06,4438.78,EXPIRATION,143.0,145.0,20220321,15:59:00,1,0
20220406,14:45:00,PUT,4450,4400,50.0,1.2999999999999998,1.4,1.65,1.525,0.05,0.1,0.075,1,22.09,34,,,,4476.17,4474.21,EXPIRATION,122.99999999999997,124.99999999999997,20220406,15:59:00,1,0
20220418,14:00:00,PUT,4375,4325,50.0,1.2000000000000002,1.35,1.5,1.425,0.05,0.15,0.1,1,22.31,31,,,,4406.31,4406.0,PER_POS_SL,-282.0,60.00000000000002,20220418,15:31:00,0,1
20220422,14:00:00,PUT,4260,4200,60.0,1.2,1.45,1.55,1.5,0.2,0.25,0.225,1,27.97,39,,,,4303.47,4303.95,EXPIRATION,98.0,109.99999999999999,20220422,15:59:00,1,0
20220425,14:00:00,PUT,4180,4120,60.0,1.25,1.55,1.65,1.6,0.2,0.3,0.25,1,26.91,58,,,,4237.48,4238.33,EXPIRATION,118.0,120.0,20220425,15:59:00,1,0
20220503,14:00:00,PUT,4140,4080,60.0,1.75,1.95,2.05,2.0,0.15,0.2,0.175,1,29.51,46,,,,4188.96,4189.64,PER_POS_SL,-377.0,0.0,20220503,14:21:00,0,1
20220513,14:00:00,PUT,3940,3880,60.0,1.2,1.45,1.55,1.5,0.15,0.25,0.2,1,28.83,57,,,,4003.38,4005.03,EXPIRATION,112.99999999999999,114.99999999999999,20220513,15:59:00,1,0
20220516,14:00:00,PUT,3980,3920,60.0,1.35,1.5,1.6,1.55,0.1,0.15,0.125,1,27.48,45,,,,4027.39,4028.16,EXPIRATION,128.0,130.0,20220516,15:59:00,1,0
20220517,14:00:00,PUT,4020,3960,60.0,1.7,2.0,2.2,2.1,0.2,0.3,0.25,1,26.16,51,,,,4072.68,4073.43,EXPIRATION,163.0,165.0,20220517,15:59:00,1,0
20220520,14:00:00,PUT,3780,3720,60.0,1.4,1.65,1.75,1.7,0.15,0.25,0.2,1,29.61,61,,,,3840.16,3837.53,EXPIRATION,133.0,135.0,20220520,15:59:00,1,0
20220523,14:00:00,PUT,3930,3870,60.0,1.2000000000000002,1.35,1.4,1.375,0.1,0.15,0.125,1,28.39,39,,,,3968.91,3968.04,EXPIRATION,113.00000000000001,115.00000000000001,20220523,15:59:00,1,0
20220524,14:00:00,PUT,3875,3815,60.0,1.3,1.45,1.55,1.5,0.1,0.15,0.125,1,29.34,44,,,,3919.4,3918.92,EXPIRATION,123.0,125.0,20220524,15:59:00,1,0
20220525,14:00:00,PUT,3875,3815,60.0,1.3,1.55,1.7,1.625,0.15,0.25,0.2,1,28.33,83,,,,3951.75,3951.7,EXPIRATION,123.0,125.0,20220525,15:59:00,1,0
20220525,14:15:00,PUT,3890,3830,60.0,1.4000000000000001,1.6,1.7,1.65,0.1,0.2,0.15,2,28.33,68,,,,3951.76,3950.68,EXPIRATION,266.0,270.0,20220525,15:59:00,1,0
20220525,14:30:00,PUT,3925,3865,60.0,1.25,1.4,1.55,1.475,0.1,0.15,0.125,2,28.33,50,,,,3969.0,3965.07,EXPIRATION,236.0,240.0,20220525,15:59:00,1,0
20220525,14:45:00,PUT,3935,3875,60.0,1.4000000000000001,1.55,1.7,1.625,0.05,0.15,0.1,2,28.33,39,,,,3974.1,3972.76,EXPIRATION,266.0,270.0,20220525,15:59:00,1,0
20220527,14:15:00,PUT,4100,4040,60.0,1.3,1.55,1.65,1.6,0.15,0.25,0.2,1,25.59,29,,,,4127.77,4127.43,EXPIRATION,123.0,125.0,20220527,15:59:00,1,0
20220531,14:00:00,PUT,4130,4070,60.0,1.6500000000000001,1.8,1.85,1.825,0.1,0.15,0.125,1,26.35,35,,,,4161.81,4159.99,STOP_LOSS,-107.0,35.00000000000001,20220531,14:27:00,0,1
20220531,14:15:00,PUT,4130,4070,60.0,1.5499999999999998,1.65,1.75,1.7,0.05,0.1,0.075,2,26.35,35,,,,4163.83,4163.55,STOP_LOSS,-234.00000000000006,49.99999999999996,20220531,14:27:00,0,1
20220601,14:00:00,PUT,4065,4005,60.0,1.2,1.3,1.4,1.35,0.05,0.1,0.075,1,25.63,40,,,,4103.65,4103.78,EXPIRATION,112.99999999999999,114.99999999999999,20220601,15:59:00,1,0
20220601,14:15:00,PUT,4075,4015,60.0,1.7,1.8,1.9,1.85,0.05,0.1,0.075,2,25.63,34,,,,4106.19,4105.59,EXPIRATION,326.0,330.0,20220601,15:59:00,1,0
20220601,14:30:00,PUT,4090,4030,60.0,1.4,1.5,1.6,1.55,0.05,0.1,0.075,2,25.63,32,,,,4116.82,4114.52,EXPIRATION,255.99999999999994,270.0,20220601,15:59:00,1,0
20220603,14:00:00,PUT,4075,4015,60.0,1.6500000000000001,1.8,1.9,1.85,0.05,0.15,0.1,1,25.14,35,,,,4111.38,4111.77,EXPIRATION,158.0,160.0,20220603,15:59:00,1,0
20220610,14:00:00,PUT,3870,3810,60.0,1.25,1.45,1.5,1.475,0.15,0.2,0.175,1,28.06,44,,,,3919.49,3919.13,EXPIRATION,118.0,120.0,20220610,15:59:00,1,0
20220622,14:00:00,PUT,3750,3690,60.0,1.4500000000000002,1.6,1.7,1.65,0.1,0.15,0.125,1,29.12,35,,,,3785.38,3784.88,EXPIRATION,138.0,140.0,20220622,15:59:00,1,0
20220624,14:00:00,PUT,3855,3795,60.0,1.5,1.85,1.95,1.9,0.25,0.35,0.3,1,27.29,29,,,,3885.85,3885.82,EXPIRATION,143.0,145.0,20220624,15:59:00,1,0
20220627,14:15:00,PUT,3875,3815,60.0,1.5999999999999999,1.7,1.75,1.725,0.05,0.1,0.075,1,27.09,28,,,,3899.84,3899.91,EXPIRATION,152.99999999999997,154.99999999999997,20220627,15:59:00,1,0
20220628,14:00:00,PUT,3815,3755,60.0,1.25,1.35,1.45,1.4,0.05,0.1,0.075,1,28.32,32,,,,3845.92,3845.61,PER_POS_SL,-377.0,30.000000000000004,20220628,14:36:00,0,1
20220628,14:15:00,PUT,3805,3745,60.0,1.25,1.35,1.45,1.4,0.05,0.1,0.075,2,28.32,28,,,,3840.1,3840.8,PER_POS_SL,-404.0,0.0,20220628,14:42:00,0,1
20220629,14:15:00,PUT,3800,3740,60.0,1.65,1.7,1.8,1.75,0.0,0.05,0.025,1,28.2,30,,,,3827.85,3826.33,EXPIRATION,158.0,160.0,20220629,15:59:00,1,0
20220701,14:00:00,PUT,3760,3700,60.0,1.2999999999999998,1.4,1.45,1.425,0.05,0.1,0.075,1,26.69,35,,,,3793.76,3793.21,EXPIRATION,122.99999999999997,124.99999999999997,20220701,15:59:00,1,0
20220705,14:00:00,PUT,3755,3695,60.0,1.2,1.3,1.4,1.35,0.05,0.1,0.075,1,27.47,31,,,,3786.15,3786.86,EXPIRATION,112.99999999999999,114.99999999999999,20220705,15:59:00,1,0
20220706,14:00:00,PUT,3780,3720,60.0,1.5499999999999998,1.65,1.75,1.7,0.05,0.1,0.075,1,26.79,48,,,,3830.43,3830.0,EXPIRATION,147.99999999999997,149.99999999999997,20220706,15:59:00,1,0
20220713,14:15:00,PUT,3770,3710,60.0,1.25,1.4,1.5,1.45,0.1,0.15,0.125,1,26.65,35,,,,3804.31,3806.75,EXPIRATION,118.0,120.0,20220713,15:59:00,1,0
20220718,14:00:00,PUT,3825,3765,60.0,1.2,1.25,1.35,1.3,0.0,0.05,0.025,1,25.31,33,,,,3862.02,3864.03,PER_POS_SL,-311.99999999999994,100.0,20220718,15:39:00,0,1
20220830,14:00:00,PUT,3950,3890,60.0,1.5999999999999999,1.7,1.8,1.75,0.05,0.1,0.075,1,26.37,28,,,,3977.97,3977.18,EXPIRATION,152.99999999999997,154.99999999999997,20220830,15:59:00,1,0
20220902,14:30:00,PUT,3910,3850,60.0,1.5,1.6,1.65,1.625,0.0,0.1,0.05,2,25.62,28,,,,3935.18,3934.12,PER_POS_SL,-284.0,210.0,20220902,15:35:00,0,1
20220902,14:00:00,PUT,3885,3825,60.0,1.5,1.6,1.7,1.65,0.05,0.1,0.075,1,25.62,43,,,,3930.5,3931.32,EXPIRATION,143.0,145.0,20220902,15:59:00,1,0
20220902,14:15:00,PUT,3895,3835,60.0,1.4,1.5,1.65,1.575,0.05,0.1,0.075,2,25.62,36,,,,3931.42,3930.64,EXPIRATION,266.0,270.0,20220902,15:59:00,1,0
20220906,14:00:00,PUT,3870,3810,60.0,1.5499999999999998,1.65,1.7,1.675,0.05,0.1,0.075,1,26.83,39,,,,3902.33,3901.59,EXPIRATION,147.99999999999997,149.99999999999997,20220906,15:59:00,1,0
20220906,14:15:00,PUT,3885,3825,60.0,1.45,1.55,1.6,1.575,0.05,0.1,0.075,2,26.83,32,,,,3912.67,3910.01,EXPIRATION,276.0,280.0,20220906,15:59:00,1,0
20220906,14:30:00,PUT,3885,3825,60.0,1.65,1.75,1.85,1.8,0.05,0.1,0.075,2,26.83,28,,,,3914.55,3914.18,EXPIRATION,316.0,320.0,20220906,15:59:00,1,0
20220907,14:00:00,PUT,3935,3885,50.0,1.25,1.5,1.55,1.525,0.15,0.25,0.2,1,24.66,32,,,,3966.45,3965.06,EXPIRATION,118.0,120.0,20220907,15:59:00,1,0
20220907,14:15:00,PUT,3945,3895,50.0,1.4000000000000001,1.55,1.65,1.6,0.05,0.15,0.1,2,24.66,28,,,,3972.68,3971.63,EXPIRATION,266.0,270.0,20220907,15:59:00,1,0
20220914,14:00:00,PUT,3890,3830,60.0,1.35,1.55,1.65,1.6,0.1,0.2,0.15,1,26.3,43,,,,3933.52,3935.78,EXPIRATION,128.0,130.0,20220914,15:59:00,1,0
