distance,trades,wr,avg,total
30-40,140,80.0,94.09,13172.00
40-50,71,76.1,74.72,5305.00
50-60,28,78.6,69.50,1946.00
60-70,16,93.8,161.81,2589.00
70-80,14,92.9,164.00,2296.00
80-90,4,50.0,-164.25,-657.00
90-100,2,50.0,-152.00,-304.00
100-120,0,0.0,0.00,0.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
