distance,trades,wr,avg,total
30-40,507,67.1,56.01,28397.00
40-50,236,70.8,78.45,18514.00
50-60,107,72.0,78.26,8374.00
60-70,46,87.0,158.83,7306.00
70-80,33,90.9,193.36,6381.00
80-90,11,72.7,61.45,676.00
90-100,5,80.0,94.00,470.00
100-120,1,100.0,236.00,236.00
120-150,1,100.0,316.00,316.00
150+,0,0.0,0.00,0.00
