distance,trades,wr,avg,total
30-40,771,68.7,38.56,29726.00
40-50,395,69.9,44.25,17480.00
50-60,210,67.1,29.19,6130.00
60-70,100,69.0,46.90,4690.00
70-80,51,80.4,131.10,6686.00
80-90,22,72.7,59.64,1312.00
90-100,7,71.4,34.57,242.00
100-120,1,100.0,226.00,226.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
