distance,trades,wr,avg,total
30-40,572,65.6,62.27,35617.00
40-50,245,69.0,92.91,22763.00
50-60,107,71.0,92.19,9864.00
60-70,46,80.4,128.96,5932.00
70-80,33,90.9,200.21,6607.00
80-90,11,72.7,61.45,676.00
90-100,5,80.0,94.00,470.00
100-120,1,100.0,236.00,236.00
120-150,1,100.0,316.00,316.00
150+,0,0.0,0.00,0.00
