distance,trades,wr,avg,total
30-40,222,72.5,86.60,19225.00
40-50,103,65.0,41.05,4228.00
50-60,44,70.5,79.68,3506.00
60-70,27,81.5,137.41,3710.00
70-80,15,73.3,89.60,1344.00
80-90,6,33.3,-180.83,-1085.00
90-100,2,50.0,-54.50,-109.00
100-120,0,0.0,0.00,0.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
