distance,trades,wr,avg,total
30-40,749,61.8,36.87,27614.00
40-50,362,56.9,14.84,5372.00
50-60,168,67.9,89.87,15098.00
60-70,96,78.1,145.79,13996.00
70-80,66,62.1,27.97,1846.00
80-90,25,60.0,-3.20,-80.00
90-100,22,54.5,-58.55,-1288.00
100-120,32,46.9,-104.31,-3338.00
120-150,9,44.4,-82.89,-746.00
150+,0,0.0,0.00,0.00
