entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,entry_short_bid,entry_short_ask,entry_short_mid,entry_long_bid,entry_long_ask,entry_long_mid,qty,vix_level,strike_distance,opening_put_credit,opening_call_credit,pc_skew_ratio,ema13,ema48,outcome,pnl_earned,peak_pnl,close_date,close_time,win,loss
20220114,14:30:00,PUT,4605,4555,50.0,2.15,2.3,2.45,2.375,0.1,0.15,0.125,1,19.28,29,,,,4634.52,4634.51,EXPIRATION,208.0,210.0,20220114,15:59:00,1,0
20220121,14:00:00,PUT,4390,4330,60.0,2.1500000000000004,2.45,2.6,2.525,0.25,0.3,0.275,1,29.37,49,,,,4441.61,4442.81,PER_POS_SL,-427.0,95.00000000000004,20220121,15:08:00,0,1
20220124,14:15:00,PUT,4250,4190,60.0,2.2,3.1,3.5,3.3,0.75,0.9,0.825,2,29.76,67,,,,4328.05,4326.28,PER_POS_SL,-474.0000000000001,0.0,20220124,14:23:00,0,1
20220124,14:00:00,PUT,4250,4190,60.0,1.9999999999999998,2.8,3.0,2.9,0.65,0.8,0.725,1,29.76,81,,,,4318.13,4313.48,PER_POS_SL,-371.99999999999994,44.99999999999999,20220124,14:25:00,0,1
20220124,14:30:00,PUT,4230,4170,60.0,2.3499999999999996,3.3,3.6,3.45,0.8,0.95,0.875,2,29.76,81,,,,4305.21,4310.45,PER_POS_SL,-384.00000000000006,89.99999999999994,20220124,14:39:00,0,1
20220124,14:45:00,PUT,4220,4160,60.0,2.1999999999999997,2.8,3.0,2.9,0.5,0.6,0.55,2,29.76,62,,,,4291.86,4292.47,EXPIRATION,426.0,430.0,20220124,15:59:00,1,0
20220124,15:00:00,PUT,4260,4200,60.0,2.3,2.65,2.85,2.75,0.3,0.35,0.325,2,29.76,66,,,,4303.69,4301.0,EXPIRATION,446.0,450.0,20220124,15:59:00,1,0
20220124,15:15:00,PUT,4285,4225,60.0,1.8,2.1,2.2,2.15,0.25,0.3,0.275,2,29.76,62,,,,4331.28,4325.74,EXPIRATION,346.0,350.0,20220124,15:59:00,1,0
20220124,15:30:00,PUT,4300,4240,60.0,1.9,2.15,2.4,2.275,0.15,0.25,0.2,2,29.76,49,,,,4345.22,4342.48,EXPIRATION,366.0,370.0,20220124,15:59:00,1,0
20220128,14:00:00,PUT,4320,4260,60.0,2.0,2.5,2.7,2.6,0.4,0.5,0.45,1,27.33,59,,,,4377.47,4376.8,PER_POS_SL,-362.00000000000006,10.000000000000009,20220128,14:21:00,0,1
