distance,trades,wr,avg,total
30-40,170,77.1,106.83,18161.00
40-50,56,78.6,137.88,7721.00
50-60,23,95.7,209.52,4819.00
60-70,7,71.4,45.14,316.00
70-80,4,100.0,180.75,723.00
80-90,2,100.0,125.50,251.00
90-100,0,0.0,0.00,0.00
100-120,0,0.0,0.00,0.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
