distance,trades,wr,avg,total
30-40,70,74.3,104.09,7286.00
40-50,29,79.3,118.00,3422.00
50-60,16,75.0,149.25,2388.00
60-70,9,88.9,201.89,1817.00
70-80,2,100.0,180.50,361.00
80-90,3,33.3,-187.67,-563.00
90-100,0,0.0,0.00,0.00
100-120,1,100.0,188.00,188.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
