distance,trades,wr,avg,total
30-40,64,85.9,122.14,7817.00
40-50,24,87.5,96.58,2318.00
50-60,13,76.9,32.15,418.00
60-70,8,100.0,225.25,1802.00
70-80,4,100.0,167.50,670.00
80-90,2,100.0,125.50,251.00
90-100,0,0.0,0.00,0.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,158.00,158.00
150+,0,0.0,0.00,0.00
