distance,trades,wr,avg,total
30-40,810,65.3,40.16,32530.00
40-50,370,57.8,12.54,4640.00
50-60,160,66.9,78.25,12520.00
60-70,56,85.7,172.96,9686.00
70-80,35,88.6,194.00,6790.00
80-90,7,71.4,57.43,402.00
90-100,5,80.0,96.00,480.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
