distance,trades,wr,avg,total
30-40,475,69.1,46.67,22170.00
40-50,310,69.7,51.19,15870.00
50-60,127,70.9,69.62,8842.00
60-70,58,82.8,129.45,7508.00
70-80,35,97.1,223.71,7830.00
80-90,11,72.7,48.73,536.00
90-100,5,80.0,114.00,570.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
