distance,trades,wr,avg,total
30-40,236,74.2,99.70,23529.00
40-50,105,63.8,30.11,3162.00
50-60,45,73.3,93.76,4219.00
60-70,27,88.9,162.96,4400.00
70-80,15,86.7,117.27,1759.00
80-90,8,25.0,-170.38,-1363.00
90-100,2,50.0,-122.00,-244.00
100-120,1,0.0,-164.00,-164.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
