distance,trades,wr,avg,total
30-40,874,70.0,42.93,37524.00
40-50,422,65.6,34.22,14442.00
50-60,183,68.9,72.94,13348.00
60-70,62,82.3,120.03,7442.00
70-80,40,92.5,203.50,8140.00
80-90,11,72.7,8.73,96.00
90-100,6,83.3,99.33,596.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
