distance,trades,wr,avg,total
30-40,132,79.5,77.37,10213.00
40-50,56,83.9,98.50,5516.00
50-60,29,79.3,78.83,2286.00
60-70,12,100.0,200.42,2405.00
70-80,11,81.8,75.27,828.00
80-90,3,100.0,172.33,517.00
90-100,2,50.0,-152.00,-304.00
100-120,0,0.0,0.00,0.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
