distance,trades,wr,avg,total
30-40,84,78.6,104.14,8748.00
40-50,31,87.1,168.19,5214.00
50-60,19,57.9,-93.58,-1778.00
60-70,13,92.3,230.00,2990.00
70-80,3,66.7,-42.67,-128.00
80-90,2,50.0,-102.00,-204.00
90-100,1,100.0,326.00,326.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,158.00,158.00
150+,0,0.0,0.00,0.00
