distance,trades,wr,avg,total
30-40,848,67.8,39.51,33508.00
40-50,419,64.9,36.86,15444.00
50-60,179,65.9,64.44,11534.00
60-70,63,81.0,123.14,7758.00
70-80,40,92.5,207.50,8300.00
80-90,11,72.7,48.73,536.00
90-100,6,83.3,116.00,696.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
