distance,trades,wr,avg,total
30-40,1287,67.1,43.69,56232.00
40-50,654,64.4,32.48,21244.00
50-60,347,60.2,35.31,12252.00
60-70,161,67.1,33.95,5466.00
70-80,67,77.6,111.97,7502.00
80-90,39,56.4,-9.38,-366.00
90-100,8,12.5,-152.75,-1222.00
100-120,1,100.0,226.00,226.00
120-150,1,100.0,276.00,276.00
150+,0,0.0,0.00,0.00
