distance,trades,wr,avg,total
30-40,757,67.2,52.41,39672.00
40-50,312,66.0,46.90,14632.00
50-60,128,66.4,63.34,8108.00
60-70,59,83.1,141.93,8374.00
70-80,36,88.9,187.67,6756.00
80-90,13,61.5,16.77,218.00
90-100,6,50.0,-55.67,-334.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
