entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,entry_short_bid,entry_short_ask,entry_short_mid,entry_long_bid,entry_long_ask,entry_long_mid,qty,vix_level,strike_distance,opening_put_credit,opening_call_credit,pc_skew_ratio,ema13,ema48,outcome,pnl_earned,peak_pnl,close_date,close_time,win,loss
20220112,14:10:00,PUT,4690,4640,50.0,1.25,1.45,1.6,1.525,0.1,0.2,0.15,3,17.65,28,,,,4718.31,4718.71,EXPIRATION,353.99999999999994,359.99999999999994,20220112,15:59:00,1,0
20220131,14:05:00,PUT,4440,4390,50.0,1.3,1.5,1.6,1.55,0.15,0.2,0.175,2,24.98,52,,,,4487.37,4486.83,STOP_LOSS,126.0,180.0,20220131,15:10:00,1,0
20220131,14:10:00,PUT,4450,4400,50.0,1.3,1.5,1.65,1.575,0.1,0.2,0.15,2,24.98,44,,,,4490.76,4489.65,STOP_LOSS,26.00000000000003,120.00000000000001,20220131,15:10:00,1,0
20220131,14:15:00,PUT,4450,4400,50.0,1.35,1.55,1.7,1.625,0.15,0.2,0.175,2,24.98,42,,,,4492.04,4490.93,STOP_LOSS,36.000000000000036,130.00000000000003,20220131,15:10:00,1,0
20220131,14:20:00,PUT,4450,4400,50.0,1.25,1.4,1.45,1.425,0.1,0.15,0.125,2,24.98,43,,,,4493.3,4492.17,STOP_LOSS,16.000000000000018,110.00000000000001,20220131,15:10:00,1,0
20220131,14:25:00,PUT,4455,4405,50.0,1.3,1.45,1.55,1.5,0.1,0.15,0.125,2,24.98,40,,,,4494.16,4493.73,STOP_LOSS,-63.999999999999964,90.00000000000001,20220131,15:10:00,0,1
20220131,14:30:00,PUT,4460,4410,50.0,1.4000000000000001,1.6,1.7,1.65,0.1,0.2,0.15,2,24.98,37,,,,4495.57,4495.14,STOP_LOSS,-154.00000000000006,40.000000000000036,20220131,15:10:00,0,1
20220131,14:35:00,PUT,4460,4410,50.0,1.35,1.55,1.7,1.625,0.1,0.2,0.15,2,24.98,37,,,,4496.06,4495.52,STOP_LOSS,-164.00000000000006,30.00000000000003,20220131,15:10:00,0,1
20220131,14:40:00,PUT,4460,4410,50.0,1.4000000000000001,1.55,1.7,1.625,0.1,0.15,0.125,2,24.98,37,,,,4496.51,4495.85,STOP_LOSS,-154.00000000000006,40.000000000000036,20220131,15:10:00,0,1
20220131,14:45:00,PUT,4460,4410,50.0,1.3,1.45,1.5,1.475,0.1,0.15,0.125,2,24.98,37,,,,4496.58,4496.33,STOP_LOSS,-174.00000000000006,20.000000000000018,20220131,15:10:00,0,1
