distance,trades,wr,avg,total
30-40,40,77.5,40.65,1626.00
40-50,12,75.0,16.42,197.00
50-60,7,57.1,-64.43,-451.00
60-70,1,100.0,138.00,138.00
70-80,1,100.0,143.00,143.00
80-90,0,0.0,0.00,0.00
90-100,0,0.0,0.00,0.00
100-120,0,0.0,0.00,0.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
