distance,trades,wr,avg,total
30-40,1271,68.7,49.52,62936.00
40-50,700,66.6,36.46,25520.00
50-60,356,63.8,43.39,15446.00
60-70,179,69.3,56.17,10054.00
70-80,83,77.1,89.13,7398.00
80-90,46,56.5,-10.52,-484.00
90-100,7,28.6,-105.43,-738.00
100-120,1,100.0,226.00,226.00
120-150,1,100.0,216.00,216.00
150+,0,0.0,0.00,0.00
