distance,trades,wr,avg,total
30-40,106,78.3,70.09,7430.00
40-50,49,81.6,92.88,4551.00
50-60,27,81.5,75.22,2031.00
60-70,16,87.5,146.00,2336.00
70-80,9,88.9,112.89,1016.00
80-90,3,66.7,-34.33,-103.00
90-100,2,50.0,-122.00,-244.00
100-120,1,100.0,236.00,236.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
