distance,trades,wr,avg,total
30-40,89,82.0,118.69,10563.00
40-50,33,75.8,71.52,2360.00
50-60,23,69.6,-24.39,-561.00
60-70,13,92.3,224.85,2923.00
70-80,5,80.0,62.20,311.00
80-90,1,100.0,168.00,168.00
90-100,2,50.0,-23.00,-46.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,158.00,158.00
150+,0,0.0,0.00,0.00
