distance,trades,wr,avg,total
30-40,479,69.1,74.93,35892.00
40-50,219,71.7,84.80,18572.00
50-60,107,71.0,31.82,3405.00
60-70,43,86.0,155.95,6706.00
70-80,32,90.6,188.19,6022.00
80-90,11,72.7,63.27,696.00
90-100,5,80.0,94.00,470.00
100-120,1,100.0,236.00,236.00
120-150,1,100.0,316.00,316.00
150+,0,0.0,0.00,0.00
