distance,trades,wr,avg,total
30-40,498,65.9,67.20,33465.00
40-50,222,69.8,98.88,21952.00
50-60,99,70.7,43.60,4316.00
60-70,46,80.4,140.91,6482.00
70-80,30,90.0,198.63,5959.00
80-90,10,70.0,42.00,420.00
90-100,5,80.0,94.00,470.00
100-120,1,100.0,236.00,236.00
120-150,1,100.0,316.00,316.00
150+,0,0.0,0.00,0.00
