distance,trades,wr,avg,total
30-40,35,77.1,80.69,2824.00
40-50,13,92.3,191.69,2492.00
50-60,10,80.0,79.20,792.00
60-70,3,100.0,177.33,532.00
70-80,2,100.0,138.00,276.00
80-90,0,0.0,0.00,0.00
90-100,0,0.0,0.00,0.00
100-120,0,0.0,0.00,0.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
