entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,entry_short_bid,entry_short_ask,entry_short_mid,entry_long_bid,entry_long_ask,entry_long_mid,qty,vix_level,strike_distance,opening_put_credit,opening_call_credit,pc_skew_ratio,ema13,ema48,outcome,pnl_earned,peak_pnl,close_date,close_time,win,loss
20220105,13:40:00,PUT,4750,4700,50.0,1.4000000000000001,1.55,1.65,1.6,0.1,0.15,0.125,2,19.97,28,,,,4776.55,4776.5,PER_POS_SL,-564.0,110.00000000000003,20220105,14:12:00,0,1
20220105,14:20:00,PUT,4725,4675,50.0,1.2,1.3,1.45,1.375,0.05,0.1,0.075,2,19.97,31,,,,4758.31,4761.27,PER_POS_SL,-454.0,110.00000000000001,20220105,14:41:00,0,1
20220110,13:40:00,PUT,4590,4540,50.0,1.3,1.5,1.6,1.55,0.1,0.2,0.15,2,19.4,32,,,,4620.97,4620.48,EXPIRATION,246.0,250.0,20220110,15:59:00,1,0
20220112,13:40:00,PUT,4695,4645,50.0,1.35,1.55,1.65,1.6,0.15,0.2,0.175,2,17.65,29,,,,4724.72,4725.03,EXPIRATION,256.0,260.0,20220112,15:59:00,1,0
20220114,13:40:00,PUT,4580,4530,50.0,1.2000000000000002,1.35,1.5,1.425,0.05,0.15,0.1,2,19.28,39,,,,4618.63,4619.08,EXPIRATION,226.00000000000003,230.00000000000003,20220114,15:59:00,1,0
20220114,14:00:00,PUT,4600,4550,50.0,1.2,1.3,1.4,1.35,0.05,0.1,0.075,2,19.28,35,,,,4631.29,4629.26,EXPIRATION,225.99999999999997,229.99999999999997,20220114,15:59:00,1,0
20220114,14:20:00,PUT,4605,4555,50.0,1.5,1.65,1.75,1.7,0.05,0.15,0.1,2,19.28,32,,,,4635.31,4635.43,EXPIRATION,286.0,290.0,20220114,15:59:00,1,0
20220114,14:40:00,PUT,4610,4560,50.0,1.2,1.3,1.4,1.35,0.05,0.1,0.075,2,19.28,31,,,,4640.21,4639.62,EXPIRATION,225.99999999999997,229.99999999999997,20220114,15:59:00,1,0
20220114,15:00:00,PUT,4610,4560,50.0,1.25,1.35,1.4,1.375,0.05,0.1,0.075,2,19.28,31,,,,4641.04,4641.06,EXPIRATION,236.0,240.0,20220114,15:59:00,1,0
20220118,13:40:00,PUT,4550,4500,50.0,1.5,1.7,1.8,1.75,0.15,0.2,0.175,2,22.88,32,,,,4577.53,4577.35,EXPIRATION,286.0,290.0,20220118,15:59:00,1,0
20220118,14:00:00,PUT,4555,4505,50.0,1.2000000000000002,1.35,1.5,1.425,0.1,0.15,0.125,2,22.88,33,,,,4584.72,4583.84,EXPIRATION,226.00000000000003,230.00000000000003,20220118,15:59:00,1,0
20220119,13:40:00,PUT,4550,4500,50.0,1.3,1.5,1.6,1.55,0.1,0.2,0.15,2,23.89,30,,,,4583.95,4585.0,PER_POS_SL,-533.9999999999999,20.000000000000018,20220119,14:17:00,0,1
20220119,14:40:00,PUT,4535,4485,50.0,1.3,1.45,1.55,1.5,0.05,0.15,0.1,2,23.89,28,,,,4562.48,4563.07,PER_POS_SL,-664.0,220.00000000000003,20220119,15:59:00,0,1
20220121,14:20:00,PUT,4390,4340,50.0,1.25,1.55,1.65,1.6,0.2,0.3,0.25,2,29.37,48,,,,4439.74,4439.2,PER_POS_SL,-444.00000000000006,19.99999999999997,20220121,14:58:00,0,1
20220121,14:40:00,PUT,4390,4340,50.0,1.55,1.8,1.95,1.875,0.15,0.25,0.2,2,29.37,44,,,,4430.29,4431.73,PER_POS_SL,-423.99999999999994,0.0,20220121,14:59:00,0,1
20220121,13:40:00,PUT,4385,4335,50.0,1.2,1.5,1.7,1.6,0.2,0.3,0.25,2,29.37,60,,,,4440.12,4439.5,PER_POS_SL,-444.00000000000006,59.999999999999986,20220121,15:00:00,0,1
20220121,14:00:00,PUT,4380,4330,50.0,1.3,1.6,1.75,1.675,0.25,0.3,0.275,2,29.37,59,,,,4441.61,4442.81,PER_POS_SL,-524.0000000000001,110.00000000000001,20220121,15:08:00,0,1
20220121,15:00:00,PUT,4370,4320,50.0,1.35,1.6,1.8,1.7,0.15,0.25,0.2,2,29.37,45,,,,4422.52,4424.52,EXPIRATION,256.0,260.0,20220121,15:59:00,1,0
20220124,14:00:00,PUT,4240,4190,50.0,1.3499999999999999,2.15,2.3,2.225,0.65,0.8,0.725,2,29.76,91,,,,4318.13,4313.48,PER_POS_SL,-554.0,49.99999999999996,20220124,14:25:00,0,1
20220124,14:20:00,PUT,4230,4180,50.0,1.3,2.1,2.3,2.2,0.7,0.8,0.75,2,29.76,89,,,,4321.23,4323.37,PER_POS_SL,-463.99999999999994,0.0,20220124,14:38:00,0,1
20220124,13:40:00,PUT,4210,4160,50.0,1.35,2.25,2.45,2.35,0.75,0.9,0.825,2,29.76,85,,,,4290.22,4291.66,EXPIRATION,256.0,260.0,20220124,15:59:00,1,0
20220124,14:40:00,PUT,4210,4160,50.0,1.4500000000000002,2.1,2.3,2.2,0.55,0.65,0.6,2,29.76,78,,,,4295.12,4299.2,EXPIRATION,276.0,280.0,20220124,15:59:00,1,0
