distance,trades,wr,avg,total
30-40,741,69.0,55.50,41126.00
40-50,306,68.3,55.25,16906.00
50-60,126,70.6,88.22,11116.00
60-70,58,81.0,123.59,7168.00
70-80,35,97.1,223.71,7830.00
80-90,11,72.7,48.73,536.00
90-100,5,80.0,114.00,570.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
