distance,trades,wr,avg,total
30-40,105,81.0,82.35,8647.00
40-50,49,81.6,90.02,4411.00
50-60,26,84.6,81.54,2120.00
60-70,14,92.9,177.64,2487.00
70-80,7,85.7,63.43,444.00
80-90,2,100.0,125.50,251.00
90-100,1,100.0,128.00,128.00
100-120,0,0.0,0.00,0.00
120-150,0,0.0,0.00,0.00
150+,0,0.0,0.00,0.00
