distance,trades,wr,avg,total
30-40,0,0.0,0.00,0.00
40-50,70,58.6,-30.00,-2100.00
50-60,189,68.3,54.62,10324.00
60-70,67,82.1,128.24,8592.00
70-80,40,92.5,204.50,8180.00
80-90,11,72.7,48.73,536.00
90-100,6,83.3,112.67,676.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
