distance,trades,wr,avg,total
30-40,724,69.5,52.91,38304.00
40-50,301,71.4,64.60,19446.00
50-60,121,72.7,92.86,11236.00
60-70,55,81.8,125.64,6910.00
70-80,32,96.9,220.06,7042.00
80-90,10,70.0,31.00,310.00
90-100,5,80.0,114.00,570.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
