distance,trades,wr,avg,total
30-40,452,68.6,71.91,32505.00
40-50,213,68.5,71.28,15183.00
50-60,91,69.2,88.44,8048.00
60-70,37,83.8,124.65,4612.00
70-80,28,82.1,140.39,3931.00
80-90,9,33.3,-132.89,-1196.00
90-100,5,0.0,-226.00,-1130.00
100-120,1,0.0,-204.00,-204.00
120-150,1,100.0,306.00,306.00
150+,0,0.0,0.00,0.00
