distance,trades,wr,avg,total
30-40,844,67.1,37.81,31914.00
40-50,404,65.8,37.56,15174.00
50-60,170,67.6,63.00,10710.00
60-70,61,82.0,129.11,7876.00
70-80,35,91.4,197.71,6920.00
80-90,9,66.7,8.22,74.00
90-100,6,83.3,114.33,686.00
100-120,0,0.0,0.00,0.00
120-150,1,100.0,286.00,286.00
150+,0,0.0,0.00,0.00
