entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,entry_short_bid,entry_short_ask,entry_short_mid,entry_long_bid,entry_long_ask,entry_long_mid,qty,vix_level,strike_distance,opening_put_credit,opening_call_credit,pc_skew_ratio,ema13,ema48,outcome,pnl_earned,peak_pnl,close_date,close_time,win,loss
20220114,14:00:00,PUT,4605,4555,50.0,1.6500000000000001,1.8,1.95,1.875,0.1,0.15,0.125,1,19.28,30,,,,4631.29,4629.26,EXPIRATION,158.0,160.0,20220114,15:59:00,1,0
20220118,14:00:00,PUT,4560,4510,50.0,1.75,1.95,2.05,2.0,0.1,0.2,0.15,1,22.88,28,,,,4584.72,4583.84,EXPIRATION,168.0,170.0,20220118,15:59:00,1,0
20220118,14:15:00,PUT,4560,4510,50.0,1.6,1.75,1.85,1.8,0.1,0.15,0.125,2,22.88,28,,,,4588.07,4586.93,EXPIRATION,306.0,310.0,20220118,15:59:00,1,0
20220121,14:00:00,PUT,4385,4325,60.0,1.65,1.95,2.1,2.025,0.2,0.3,0.25,1,29.37,54,,,,4441.61,4442.81,PER_POS_SL,-397.00000000000006,69.99999999999999,20220121,15:09:00,0,1
20220124,14:15:00,PUT,4240,4180,60.0,1.6500000000000001,2.45,2.65,2.55,0.65,0.8,0.725,2,29.76,77,,,,4328.05,4326.28,PER_POS_SL,-444.00000000000006,0.0,20220124,14:24:00,0,1
20220124,14:00:00,PUT,4250,4190,60.0,1.9999999999999998,2.8,3.0,2.9,0.65,0.8,0.725,1,29.76,81,,,,4318.13,4313.48,PER_POS_SL,-371.99999999999994,44.99999999999999,20220124,14:25:00,0,1
20220124,14:30:00,PUT,4220,4160,60.0,1.7,2.5,2.75,2.625,0.7,0.8,0.75,2,29.76,91,,,,4305.21,4310.45,EXPIRATION,326.0,330.0,20220124,15:59:00,1,0
20220124,14:45:00,PUT,4220,4160,60.0,2.1999999999999997,2.8,3.0,2.9,0.5,0.6,0.55,2,29.76,62,,,,4291.86,4292.47,EXPIRATION,426.0,430.0,20220124,15:59:00,1,0
20220124,15:00:00,PUT,4260,4200,60.0,2.3,2.65,2.85,2.75,0.3,0.35,0.325,2,29.76,66,,,,4303.69,4301.0,EXPIRATION,446.0,450.0,20220124,15:59:00,1,0
20220124,15:15:00,PUT,4285,4225,60.0,1.8,2.1,2.2,2.15,0.25,0.3,0.275,2,29.76,62,,,,4331.28,4325.74,EXPIRATION,346.0,350.0,20220124,15:59:00,1,0
20220124,15:30:00,PUT,4300,4240,60.0,1.9,2.15,2.4,2.275,0.15,0.25,0.2,2,29.76,49,,,,4345.22,4342.48,EXPIRATION,366.0,370.0,20220124,15:59:00,1,0
20220128,14:00:00,PUT,4315,4255,60.0,1.7,2.15,2.3,2.225,0.35,0.45,0.4,1,27.33,64,,,,4377.47,4376.8,PER_POS_SL,-372.0,5.000000000000004,20220128,14:23:00,0,1
20220128,14:15:00,PUT,4295,4235,60.0,1.9,2.3,2.4,2.35,0.3,0.4,0.35,2,27.33,57,,,,4362.22,4364.93,PER_POS_SL,-394.0000000000001,0.0,20220128,14:25:00,0,1
20220128,14:30:00,PUT,4280,4220,60.0,1.7999999999999998,2.15,2.3,2.225,0.3,0.35,0.325,2,27.33,56,,,,4342.61,4346.31,EXPIRATION,345.99999999999994,349.99999999999994,20220128,15:59:00,1,0
20220128,14:45:00,PUT,4310,4250,60.0,1.7,1.95,2.15,2.05,0.2,0.25,0.225,2,27.33,48,,,,4349.93,4347.75,EXPIRATION,326.0,330.0,20220128,15:59:00,1,0
20220128,15:00:00,PUT,4335,4275,60.0,1.9,2.15,2.35,2.25,0.15,0.25,0.2,2,27.33,42,,,,4368.42,4365.27,EXPIRATION,366.0,370.0,20220128,15:59:00,1,0
20220131,14:15:00,PUT,4455,4405,50.0,1.7,1.95,2.1,2.025,0.2,0.25,0.225,1,24.98,37,,,,4492.04,4490.93,EXPIRATION,163.0,165.0,20220131,15:59:00,1,0
20220204,14:00:00,PUT,4485,4435,50.0,1.85,2.2,2.3,2.25,0.25,0.35,0.3,1,23.31,34,,,,4517.58,4517.1,EXPIRATION,178.0,180.0,20220204,15:59:00,1,0
20220211,14:00:00,PUT,4345,4285,60.0,1.75,2.6,2.85,2.725,0.75,0.85,0.8,1,28.1,86,,,,4431.75,4434.63,EXPIRATION,168.0,170.0,20220211,15:59:00,1,0
20220214,14:00:00,PUT,4300,4240,60.0,1.65,2.25,2.35,2.3,0.5,0.6,0.55,1,28.78,77,,,,4383.46,4386.87,EXPIRATION,158.0,160.0,20220214,15:59:00,1,0
20220216,14:00:00,PUT,4385,4335,50.0,1.9499999999999997,2.55,3.4,2.975,0.5,0.6,0.55,1,24.34,69,,,,4440.65,4439.61,EXPIRATION,187.99999999999997,189.99999999999997,20220216,15:59:00,1,0
