date,action,reason,pred_range,regime,outcome,spot,spot_close,otm_distance,put_short,call_short,credit,put_credit,call_credit,exit_val,pnl,exit_time,actual_range
20230718,SKIP,put_credit_too_low,0.006537502243452709,CALM,,,,,,,,,,,,,
20230719,SKIP,regime=NORMAL,0.007766515101473314,NORMAL,,,,,,,,,,,,,
20230720,TRADE,,0.006932581471476189,CALM,WIN,4562.06,4535.28,30.0,4530.0,4590.0,1.1,0.5,0.6000000000000001,0.0,216.00000000000003,15:59,0.00816357001392053
20230721,SKIP,put_credit_too_low,0.008512687706001653,CALM,,,,,,,,,,,,,
20230724,SKIP,put_credit_too_low,0.007886631469829196,CALM,,,,,,,,,,,,,
20230725,SKIP,put_credit_too_low,0.006865979647854896,CALM,,,,,,,,,,,,,
20230726,SKIP,regime=VOLATILE,0.010245151838903071,VOLATILE,,,,,,,,,,,,,
20230727,SKIP,put_credit_too_low,0.007624587427897787,CALM,,,,,,,,,,,,,
20230728,SKIP,regime=NORMAL,0.010365414442192746,NORMAL,,,,,,,,,,,,,
20230731,SKIP,regime=NORMAL,0.009022720242625907,NORMAL,,,,,,,,,,,,,
