date,actual_range,pred_range_ensemble,pred_range_sim,pred_range_naive,pred_bucket,actual_bucket,danger_prob,action,is_danger,pred_danger
2023-06-01,0.014532527856601547,0.01056057747920646,0.010059650057283666,0.006989219087798328,NORMAL,VOLATILE,0.1582108779338498,TRADE,False,False
2023-06-02,0.011709474865656967,0.008421310587807556,0.00818721919527048,0.014532527856601547,NORMAL,NORMAL,0.0,TRADE,False,False
2023-06-05,0.00757881760172217,0.009721985677014837,0.0087544804104521,0.011709474865656967,NORMAL,NORMAL,0.09700831871680443,TRADE,False,False
2023-06-06,0.005909152631258523,0.009767022576525985,0.009609619099670542,0.00757881760172217,NORMAL,CALM,0.10594175525071936,TRADE,False,False
2023-06-07,0.008220801919042616,0.008402346885828194,0.007032779752596723,0.005909152631258523,NORMAL,NORMAL,0.0,TRADE,False,False
2023-06-08,0.00865370874905428,0.009878838129804085,0.009173483901462533,0.008220801919042616,NORMAL,NORMAL,0.10513245038028843,TRADE,False,False
2023-06-09,0.007182546319525764,0.008413867756281394,0.007963441386041603,0.00865370874905428,NORMAL,NORMAL,0.0,TRADE,False,False
2023-06-12,0.008300219110929602,0.009864365910345988,0.008086792069896936,0.007182546319525764,NORMAL,NORMAL,0.10288201366517201,TRADE,False,False
2023-06-13,0.00598721227033883,0.009244297693728745,0.008340134771654264,0.008300219110929602,NORMAL,CALM,0.04912081432996693,TRADE,False,False
2023-06-14,0.012360608205135102,0.014052985595102353,0.014083080278585437,0.00598721227033883,VOLATILE,VOLATILE,0.4103877455783162,SKIP,False,True
2023-06-15,0.017547356099080588,0.009176633825451164,0.009005359442894068,0.012360608205135102,NORMAL,VOLATILE,0.05439119345420717,TRADE,True,False
2023-06-16,0.00923901417489516,0.009138202530632914,0.009479132499259297,0.017547356099080588,NORMAL,NORMAL,0.04705559305038033,TRADE,False,False
2023-06-20,0.007497537595738059,0.01056297254506779,0.010331550136220034,0.00923901417489516,NORMAL,NORMAL,0.15311071298546355,TRADE,False,False
2023-06-21,0.005954324305195633,0.010513403032219803,0.008740003480047186,0.007497537595738059,NORMAL,CALM,0.14860599117452336,TRADE,False,False
2023-06-22,0.006986729117876726,0.010492711446726765,0.00890404769323448,0.005954324305195633,NORMAL,CALM,0.1526569690713594,TRADE,False,False
2023-06-23,0.005789852026907547,0.008438323486392774,0.006778216377923623,0.006986729117876726,NORMAL,CALM,0.0,TRADE,False,False
2023-06-26,0.007820771305732886,0.011124700890201858,0.009852873501560642,0.005789852026907547,NORMAL,NORMAL,0.20338562660909576,TRADE,False,False
2023-06-27,0.011394027703487854,0.009762993919528578,0.009477925469717466,0.007820771305732886,NORMAL,NORMAL,0.10291112821613256,TRADE,False,False
2023-06-28,0.0068987150484948094,0.00843231404611344,0.008162530586532938,0.011394027703487854,NORMAL,CALM,0.0,TRADE,False,False
2023-06-29,0.006038939962605219,0.009020971331611097,0.007693876830504561,0.0068987150484948094,NORMAL,CALM,0.049003070717963795,TRADE,False,False
2023-06-30,0.008149347419071817,0.008340760750706685,0.006330701839516737,0.006038939962605219,NORMAL,NORMAL,0.0,TRADE,False,False
2023-07-03,0.003183926228182145,0.008316317491081377,0.006161106852892959,0.008149347419071817,NORMAL,CALM,0.0,TRADE,False,False
2023-07-05,0.003928375251010961,0.008260428357335307,0.006595503902917177,0.003183926228182145,NORMAL,CALM,0.0,TRADE,False,False
2023-07-06,0.008494964523291558,0.008197340428226079,0.007621008261833101,0.003928375251010961,NORMAL,NORMAL,0.0,TRADE,False,False
2023-07-07,0.00976038360419038,0.008919310638437993,0.007590288131547927,0.008494964523291558,NORMAL,NORMAL,0.04987439364798197,TRADE,False,False
2023-07-10,0.005161313813796795,0.01025080057010976,0.009627303659608585,0.00976038360419038,NORMAL,CALM,0.1481336847938443,TRADE,False,False
2023-07-11,0.007967297392170917,0.009460560220652052,0.008962885307982,0.005161313813796795,NORMAL,NORMAL,0.09896901673850093,TRADE,False,False
2023-07-12,0.005620354142745039,0.008091794756852209,0.006802549181058363,0.007967297392170917,NORMAL,CALM,0.0,TRADE,False,False
2023-07-13,0.006238450406323152,0.008833343824378625,0.007320519585538567,0.005620354142745039,NORMAL,CALM,0.05232413255679772,TRADE,False,False
2023-07-14,0.0062463867310797215,0.00804935932597157,0.006730849238351941,0.006238450406323152,NORMAL,CALM,0.0,TRADE,False,False
2023-07-17,0.006198906153662063,0.008743476618929413,0.008313035488243194,0.0062463867310797215,NORMAL,CALM,0.04977797957981939,TRADE,False,False
2023-07-18,0.010551154633794664,0.007929541017807192,0.006537502243452709,0.006198906153662063,NORMAL,NORMAL,0.0,TRADE,False,False
2023-07-19,0.004590402443540401,0.00866027885189546,0.007766515101473314,0.010551154633794664,NORMAL,CALM,0.049261327548957456,TRADE,False,False
2023-07-20,0.00816357001392053,0.007841797900523105,0.006932581471476189,0.004590402443540401,NORMAL,NORMAL,0.0,TRADE,False,False
2023-07-21,0.004221829562037387,0.00926420476489781,0.008512687706001653,0.00816357001392053,NORMAL,CALM,0.09891684288017552,TRADE,False,False
2023-07-24,0.0048686113232630016,0.008527377561319185,0.007886631469829196,0.004221829562037387,NORMAL,CALM,0.05215294871169395,TRADE,False,False
2023-07-25,0.006190740671629465,0.007714715940165885,0.006865979647854896,0.0048686113232630016,NORMAL,CALM,0.0,TRADE,False,False
2023-07-26,0.007653061224489868,0.010527637503487005,0.010245151838903071,0.006190740671629465,NORMAL,NORMAL,0.19572644438267578,TRADE,False,False
2023-07-27,0.017073849673572027,0.008369450460177811,0.007624587427897787,0.007653061224489868,NORMAL,VOLATILE,0.04898445037476155,TRADE,True,False
2023-07-28,0.0057274270382740265,0.009904072868570339,0.010365414442192746,0.017073849673572027,NORMAL,CALM,0.14939959889958881,TRADE,False,False
2023-07-31,0.004597781374186975,0.00917097963467578,0.009022720242625907,0.0057274270382740265,NORMAL,CALM,0.0990487134599995,TRADE,False,False
2023-08-01,0.0037323945199974986,0.008285057266480307,0.007736394887320169,0.004597781374186975,NORMAL,CALM,0.048895901467815174,TRADE,False,False
2023-08-02,0.009927641163454567,0.007528666541827023,0.006482449449426405,0.0037323945199974986,NORMAL,NORMAL,0.0,TRADE,False,False
2023-08-03,0.007554063285027338,0.008155275634925699,0.009683937652331899,0.009927641163454567,NORMAL,NORMAL,0.0502212079758796,TRADE,False,False
2023-08-04,0.01457478577568254,0.008164004973593254,0.00820679999028817,0.007554063285027338,NORMAL,VOLATILE,0.05019937895082412,TRADE,False,False
2023-08-07,0.00638750729142095,0.009676363692722786,0.011355751296253649,0.01457478577568254,NORMAL,CALM,0.14511130362828983,TRADE,False,False
2023-08-08,0.008652676838527105,0.00837359598037147,0.008405376330077487,0.00638750729142095,NORMAL,NORMAL,0.051956135777240335,TRADE,False,False
2023-08-09,0.009132369373351892,0.00831362453494251,0.008021306278649781,0.008652676838527105,NORMAL,NORMAL,0.04816382998001696,TRADE,False,False
2023-08-10,0.015477495787981669,0.009815212234661117,0.010101516687020385,0.009132369373351892,NORMAL,VOLATILE,0.1486480567458925,TRADE,True,False
2023-08-11,0.007246067463696641,0.008380813050130777,0.009507024046125807,0.015477495787981669,NORMAL,NORMAL,0.04913161064673693,TRADE,False,False
2023-08-14,0.00827476991474011,0.009207733139924533,0.009227289054475458,0.007246067463696641,NORMAL,NORMAL,0.10166748417126753,TRADE,False,False
2023-08-15,0.010422271689064495,0.007659226861719943,0.006726987844227815,0.00827476991474011,NORMAL,NORMAL,0.0,TRADE,False,False
2023-08-16,0.010465087430843508,0.011260558792272023,0.010462672215503054,0.010422271689064495,NORMAL,NORMAL,0.2461826104771854,TRADE,False,False
2023-08-17,0.012757227737120532,0.009078925947248965,0.00953838555193595,0.010465087430843508,NORMAL,VOLATILE,0.10184029363769723,TRADE,False,False
2023-08-18,0.010704553405387332,0.012020350654211323,0.012191776867980068,0.012757227737120532,VOLATILE,NORMAL,0.2986732603212343,REDUCE,False,True
