iteration,timestamp,idea,entry_time,direction,width,otm_distance,interval,filters,qty,num_trades,win_rate,total_pnl,max_drawdown,sharpe,calmar,profit_factor,avg_win,avg_loss,max_single_loss,verdict,notes
13,2026-04-03 07:48:30,entry_time_sweep_15:30:00,15:30:00,always_put,10.0,10.0,single,none,1,594,87.2,-6977.0,-8988.0,-0.76,-0.78,0.84,69.37,-564.59,-972.0,SWEEP,
14,2026-04-03 07:48:35,entry_time_sweep_15:55:00,15:55:00,always_put,10.0,10.0,single,none,1,259,96.9,1973.0,-1214.0,1.19,1.63,1.55,22.16,-448.75,-977.0,SWEEP,
15,2026-04-03 07:49:04,dir_sweep_always_put_1555,15:55:00,always_put,10.0,10.0,single,none,1,259,96.9,1973.0,-1214.0,1.19,1.63,1.55,22.16,-448.75,-977.0,SWEEP,
16,2026-04-03 07:49:09,dir_sweep_always_call_1555,15:55:00,always_call,10.0,10.0,single,none,1,171,95.9,1522.0,-796.0,1.96,1.91,1.91,19.46,-238.57,-719.0,SWEEP,
17,2026-04-03 07:49:14,dir_sweep_both_sides_1555,15:55:00,both_sides,10.0,10.0,single,none,1,430,96.5,3495.0,-1663.0,1.54,2.1,1.66,21.1,-350.67,-977.0,SWEEP,
18,2026-04-03 07:49:18,dir_sweep_ema_1555,15:55:00,ema,10.0,10.0,single,none,1,236,97.0,1745.0,-1203.0,1.3,1.45,1.66,19.11,-376.0,-977.0,SWEEP,
19,2026-04-03 07:49:41,width_sweep_5_both1555,15:55:00,both_sides,5,10.0,single,none,1,310,95.2,231.0,-1636.0,0.17,0.14,1.06,14.76,-274.93,-492.0,SWEEP,
20,2026-04-03 07:49:46,width_sweep_10_both1555,15:55:00,both_sides,10,10.0,single,none,1,430,96.5,3495.0,-1663.0,1.54,2.1,1.66,21.1,-350.67,-977.0,SWEEP,
21,2026-04-03 07:49:51,width_sweep_15_both1555,15:55:00,both_sides,15,10.0,single,none,1,450,96.4,4749.0,-1833.0,1.71,2.59,1.81,24.46,-366.75,-1467.0,SWEEP,
22,2026-04-03 07:49:56,width_sweep_20_both1555,15:55:00,both_sides,20,10.0,single,none,1,459,96.7,5441.0,-2298.0,1.66,2.37,1.86,26.51,-421.87,-1962.0,SWEEP,
23,2026-04-03 07:50:01,width_sweep_25_both1555,15:55:00,both_sides,25,10.0,single,none,1,453,96.7,5120.0,-2581.0,1.44,1.98,1.78,26.76,-440.07,-2250.0,SWEEP,
24,2026-04-03 07:50:06,width_sweep_30_both1555,15:55:00,both_sides,30,10.0,single,none,1,457,96.7,5512.0,-2576.0,1.54,2.14,1.84,27.36,-438.73,-2245.0,SWEEP,
25,2026-04-03 07:50:11,width_sweep_50_both1555,15:55:00,both_sides,50,10.0,single,none,1,456,96.7,5474.0,-2561.0,1.53,2.14,1.83,27.29,-437.4,-2235.0,SWEEP,
26,2026-04-03 07:50:16,otm_sweep_3_both1555,15:55:00,both_sides,10.0,3,single,none,1,1111,86.8,-768.0,-10011.0,-0.08,-0.08,0.98,46.26,-308.56,-947.0,SWEEP,
27,2026-04-03 07:50:21,otm_sweep_5_both1555,15:55:00,both_sides,10.0,5,single,none,1,950,90.5,3298.0,-4357.0,0.49,0.76,1.13,33.64,-284.84,-952.0,SWEEP,
28,2026-04-03 07:50:26,otm_sweep_7_both1555,15:55:00,both_sides,10.0,7,single,none,1,707,93.5,4270.0,-3841.0,1.01,1.11,1.31,27.27,-299.0,-952.0,SWEEP,
29,2026-04-03 07:50:31,otm_sweep_10_both1555,15:55:00,both_sides,10.0,10,single,none,1,430,96.5,3495.0,-1663.0,1.54,2.1,1.66,21.1,-350.67,-977.0,SWEEP,
30,2026-04-03 07:50:36,otm_sweep_15_both1555,15:55:00,both_sides,10.0,15,single,none,1,184,97.8,1017.0,-1258.0,1.08,0.81,1.59,15.28,-433.25,-987.0,SWEEP,
31,2026-04-03 07:50:41,otm_sweep_20_both1555,15:55:00,both_sides,10.0,20,single,none,1,62,100.0,906.0,0.0,11.69,0,inf,14.61,0,3.0,SWEEP,
32,2026-04-03 07:50:46,otm_sweep_25_both1555,15:55:00,both_sides,10.0,25,single,none,1,19,100.0,322.0,0.0,16.15,0,inf,16.95,0,3.0,SWEEP,
33,2026-04-03 07:50:51,otm_sweep_30_both1555,15:55:00,both_sides,10.0,30,single,none,1,13,100.0,124.0,0.0,19.76,0,inf,9.54,0,3.0,SWEEP,
34,2026-04-03 07:51:17,qty_sweep_1_w15,15:55:00,both_sides,15,10.0,single,none,1,451,96.5,4827.0,-1833.0,1.74,2.63,1.82,24.59,-366.75,-1467.0,SWEEP,
35,2026-04-03 07:51:22,qty_sweep_2_w15,15:55:00,both_sides,15,10.0,single,none,2,451,96.5,9654.0,-3666.0,1.74,2.63,1.82,49.17,-733.5,-2934.0,SWEEP,
36,2026-04-03 07:51:27,qty_sweep_3_w15,15:55:00,both_sides,15,10.0,single,none,3,451,96.5,14481.0,-5499.0,1.74,2.63,1.82,73.76,-1100.25,-4401.0,SWEEP,
37,2026-04-03 07:51:32,qty_sweep_5_w15,15:55:00,both_sides,15,10.0,single,none,5,451,96.5,24135.0,-9165.0,1.74,2.63,1.82,122.93,-1833.75,-7335.0,SWEEP,
38,2026-04-03 07:51:37,qty_sweep_7_w15,15:55:00,both_sides,15,10.0,single,none,7,451,96.5,33789.0,-12831.0,1.74,2.63,1.82,172.1,-2567.25,-10269.0,SWEEP,
39,2026-04-03 07:51:42,qty_sweep_10_w15,15:55:00,both_sides,15,10.0,single,none,10,451,96.5,48270.0,-18330.0,1.74,2.63,1.82,245.86,-3667.5,-14670.0,SWEEP,
40,2026-04-03 07:51:47,otm_sweep_5_w15,15:55:00,both_sides,15,5,single,none,1,956,90.6,6715.0,-4962.0,0.88,1.35,1.25,38.26,-293.58,-1432.0,SWEEP,
41,2026-04-03 07:51:52,otm_sweep_7_w15,15:55:00,both_sides,15,7,single,none,1,721,93.3,6103.0,-4296.0,1.23,1.42,1.41,31.33,-312.12,-1432.0,SWEEP,
42,2026-04-03 07:51:57,otm_sweep_10_w15,15:55:00,both_sides,15,10,single,none,1,451,96.5,4827.0,-1833.0,1.74,2.63,1.82,24.59,-366.75,-1467.0,SWEEP,
43,2026-04-03 07:52:02,otm_sweep_12_w15,15:55:00,both_sides,15,12,single,none,1,342,97.7,3744.0,-1467.0,1.92,2.55,2.23,20.31,-379.75,-1467.0,SWEEP,
44,2026-04-03 07:52:07,otm_sweep_15_w15,15:55:00,both_sides,15,15,single,none,1,217,98.2,1366.0,-1626.0,0.97,0.84,1.61,16.85,-555.75,-1482.0,SWEEP,
45,2026-04-03 07:52:12,otm_sweep_20_w15,15:55:00,both_sides,15,20,single,none,1,80,98.8,-138.0,-1285.0,-0.2,-0.11,0.89,14.52,-1285.0,-1285.0,SWEEP,
46,2026-04-03 07:52:34,proposed_baseline_w15_d12_q10,15:55:00,both_sides,15,12,single,none,10,342,97.7,37440.0,-14670.0,1.92,2.55,2.23,203.05,-3797.5,-14670.0,BASELINE,
47,2026-04-03 07:53:01,filter_skip_fomc,15:55:00,both_sides,15,12,single,skip_fomc,10,317,98.1,46270.0,-8800.0,4.23,5.26,3.95,199.29,-2618.33,-7140.0,SWEEP,
48,2026-04-03 07:53:05,filter_skip_fomc+cpi,15:55:00,both_sides,15,12,single,skip_fomc+cpi,10,300,98.0,42310.0,-9000.0,4.04,4.7,3.69,197.35,-2618.33,-7140.0,SWEEP,
49,2026-04-03 07:53:10,filter_skip_fomc+cpi+nfp,15:55:00,both_sides,15,12,single,skip_fomc+cpi+nfp,10,275,97.8,38710.0,-9470.0,3.88,4.09,3.46,202.3,-2618.33,-7140.0,SWEEP,
50,2026-04-03 07:53:14,filter_skip_wed,15:55:00,both_sides,15,12,single,skip_wed,10,257,98.1,43640.0,-4250.0,6.11,10.27,6.09,207.18,-1714.0,-4250.0,SWEEP,
