signal_date,trade_date,signal_mode,spx_close_signal,spx_close_exit,short_strike,long_strike,credit_received,spread_value_exit,raw_return,capped_return,pnl_earned,win,loss,equity_after,vix_level,variance_pct,rel_vol,rising_rocket,exhaustion_score,body_size,atr,rsi,stoch,gap_pct,cluster_count,dist_from_sma
20220103,20220104,classic,4796.59,4793.53,4805.0,4815.0,4.0,0,0.6667,0.66,394.0,1,0,100394.0,16.6,99.87,1.0,0.0,148.72,18.45,38.47,nan,99.9,nan,0,0.0
20220110,20220111,classic,4670.29,4713.1,4680.0,4690.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99792.0,19.4,96.99,1.0,-0.007907,146.86,14.95,62.47,0.0,37.2,-0.4635,3,-0.011026
20220111,20220112,classic,4713.1,4726.43,4720.0,4730.0,4.0,6.43,-0.405,-0.405,-245.0,0,1,99547.0,18.41,98.64,1.0,0.00462,145.73,43.96,64.38,25.3,55.4,-0.0246,2,-0.001681
20220114,20220118,classic,4662.82,4577.34,4670.0,4680.0,4.0,0,0.6667,0.66,394.0,1,0,99941.0,19.19,95.41,1.0,-0.005027,143.86,24.83,63.7,23.6,34.1,-0.4563,2,-0.009928
20220124,20220125,classic,4410.5,4356.45,4420.0,4430.0,4.0,0,0.6667,0.66,394.0,1,0,100335.0,29.9,96.48,1.0,-0.015558,148.24,54.18,85.15,13.6,31.5,-0.9416,3,-0.048049
20220125,20220126,classic,4356.45,4349.78,4365.0,4375.0,4.0,0,0.6667,0.66,394.0,1,0,100729.0,31.16,55.96,1.0,-0.017939,92.17,10.19,90.83,12.5,23.3,-0.9944,2,-0.056193
20220128,20220131,classic,4432.0,4515.45,4440.0,4450.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100127.0,27.66,99.49,1.0,0.013018,144.61,95.81,105.88,29.6,39.8,0.224,2,-0.031663
20220131,20220201,classic,4515.45,4546.35,4525.0,4535.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99525.0,24.83,98.6,1.0,0.027164,139.5,83.66,106.46,38.6,55.6,-0.0047,2,-0.012768
20220201,20220202,classic,4546.35,4589.31,4555.0,4565.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98923.0,21.96,93.82,1.0,0.025335,133.3,26.78,105.82,37.5,61.5,0.0912,1,-0.003285
20220202,20220203,classic,4589.31,4477.3,4595.0,4605.0,4.0,0,0.6667,0.66,394.0,1,0,99317.0,22.09,88.23,1.0,0.02396,125.86,22.92,106.46,40.1,70.3,0.4408,0,0.00839
20220204,20220207,classic,4500.61,4483.92,4510.0,4520.0,4.0,0,0.6667,0.66,394.0,1,0,99711.0,23.22,55.71,1.0,-0.005567,88.41,17.82,110.95,39.3,67.9,0.1226,1,-0.006528
20220208,20220209,classic,4521.48,4587.21,4530.0,4540.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99109.0,21.44,85.07,1.0,0.001541,127.58,41.46,106.72,49.2,78.8,-0.087,2,0.001859
20220209,20220210,classic,4587.21,4504.06,4595.0,4605.0,4.0,0,0.6667,0.66,394.0,1,0,99503.0,19.96,93.45,1.0,0.016195,135.29,40.21,102.75,57.5,97.8,0.5644,1,0.017843
20220214,20220215,classic,4401.55,4471.0,4410.0,4420.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98901.0,28.33,59.81,1.0,-0.018947,97.82,11.06,93.69,53.1,36.0,-0.1331,2,-0.01544
20220215,20220216,classic,4471.0,4475.1,4480.0,4490.0,4.0,0,0.6667,0.66,394.0,1,0,99295.0,25.7,95.93,1.0,-0.00122,143.54,41.72,88.17,57.6,59.0,0.63,2,0.001286
20220216,20220217,classic,4475.1,4380.04,4485.0,4495.0,4.0,0,0.6667,0.66,394.0,1,0,99689.0,24.29,75.86,1.0,0.004728,113.81,19.35,83.93,59.6,60.3,-0.3411,1,0.002853
20220224,20220225,classic,4288.65,4384.62,4295.0,4305.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99087.0,30.32,96.62,1.0,-0.004858,145.5,132.88,89.91,36.8,36.6,-1.653,3,-0.034069
20220225,20220228,classic,4384.62,4373.39,4390.0,4400.0,4.0,0,0.6667,0.66,394.0,1,0,99481.0,27.59,99.27,1.0,0.017194,143.17,86.24,90.65,42.6,56.8,0.2269,2,-0.0131
20220228,20220301,classic,4373.39,4306.19,4380.0,4390.0,4.0,0,0.6667,0.66,394.0,1,0,99875.0,30.15,79.04,1.0,0.013441,115.88,19.22,92.32,42.9,54.4,-0.6945,1,-0.014978
20220302,20220303,classic,4386.47,4363.54,4395.0,4405.0,4.0,0,0.6667,0.66,394.0,1,0,100269.0,30.74,80.98,1.0,0.008879,119.84,63.91,96.59,37.9,57.3,0.3802,1,-0.007907
20220304,20220307,classic,4328.87,4200.89,4335.0,4345.0,4.0,0,0.6667,0.66,394.0,1,0,100663.0,31.98,76.81,1.0,-0.005244,117.87,13.25,90.89,43.7,57.1,-0.4909,2,-0.016774
20220309,20220310,classic,4277.86,4259.4,4285.0,4295.0,4.0,0,0.6667,0.66,394.0,1,0,101057.0,32.45,71.77,1.0,0.002227,108.77,54.76,104.06,38.9,47.8,1.2583,2,-0.018815
20220310,20220311,classic,4259.4,4204.36,4265.0,4275.0,4.0,0,0.6667,0.66,394.0,1,0,101451.0,30.23,84.82,1.0,0.002795,126.88,6.85,101.69,42.6,47.9,-0.5917,2,-0.019362
20220315,20220316,classic,4262.73,4358.11,4270.0,4280.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100849.0,29.83,89.99,1.0,0.006433,133.13,73.91,101.11,52.2,49.0,0.3777,2,-0.010807
20220316,20220317,classic,4358.11,4411.36,4365.0,4375.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100247.0,26.67,99.26,1.0,0.025068,141.0,69.97,95.89,54.0,77.3,0.5961,2,0.012653
20220317,20220318,classic,4411.36,4463.08,4420.0,4430.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99645.0,25.67,98.3,1.0,0.030228,138.24,66.25,94.35,51.6,97.9,-0.2983,1,0.025785
20220318,20220321,classic,4463.08,4461.18,4470.0,4480.0,4.0,0,0.6667,0.66,394.0,1,0,100039.0,23.87,96.9,1.0,0.029862,136.38,55.74,94.43,55.2,99.2,-0.0911,0,0.036811
20220321,20220322,classic,4461.18,4511.81,4470.0,4480.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99437.0,23.53,64.19,1.0,0.015915,94.41,1.22,91.47,59.7,93.6,-0.0152,0,0.035021
20220322,20220323,classic,4511.81,4456.12,4520.0,4530.0,4.0,0,0.6667,0.66,394.0,1,0,99831.0,22.94,80.74,1.0,0.01592,117.57,42.71,89.01,58.1,97.2,0.1775,0,0.044258
20220324,20220325,classic,4520.19,4543.06,4530.0,4540.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99229.0,21.67,99.3,1.0,0.008414,145.61,50.21,86.91,61.5,99.5,0.311,1,0.040633
20220325,20220328,classic,4543.06,4575.49,4550.0,4560.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98627.0,20.81,93.39,1.0,0.009912,136.94,20.15,80.91,73.5,99.2,0.0602,1,0.043994
20220328,20220329,classic,4575.49,4631.69,4585.0,4595.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98025.0,19.63,99.72,1.0,0.011978,145.23,34.4,76.54,77.7,100.0,-0.0434,1,0.049011
20220329,20220330,classic,4631.69,4602.49,4640.0,4650.0,4.0,0,0.6667,0.66,394.0,1,0,98419.0,18.9,88.22,1.0,0.019004,127.21,28.83,71.76,76.1,98.8,0.5982,0,0.057948
20220401,20220404,classic,4545.8,4582.62,4555.0,4565.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,97817.0,19.63,92.95,1.0,-0.006859,140.91,5.48,66.02,77.0,79.6,0.2168,2,0.031264
20220404,20220405,classic,4582.62,4525.33,4590.0,4600.0,4.0,0,0.6667,0.66,394.0,1,0,98211.0,18.57,98.01,1.0,0.000874,145.88,34.65,62.19,75.1,85.8,0.0477,2,0.035135
20220406,20220407,classic,4481.26,4500.27,4490.0,4500.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,97609.0,22.1,57.92,1.0,-0.011436,93.12,12.91,60.09,55.9,36.8,-0.6886,1,0.005899
20220407,20220408,classic,4500.27,4488.68,4510.0,4520.0,4.0,0,0.6667,0.66,394.0,1,0,98003.0,21.55,70.52,1.0,-0.005917,109.25,25.62,59.8,53.3,35.7,-0.1475,1,0.007442
20220413,20220414,classic,4446.67,4392.62,4455.0,4465.0,4.0,0,0.6667,0.66,394.0,1,0,98397.0,21.82,88.16,1.0,-0.00056,132.47,52.37,62.54,43.2,25.5,-0.0694,3,-0.012814
20220419,20220420,classic,4462.48,4459.4,4470.0,4480.0,4.0,0,0.6667,0.66,394.0,1,0,98791.0,21.37,89.37,1.0,0.010025,131.26,71.85,64.35,34.7,35.8,-0.0269,2,-0.008328
20220425,20220426,classic,4296.43,4175.2,4305.0,4315.0,4.0,0,0.6667,0.66,394.0,1,0,99185.0,27.02,97.36,1.0,-0.018365,150.24,41.09,77.49,26.7,24.4,-0.3886,3,-0.038717
20220428,20220429,classic,4287.91,4131.76,4295.0,4305.0,4.0,0,0.6667,0.66,394.0,1,0,99579.0,29.99,82.86,1.0,0.010564,122.01,65.33,84.51,35.4,35.0,0.9235,2,-0.02798
20220502,20220503,classic,4155.58,4175.27,4165.0,4175.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98977.0,32.34,86.74,1.0,-0.007475,132.38,24.97,94.86,34.3,20.7,-0.0278,2,-0.049478
20220504,20220505,classic,4300.39,4147.69,4310.0,4320.0,4.0,0,0.6667,0.66,394.0,1,0,99371.0,25.42,95.42,1.0,0.021426,136.62,119.21,99.21,41.9,52.8,0.1415,2,-0.00919
20220506,20220509,classic,4123.67,3991.36,4130.0,4140.0,4.0,0,0.6667,0.66,394.0,1,0,99765.0,30.19,62.11,1.0,-0.013599,99.58,4.5,111.67,36.9,13.6,-0.4706,2,-0.04207
20220512,20220513,classic,3930.29,4023.86,3940.0,3950.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99163.0,31.77,67.42,1.0,-0.016521,107.82,26.34,119.56,32.4,15.9,-0.7954,3,-0.066526
20220513,20220516,classic,4023.86,4008.36,4030.0,4040.0,4.0,0,0.6667,0.66,394.0,1,0,99557.0,28.87,79.97,1.0,0.011948,117.58,59.96,120.3,36.9,36.7,0.8552,2,-0.040098
20220517,20220518,classic,4088.93,3924.18,4095.0,4105.0,4.0,0,0.6667,0.66,394.0,1,0,99951.0,26.1,96.85,1.0,0.022913,138.21,36.93,116.42,45.3,51.2,1.0887,1,-0.015688
20220520,20220523,classic,3901.37,3973.85,3910.0,3920.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99349.0,29.43,68.41,1.0,-0.015976,109.05,26.39,115.28,36.1,18.3,0.6932,2,-0.044755
20220523,20220524,classic,3973.85,3942.21,3980.0,3990.0,4.0,0,0.6667,0.66,394.0,1,0,99743.0,28.48,88.98,1.0,0.004053,132.36,54.43,117.24,39.6,32.9,0.4627,2,-0.023151
20220525,20220526,classic,3979.0,4057.94,3985.0,3995.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99141.0,28.37,72.64,1.0,0.010045,107.84,49.41,104.38,38.8,48.6,-0.3201,0,-0.016592
20220526,20220527,classic,4057.94,4158.27,4065.0,4075.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98539.0,27.5,81.0,1.0,0.021926,116.3,73.34,104.83,45.9,88.3,0.1407,0,0.005777
20220527,20220531,classic,4158.27,4132.47,4165.0,4175.0,4.0,0,0.6667,0.66,394.0,1,0,98933.0,25.72,99.73,1.0,0.033816,139.25,80.84,101.43,60.7,99.9,0.4803,0,0.030305
20220602,20220603,classic,4176.89,4108.44,4185.0,4195.0,4.0,0,0.6667,0.66,394.0,1,0,99327.0,24.72,99.4,1.0,0.012493,144.64,81.48,95.89,64.8,99.8,-0.1407,2,0.037756
20220607,20220608,classic,4160.54,4115.72,4170.0,4180.0,4.0,0,0.6667,0.66,394.0,1,0,99721.0,24.02,94.9,1.0,0.006499,139.98,64.07,93.73,54.7,95.4,-0.603,2,0.032058
20220615,20220616,classic,3789.91,3667.24,3795.0,3805.0,4.0,0,0.6667,0.66,394.0,1,0,100115.0,29.62,58.66,1.0,-0.012746,94.51,25.86,93.31,39.6,17.9,0.754,3,-0.05191
20220621,20220622,classic,3764.84,3759.84,3770.0,3780.0,4.0,0,0.6667,0.66,394.0,1,0,100509.0,30.19,76.98,1.0,0.010298,113.85,49.53,98.02,30.2,23.7,1.112,2,-0.050824
20220623,20220624,classic,3795.76,3912.15,3805.0,3815.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99907.0,29.05,88.45,1.0,0.016969,128.08,21.05,94.26,27.9,29.9,0.3955,2,-0.03866
20220624,20220627,classic,3912.15,3900.35,3920.0,3930.0,4.0,0,0.6667,0.66,394.0,1,0,100301.0,27.23,98.37,1.0,0.034575,137.14,90.4,97.09,39.2,51.8,0.6847,1,-0.008343
20220701,20220705,classic,3825.36,3831.59,3835.0,3845.0,4.0,0,0.6667,0.66,394.0,1,0,100695.0,26.7,94.26,1.0,-0.001325,141.23,44.36,92.91,45.1,61.0,-0.1329,2,-0.011875
20220705,20220706,classic,3831.59,3845.15,3840.0,3850.0,4.0,5.15,-0.1917,-0.1917,-117.0,0,1,100578.0,27.54,99.33,1.0,0.003905,146.9,38.98,87.46,56.6,63.0,-0.8561,1,-0.006715
20220706,20220707,classic,3845.15,3902.43,3855.0,3865.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99976.0,26.73,58.14,1.0,0.006224,88.59,13.17,86.68,58.9,67.4,0.0102,0,0.000382
20220707,20220708,classic,3902.43,3899.37,3910.0,3920.0,4.0,0,0.6667,0.66,394.0,1,0,100370.0,26.08,84.16,1.0,0.016758,122.14,43.58,83.12,59.1,85.9,0.3563,0,0.018704
20220708,20220711,classic,3899.37,3854.47,3905.0,3915.0,4.0,0,0.6667,0.66,394.0,1,0,100764.0,24.64,61.09,1.0,0.009995,91.68,11.11,75.91,73.2,85.0,-0.3631,0,0.020788
20220713,20220714,classic,3801.59,3790.25,3810.0,3820.0,4.0,0,0.6667,0.66,394.0,1,0,101158.0,26.82,60.42,1.0,-0.013957,97.32,21.92,71.15,54.2,30.4,-1.0335,2,-0.002286
20220714,20220715,classic,3790.25,3862.89,3800.0,3810.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100556.0,26.4,91.77,1.0,-0.011144,140.43,26.26,72.65,49.4,30.6,-0.9891,2,-0.005971
20220715,20220718,classic,3862.89,3830.83,3870.0,3880.0,4.0,0,0.6667,0.66,394.0,1,0,100950.0,24.23,98.43,1.0,0.00973,144.03,44.89,69.47,44.2,63.0,0.7321,1,0.012111
20220719,20220720,classic,3936.14,3959.95,3945.0,3955.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100348.0,24.5,95.36,1.0,0.023879,135.86,75.41,71.54,62.1,98.3,0.7805,1,0.025589
20220720,20220721,classic,3959.95,3999.1,3965.0,3975.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99746.0,23.88,72.78,1.0,0.021656,104.86,24.63,72.59,64.3,94.4,-0.0208,1,0.029177
20220721,20220722,classic,3999.1,3961.9,4005.0,4015.0,4.0,0,0.6667,0.66,394.0,1,0,100140.0,23.11,99.73,1.0,0.020756,142.84,43.63,71.97,71.2,99.9,-0.1131,1,0.03613
20220725,20220726,classic,3966.72,3920.85,3975.0,3985.0,4.0,0,0.6667,0.66,394.0,1,0,100534.0,23.36,73.05,1.0,0.000494,111.04,1.0,67.51,63.6,84.3,0.0964,1,0.024811
20220727,20220728,classic,4023.32,4072.17,4030.0,4040.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99932.0,23.24,81.57,1.0,0.012314,119.73,71.89,70.91,60.5,94.9,0.7799,2,0.03646
20220728,20220729,classic,4072.17,4130.44,4080.0,4090.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99330.0,22.33,92.11,1.0,0.020852,132.15,46.04,73.54,63.9,98.1,0.0698,1,0.045631
20220729,20220801,classic,4130.44,4118.62,4140.0,4150.0,4.0,0,0.6667,0.66,394.0,1,0,99724.0,21.33,84.06,1.0,0.026783,119.25,43.11,74.67,71.7,97.7,0.3723,1,0.055924
20220803,20220804,classic,4155.12,4152.02,4165.0,4175.0,4.0,0,0.6667,0.66,394.0,1,0,100118.0,21.95,78.99,1.0,0.010108,116.72,47.16,72.13,77.1,96.4,0.4057,2,0.050644
20220804,20220805,classic,4152.02,4145.07,4160.0,4170.0,4.0,0,0.6667,0.66,394.0,1,0,100512.0,21.44,64.17,1.0,0.005451,97.24,2.83,68.74,73.9,95.5,-0.0065,2,0.046557
20220805,20220808,classic,4145.07,4140.05,4155.0,4165.0,4.0,0,0.6667,0.66,394.0,1,0,100906.0,21.15,85.29,1.0,0.003057,127.48,29.2,65.95,77.2,92.6,-0.8707,1,0.04158
20220810,20220811,classic,4210.12,4207.34,4220.0,4230.0,4.0,0,0.6667,0.66,394.0,1,0,101300.0,19.74,97.31,1.0,0.013514,141.42,29.1,61.75,70.3,99.7,1.4158,2,0.04483
20220812,20220815,classic,4279.95,4297.14,4285.0,4295.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100698.0,19.53,99.14,1.0,0.020975,141.95,54.93,63.48,78.3,99.9,0.4202,2,0.051278
20220815,20220816,classic,4297.14,4305.24,4305.0,4315.0,4.0,0.24,0.6267,0.6267,374.0,1,0,101072.0,19.95,89.64,1.0,0.01745,129.62,27.77,62.69,85.8,98.7,-0.2472,1,0.04949
20220816,20220817,classic,4305.24,4274.06,4315.0,4325.0,4.0,0,0.6667,0.66,394.0,1,0,101466.0,19.69,57.82,1.0,0.01063,86.93,14.78,57.6,82.7,94.0,-0.1555,1,0.046751
20220818,20220819,classic,4284.15,4228.37,4290.0,4300.0,4.0,0,0.6667,0.66,394.0,1,0,101860.0,19.56,72.57,1.0,-0.000923,110.75,11.02,52.51,71.1,83.2,-0.0218,1,0.034091
20220824,20220825,classic,4140.99,4199.52,4150.0,4160.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101258.0,22.82,57.45,1.0,-0.010308,92.15,14.44,54.27,48.7,15.5,-0.0523,3,-0.009592
20220825,20220826,classic,4199.52,4057.74,4205.0,4215.0,4.0,0,0.6667,0.66,394.0,1,0,101652.0,21.78,98.07,1.0,0.007758,144.08,46.26,55.33,55.7,41.0,0.2963,2,0.002879
20220901,20220902,classic,3966.87,3924.41,3975.0,3985.0,4.0,0,0.6667,0.66,394.0,1,0,102046.0,25.56,94.95,1.0,-0.008112,144.06,30.14,62.07,21.5,15.0,-0.4625,3,-0.045258
20220907,20220908,classic,3979.99,4006.09,3985.0,3995.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101444.0,24.64,90.35,1.0,0.008366,133.1,70.56,69.6,26.4,23.0,0.0225,2,-0.035195
20220908,20220909,classic,4006.09,4067.41,4015.0,4025.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100842.0,23.61,93.29,1.0,0.012359,136.11,46.15,72.11,28.2,31.4,-0.5038,2,-0.02646
20220909,20220912,classic,4067.41,4110.69,4075.0,4085.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100240.0,22.79,82.55,1.0,0.022659,118.26,44.47,72.48,37.5,57.1,0.4206,1,-0.009875
20220912,20220913,classic,4110.69,3932.63,4120.0,4130.0,4.0,0,0.6667,0.66,394.0,1,0,100634.0,23.87,75.88,1.0,0.023949,108.57,27.02,69.15,47.7,70.8,0.3998,0,0.002726
20220914,20220915,classic,3946.14,3901.32,3955.0,3965.0,4.0,0,0.6667,0.66,394.0,1,0,101028.0,26.16,68.25,1.0,-0.016561,108.98,5.41,81.07,37.3,18.8,0.206,1,-0.028841
20220916,20220919,classic,3873.44,3900.0,3880.0,3890.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100426.0,26.3,82.88,1.0,-0.020088,130.44,7.51,76.08,35.6,12.9,-0.5221,2,-0.037454
20220919,20220920,classic,3900.0,3856.04,3905.0,3915.0,4.0,0,0.6667,0.66,394.0,1,0,100820.0,25.76,99.27,1.0,-0.002738,148.63,50.09,77.25,39.8,22.3,-0.6075,1,-0.026883
20220920,20220921,classic,3856.04,3789.82,3865.0,3875.0,4.0,0,0.6667,0.66,394.0,1,0,101214.0,27.16,58.8,1.0,-0.010101,93.99,19.19,76.73,39.8,9.8,-0.6351,1,-0.034451
20220923,20220926,classic,3693.49,3655.52,3700.0,3710.0,4.0,0,0.6667,0.66,394.0,1,0,101608.0,29.92,57.76,1.0,-0.027886,97.41,33.65,78.86,33.9,9.8,-0.8175,2,-0.060712
20220928,20220929,classic,3718.67,3640.71,3725.0,3735.0,4.0,0,0.6667,0.66,394.0,1,0,102002.0,30.18,81.2,1.0,0.006507,120.8,66.73,83.0,30.0,19.2,0.119,2,-0.041476
20221003,20221004,classic,3678.43,3791.05,3685.0,3695.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101400.0,30.1,78.68,1.0,0.006582,117.24,68.65,82.67,30.8,25.0,0.6499,2,-0.040212
