signal_date,trade_date,signal_mode,spx_close_signal,spx_close_exit,short_strike,long_strike,credit_received,spread_value_exit,raw_return,capped_return,pnl_earned,win,loss,equity_after,vix_level,variance_pct,rel_vol,rising_rocket,exhaustion_score,body_size,atr,rsi,stoch,gap_pct,cluster_count,dist_from_sma
20220103,20220104,dynamic,4796.59,4792.15,4850,4860,1.2633641945541285,0,0.1446,0.1446,84.76,1,0,100084.76,16.6,99.87,1.0,0.0,148.72,18.45,38.47,nan,99.9,nan,0,0.0
20220105,20220106,dynamic,4700.67,4675.38,4680,4670,3.269465880490543,4.6156,-0.2,-0.2,-122.0,0,1,99962.76,19.73,1.25,1.0,-0.01321,14.27,87.32,60.36,0.0,1.0,-0.1156,2,-0.01321
20220105,20220106,reentry,4700.67,4675.38,4680,4670,2.9139286992080997,4.6156,-0.2,-0.2,244.73,1,0,100207.49,19.73,1.25,1.0,-0.01321,14.27,87.32,60.36,0.0,1.0,-0.1156,2,-0.01321
20230214,20230215,dynamic,4136.18,4130.14,4150,4160,1.0,0,0.1111,0.1111,64.67,1,0,100272.16,18.91,63.57,1.0,0.005706,96.34,9.48,62.25,61.3,67.5,-0.2586,1,0.016856
20230215,20230216,dynamic,4147.76,4123.29,4135,4145,1.2999999999999998,0,0.1494,0.1494,87.66,1,0,100359.82,18.23,99.21,1.0,0.00706,145.86,28.26,61.96,58.8,73.5,-0.4033,0,0.016966
20230622,20230623,dynamic,4381.84,4356.32,4375,4385,0.7999999999999999,0,0.087,0.087,50.17,1,0,100409.99,12.91,98.65,1.0,-0.002867,147.8,26.44,41.51,74.3,67.9,-0.2366,2,0.021027
20231025,20231026,dynamic,4186.75,4141.5,4145,4135,1.8690104736479043,3.4952,-0.2,-0.2,-122.0,0,1,100287.99,20.19,10.45,1.0,-0.010384,26.38,45.67,60.86,42.3,2.5,-0.3586,3,-0.025195
20231025,20231026,reentry,4186.75,4141.5,4135,4125,2.552407567617479,3.4952,-0.2,-0.2,203.63,1,0,100491.62,20.19,10.45,1.0,-0.010384,26.38,45.67,60.86,42.3,2.5,-0.3586,3,-0.025195
20231026,20231027,dynamic,4137.19,4110.57,4115,4105,3.0405289801822164,4.4324,-0.2,-0.2,-122.0,0,1,100369.62,20.68,16.68,1.0,-0.015547,36.51,38.8,57.6,31.4,3.5,-0.257,3,-0.034907
20231027,20231030,dynamic,4117.43,4151.02,4130,4120,5.517232295510439,0,1.2308,0.66,394.0,1,0,100763.62,21.27,25.79,1.0,-0.015251,49.19,35.5,57.24,26.0,4.7,0.3805,3,-0.0376
20240112,20240116,dynamic,4783.84,4769.72,4790,4800,0.7999999999999999,0,0.087,0.087,50.17,1,0,100813.79,12.7,44.46,1.0,0.002164,70.56,7.34,37.85,57.5,84.6,0.2282,1,0.007571
20240118,20240119,dynamic,4780.94,4822.6,4820,4830,0.7500000000000001,2.6,-0.2,-0.2,-122.0,0,1,100691.79,14.13,89.27,1.0,0.002283,133.26,20.84,41.54,49.9,82.2,0.4402,2,0.005825
20240215,20240216,dynamic,5029.76,5032.36,5050,5060,1.0,0,0.1111,0.1111,64.67,1,0,100756.46,14.01,91.11,1.0,0.00467,135.17,26.62,45.52,64.4,90.8,0.0524,1,0.019266
20240314,20240315,dynamic,5150.55,5116.29,5155,5165,1.5,0,0.1765,0.1765,103.88,1,0,100860.34,14.4,50.89,1.0,0.000775,79.93,24.59,44.25,58.5,70.8,0.1895,2,0.011662
20240716,20240717,dynamic,5667.21,5602.43,5645,5655,1.1999999999999997,0,0.1364,0.1364,79.82,1,0,100940.16,13.19,91.97,1.0,0.007247,135.68,23.12,43.31,79.0,98.9,0.228,3,0.024743
20240815,20240816,dynamic,5543.21,5545.85,5565,5575,1.35,0,0.1561,0.1561,91.64,1,0,101031.8,15.23,93.3,1.0,0.02193,133.52,42.08,107.02,54.7,94.9,0.8436,1,0.024693
20240821,20240822,dynamic,5620.78,5588.56,5670,5680,1.0,0,0.1111,0.1111,64.67,1,0,101096.47,16.27,71.05,1.0,0.006458,106.6,17.69,90.49,60.9,97.7,0.1072,1,0.035892
20240823,20240826,dynamic,5634.61,5609.82,5675,5685,0.95,0,0.105,0.105,60.98,1,0,101157.45,15.86,87.27,1.0,0.005054,129.7,32.12,74.89,84.4,98.1,0.571,2,0.035132
20240830,20240903,dynamic,5648.21,5567.05,5640,5650,1.3,0,0.1494,0.1494,87.66,1,0,101245.11,15.0,95.46,1.0,0.00591,140.92,35.47,60.02,78.7,98.8,0.3709,2,0.0295
20240913,20240916,dynamic,5626.03,5618.1,5645,5655,1.3499999999999999,0,0.1561,0.1561,91.64,1,0,101336.75,16.56,70.42,1.0,0.013971,103.66,22.69,75.41,49.3,89.7,0.1349,0,0.010384
20240916,20240917,dynamic,5633.1,5654.1,5690,5700,0.95,0,0.105,0.105,60.98,1,0,101397.73,17.14,90.64,1.0,0.00935,133.24,17.89,74.14,51.4,92.7,-0.1923,0,0.010938
20240919,20240920,dynamic,5713.64,5691.3,5735,5745,1.75,0,0.2121,0.2121,125.27,1,0,101523.0,16.33,57.73,1.0,0.012136,86.4,11.01,79.83,59.6,94.0,1.5012,2,0.024102
