signal_date,trade_date,signal_mode,spx_close_signal,spx_close_exit,short_strike,long_strike,credit_received,spread_value_exit,raw_return,capped_return,pnl_earned,win,loss,equity_after,vix_level,variance_pct,rel_vol,rising_rocket,exhaustion_score,body_size,atr,rsi,stoch,gap_pct,cluster_count,dist_from_sma
20220103,20220104,dynamic,4796.59,4793.53,4825.0,4835.0,2.575232890069401,0,0.3468,0.3468,206.11,1,0,100206.11,16.6,99.87,1.0,0.0,148.72,18.45,38.47,nan,99.9,nan,0,0.0
20220104,20220105,dynamic,4793.53,4700.67,4820.0,4830.0,2.735747289608298,0,0.3766,0.3766,223.96,1,0,100430.07,16.91,43.43,1.0,-0.000319,69.79,10.98,41.41,0.0,58.5,0.1651,1,-0.000319
20220106,20220107,dynamic,4696.05,4677.02,4725.0,4735.0,2.8288798703947577,0,0.3945,0.3945,234.69,1,0,100664.76,19.61,46.12,1.0,-0.010673,76.39,2.66,58.71,0.0,16.8,-0.1549,3,-0.010673
20220110,20220111,dynamic,4670.29,4713.1,4700.0,4710.0,2.7532794176800053,10.0,-1.0,-1.0,-602.0,0,1,100062.76,19.4,96.99,1.0,-0.007907,146.86,14.95,62.47,0.0,37.2,-0.4635,3,-0.011026
20220111,20220112,dynamic,4713.1,4726.43,4740.0,4750.0,2.838633660386904,0,0.3964,0.3964,235.83,1,0,100298.59,18.41,98.64,1.0,0.00462,145.73,43.96,64.38,25.3,55.4,-0.0246,2,-0.001681
20220112,20220113,dynamic,4726.43,4659.25,4755.0,4765.0,2.6556112866528565,0,0.3616,0.3616,214.95,1,0,100513.54,17.62,46.82,1.0,0.006356,72.7,2.16,61.6,30.8,61.0,0.3287,2,0.001
20220131,20220201,dynamic,4515.45,4546.35,4545.0,4555.0,3.143803328628337,1.35,0.2616,0.2616,154.98,1,0,100668.52,24.83,98.6,1.0,0.027164,139.5,83.66,106.46,38.6,55.6,-0.0047,2,-0.012768
20220208,20220209,dynamic,4521.48,4587.21,4550.0,4560.0,2.9461329463015318,10.0,-1.0,-1.0,-602.0,0,1,100066.52,21.44,85.07,1.0,0.001541,127.58,41.46,106.72,49.2,78.8,-0.087,2,0.001859
20220324,20220325,dynamic,4520.19,4543.06,4550.0,4560.0,2.8935726307495315,0,0.4072,0.4072,242.31,1,0,100308.83,21.67,99.3,1.0,0.008414,145.61,50.21,86.91,61.5,99.5,0.311,1,0.040633
20220325,20220328,dynamic,4543.06,4575.49,4570.0,4580.0,2.9913395545022468,5.49,-0.3565,-0.3565,-215.91,0,1,100092.92,20.81,93.39,1.0,0.009912,136.94,20.15,80.91,73.5,99.2,0.0602,1,0.043994
20220328,20220329,dynamic,4575.49,4631.69,4605.0,4615.0,2.746673596814162,10.0,-1.0,-1.0,-602.0,0,1,99490.92,19.63,99.72,1.0,0.011978,145.23,34.4,76.54,77.7,100.0,-0.0434,1,0.049011
20220329,20220330,dynamic,4631.69,4602.49,4660.0,4670.0,2.7686652057300307,0,0.3829,0.3829,227.72,1,0,99718.64,18.9,88.22,1.0,0.019004,127.21,28.83,71.76,76.1,98.8,0.5982,0,0.057948
20220330,20220331,dynamic,4602.49,4530.5,4630.0,4640.0,2.8472541670132614,0,0.3981,0.3981,236.84,1,0,99955.48,19.33,45.58,1.0,0.0061,71.03,21.71,70.5,74.9,92.7,-0.1617,1,0.048691
