signal_date,trade_date,signal_mode,spx_close_signal,spx_close_exit,short_strike,long_strike,credit_received,spread_value_exit,raw_return,capped_return,pnl_earned,win,loss,equity_after,vix_level,variance_pct,rel_vol,rising_rocket,exhaustion_score,body_size,atr,rsi,stoch,gap_pct,cluster_count,dist_from_sma
20220103,20220104,dynamic,4796.59,4793.53,4835,4845,1.9809259637256673,0,0.247,0.247,146.22,1,0,100146.22,16.6,99.87,1.0,0.0,148.72,18.45,38.47,nan,99.9,nan,0,0.0
20220104,20220105,dynamic,4793.53,4700.67,4820,4830,2.735747289608298,0,0.3766,0.3766,223.96,1,0,100370.18,16.91,43.43,1.0,-0.000319,69.79,10.98,41.41,0.0,58.5,0.1651,1,-0.000319
20220105,20220106,dynamic,4700.67,4696.05,4660,4650,2.13934626759567,0,0.2722,0.2722,161.3,1,0,100531.48,19.73,1.25,1.0,-0.01321,14.27,87.32,60.36,0.0,1.0,-0.1156,2,-0.01321
20220106,20220107,dynamic,4696.05,4677.02,4730,4740,2.547231276480261,0,0.3418,0.3418,203.07,1,0,100734.55,19.61,46.12,1.0,-0.010673,76.39,2.66,58.71,0.0,16.8,-0.1549,3,-0.010673
20220110,20220111,dynamic,4670.29,4704.56,4700,4710,2.7532794176800053,4.565,-0.25,-0.25,-152.0,0,1,100582.55,19.4,96.99,1.0,-0.007907,146.86,14.95,62.47,0.0,37.2,-0.4635,3,-0.011026
20220111,20220112,dynamic,4713.1,4726.43,4760,4770,1.7526299477667635,0,0.2125,0.2125,125.5,1,0,100708.05,18.41,98.64,1.0,0.00462,145.73,43.96,64.38,25.3,55.4,-0.0246,2,-0.001681
20220112,20220113,dynamic,4726.43,4659.25,4765,4775,2.0751440365374947,0,0.2619,0.2619,155.11,1,0,100863.16,17.62,46.82,1.0,0.006356,72.7,2.16,61.6,30.8,61.0,0.3287,2,0.001
20220113,20220114,dynamic,4659.25,4662.82,4605,4595,1.5701516637036548,0,0.1863,0.1863,109.76,1,0,100972.92,20.31,9.55,1.0,-0.006391,24.02,74.31,65.18,22.5,32.6,0.1509,2,-0.011776
20220131,20220201,dynamic,4515.45,4546.35,4550,4560,2.8991755513450244,0,0.4083,0.4083,242.97,1,0,101215.89,24.83,98.6,1.0,0.027164,139.5,83.66,106.46,38.6,55.6,-0.0047,2,-0.012768
20220208,20220209,dynamic,4521.48,4583.64,4580,4590,1.5257499796882712,3.6443,-0.25,-0.25,-152.0,0,1,101063.89,21.44,85.07,1.0,0.001541,127.58,41.46,106.72,49.2,78.8,-0.087,2,0.001859
20220323,20220324,dynamic,4456.12,4520.19,4435,4425,3.4445225305573786,0,0.5254,0.5254,313.27,1,0,101377.16,23.57,0.68,1.0,-0.001029,10.14,36.98,87.92,55.8,81.9,-0.4147,1,0.028624
20220324,20220325,dynamic,4520.19,4543.06,4555,4565,2.625383414932003,0,0.356,0.356,211.6,1,0,101588.76,21.67,99.3,1.0,0.008414,145.61,50.21,86.91,61.5,99.5,0.311,1,0.040633
20220325,20220328,dynamic,4543.06,4575.49,4575,4585,2.708930373406929,0.49,0.3043,0.3043,180.6,1,0,101769.36,20.81,93.39,1.0,0.009912,136.94,20.15,80.91,73.5,99.2,0.0602,1,0.043994
20220328,20220329,dynamic,4575.49,4631.69,4635,4645,1.307989329809402,0,0.1505,0.1505,88.29,1,0,101857.65,19.63,99.72,1.0,0.011978,145.23,34.4,76.54,77.7,100.0,-0.0434,1,0.049011
