signal_date,trade_date,signal_mode,spx_close_signal,spx_close_exit,short_strike,long_strike,credit_received,spread_value_exit,raw_return,capped_return,pnl_earned,win,loss,equity_after,vix_level,variance_pct,rel_vol,rising_rocket,exhaustion_score,body_size,atr,rsi,stoch,gap_pct,cluster_count,dist_from_sma
20220310,20220314,dynamic,4259.4,4173.06,4265.0,4275.0,4.0,0,0.6667,0.66,394.0,1,0,102399.0,30.23,84.82,1.0,0.002795,126.88,6.85,101.69,42.6,47.9,-0.5917,2,-0.019362
20220315,20220317,dynamic,4262.73,4411.36,4270.0,4280.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101797.0,29.83,89.99,1.0,0.006433,133.13,73.91,101.11,52.2,49.0,0.3777,2,-0.010807
20220316,20220318,dynamic,4358.11,4463.08,4365.0,4375.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101195.0,26.67,99.26,1.0,0.025068,141.0,69.97,95.89,54.0,77.3,0.5961,2,0.012653
20220317,20220321,dynamic,4411.36,4461.18,4420.0,4430.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100593.0,25.67,98.3,1.0,0.030228,138.24,66.25,94.35,51.6,97.9,-0.2983,1,0.025785
20220318,20220322,dynamic,4463.08,4511.81,4470.0,4480.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99991.0,23.87,96.9,1.0,0.029862,136.38,55.74,94.43,55.2,99.2,-0.0911,0,0.036811
20220321,20220323,dynamic,4461.18,4456.12,4470.0,4480.0,4.0,0,0.6667,0.66,394.0,1,0,100385.0,23.53,64.19,1.0,0.015915,94.41,1.22,91.47,59.7,93.6,-0.0152,0,0.035021
20220322,20220324,dynamic,4511.81,4520.19,4520.0,4530.0,4.0,0.19,0.635,0.635,379.0,1,0,100764.0,22.94,80.74,1.0,0.01592,117.57,42.71,89.01,58.1,97.2,0.1775,0,0.044258
20220324,20220328,dynamic,4520.19,4575.49,4530.0,4540.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100162.0,21.67,99.3,1.0,0.008414,145.61,50.21,86.91,61.5,99.5,0.311,1,0.040633
20220325,20220329,dynamic,4543.06,4631.69,4550.0,4560.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99560.0,20.81,93.39,1.0,0.009912,136.94,20.15,80.91,73.5,99.2,0.0602,1,0.043994
20220328,20220330,dynamic,4575.49,4602.49,4585.0,4595.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,98958.0,19.63,99.72,1.0,0.011978,145.23,34.4,76.54,77.7,100.0,-0.0434,1,0.049011
20220329,20220331,dynamic,4631.69,4530.5,4640.0,4650.0,4.0,0,0.6667,0.66,394.0,1,0,99352.0,18.9,88.22,1.0,0.019004,127.21,28.83,71.76,76.1,98.8,0.5982,0,0.057948
20220330,20220401,dynamic,4602.49,4545.8,4610.0,4620.0,4.0,0,0.6667,0.66,394.0,1,0,99746.0,19.33,45.58,1.0,0.0061,71.03,21.71,70.5,74.9,92.7,-0.1617,1,0.048691
20220401,20220405,dynamic,4545.8,4525.33,4555.0,4565.0,4.0,0,0.6667,0.66,394.0,1,0,100140.0,19.63,92.95,1.0,-0.006859,140.91,5.48,66.02,77.0,79.6,0.2168,2,0.031264
20220404,20220406,dynamic,4582.62,4481.26,4590.0,4600.0,4.0,0,0.6667,0.66,394.0,1,0,100534.0,18.57,98.01,1.0,0.000874,145.88,34.65,62.19,75.1,85.8,0.0477,2,0.035135
20220406,20220408,dynamic,4481.26,4488.68,4490.0,4500.0,4.0,0,0.6667,0.66,394.0,1,0,100928.0,22.1,57.92,1.0,-0.011436,93.12,12.91,60.09,55.9,36.8,-0.6886,1,0.005899
20220407,20220411,dynamic,4500.27,4412.83,4510.0,4520.0,4.0,0,0.6667,0.66,394.0,1,0,101322.0,21.55,70.52,1.0,-0.005917,109.25,25.62,59.8,53.3,35.7,-0.1475,1,0.007442
20220408,20220412,dynamic,4488.68,4397.35,4495.0,4505.0,4.0,0,0.6667,0.66,394.0,1,0,101716.0,21.16,30.74,1.0,-0.005969,53.57,5.47,58.97,52.4,20.6,-0.136,2,0.00166
20220413,20220418,dynamic,4446.67,4391.81,4455.0,4465.0,4.0,0,0.6667,0.66,394.0,1,0,102110.0,21.82,88.16,1.0,-0.00056,132.47,52.37,62.54,43.2,25.5,-0.0694,3,-0.012814
20220418,20220420,dynamic,4391.81,4459.4,4400.0,4410.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101508.0,22.17,53.76,1.0,-0.003731,85.19,6.18,63.02,32.9,8.1,-0.1591,3,-0.024018
20220419,20220421,dynamic,4462.48,4393.79,4470.0,4480.0,4.0,0,0.6667,0.66,394.0,1,0,101902.0,21.37,89.37,1.0,0.010025,131.26,71.85,64.35,34.7,35.8,-0.0269,2,-0.008328
20220420,20220422,dynamic,4459.4,4271.94,4465.0,4475.0,4.0,0,0.6667,0.66,394.0,1,0,102296.0,20.32,26.92,1.0,0.006501,44.8,12.86,63.57,36.4,38.3,0.2192,3,-0.008435
20220425,20220427,dynamic,4296.43,4183.94,4305.0,4315.0,4.0,0,0.6667,0.66,394.0,1,0,102690.0,27.02,97.36,1.0,-0.018365,150.24,41.09,77.49,26.7,24.4,-0.3886,3,-0.038717
20220427,20220429,dynamic,4183.94,4131.76,4190.0,4200.0,4.0,0,0.6667,0.66,394.0,1,0,103084.0,31.6,27.04,1.0,-0.018836,51.92,2.58,80.68,26.8,5.9,0.2711,3,-0.054919
20220428,20220502,dynamic,4287.91,4155.58,4295.0,4305.0,4.0,0,0.6667,0.66,394.0,1,0,103478.0,29.99,82.86,1.0,0.010564,122.01,65.33,84.51,35.4,35.0,0.9235,2,-0.02798
20220502,20220504,dynamic,4155.58,4300.39,4165.0,4175.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,102876.0,32.34,86.74,1.0,-0.007475,132.38,24.97,94.86,34.3,20.7,-0.0278,2,-0.049478
20220503,20220505,dynamic,4175.27,4147.69,4185.0,4195.0,4.0,0,0.6667,0.66,394.0,1,0,103270.0,29.25,53.17,1.0,-0.002776,84.1,15.49,92.24,36.5,25.0,0.1011,2,-0.040504
20220504,20220506,dynamic,4300.39,4123.67,4310.0,4320.0,4.0,0,0.6667,0.66,394.0,1,0,103664.0,25.42,95.42,1.0,0.021426,136.62,119.21,99.21,41.9,52.8,0.1415,2,-0.00919
20220505,20220509,dynamic,4147.69,3991.36,4155.0,4165.0,4.0,0,0.6667,0.66,394.0,1,0,104058.0,31.2,25.35,1.0,-0.008237,46.65,122.74,108.11,37.7,18.9,-0.6967,2,-0.040686
20220506,20220510,dynamic,4123.67,4000.99,4130.0,4140.0,4.0,0,0.6667,0.66,394.0,1,0,104452.0,30.19,62.11,1.0,-0.013599,99.58,4.5,111.67,36.9,13.6,-0.4706,2,-0.04207
20220510,20220512,dynamic,4000.99,3930.29,4010.0,4020.0,4.0,0,0.6667,0.66,394.0,1,0,104846.0,32.99,38.7,1.0,-0.027191,70.53,34.19,121.59,29.0,7.7,1.0979,3,-0.060649
20220512,20220516,dynamic,3930.29,4008.36,3940.0,3950.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,104244.0,31.77,67.42,1.0,-0.016521,107.82,26.34,119.56,32.4,15.9,-0.7954,3,-0.066526
20220513,20220517,dynamic,4023.86,4088.93,4030.0,4040.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,103642.0,28.87,79.97,1.0,0.011948,117.58,59.96,120.3,36.9,36.7,0.8552,2,-0.040098
20220516,20220518,dynamic,4008.36,3924.18,4015.0,4025.0,4.0,0,0.6667,0.66,394.0,1,0,104036.0,27.47,39.01,1.0,0.007189,61.55,4.66,116.09,41.1,33.3,-0.2694,2,-0.039403
20220517,20220519,dynamic,4088.93,3900.72,4095.0,4105.0,4.0,0,0.6667,0.66,394.0,1,0,104430.0,26.1,96.85,1.0,0.022913,138.21,36.93,116.42,45.3,51.2,1.0887,1,-0.015688
20220519,20220523,dynamic,3900.72,3973.85,3910.0,3920.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,103828.0,29.35,34.79,1.0,-0.022182,63.69,1.72,113.44,37.7,9.3,-0.6417,3,-0.049228
20220520,20220524,dynamic,3901.37,3942.21,3910.0,3920.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,103226.0,29.43,68.41,1.0,-0.015976,109.05,26.39,115.28,36.1,18.3,0.6932,2,-0.044755
20220523,20220525,dynamic,3973.85,3979.0,3980.0,3990.0,4.0,0,0.6667,0.66,394.0,1,0,103620.0,28.48,88.98,1.0,0.004053,132.36,54.43,117.24,39.6,32.9,0.4627,2,-0.023151
20220524,20220526,dynamic,3942.21,4057.94,3950.0,3960.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,103018.0,29.45,83.28,1.0,0.003499,124.53,0.73,112.95,29.5,28.7,-0.7778,1,-0.028146
