entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20220408,15:55:00,PUT,4470,4460,10.0,0.05,0.1,0.15,0.0,0.05,15,21.55,16.6,0.0,45.0,WIN,16:00:00,4486.6,4488.68,100045.0
20220408,15:55:00,CALL,4500,4510,10.0,0.05,0.1,0.2,0.0,0.05,15,21.55,13.4,0.0,45.0,WIN,16:00:00,4486.6,4488.68,100090.0
20220426,15:55:00,PUT,4170,4160,10.0,0.25,0.35,0.5,0.0,0.1,15,27.02,13.5,0.0,345.0,WIN,16:00:00,4183.47,4175.2,100435.0
20220426,15:55:00,CALL,4200,4210,10.0,0.2,0.25,0.35,0.0,0.05,15,27.02,16.5,0.0,270.0,WIN,16:00:00,4183.47,4175.2,100705.0
20220503,15:55:00,PUT,4160,4150,10.0,0.15,0.2,0.25,0.0,0.05,15,32.34,18.4,0.0,195.0,WIN,16:00:00,4178.4,4175.27,100900.0
20220609,15:55:00,CALL,4045,4055,10.0,0.05,0.1,0.15,0.0,0.05,15,23.96,14.1,0.0,45.0,WIN,16:00:00,4030.89,4017.74,100945.0
20220624,15:55:00,CALL,3920,3930,10.0,0.05,0.1,0.2,0.0,0.05,15,29.05,12.6,0.0,45.0,WIN,16:00:00,3907.41,3912.15,100990.0
20220627,15:55:00,PUT,3880,3870,10.0,0.05,0.1,0.2,0.0,0.05,15,27.23,12.3,0.0,45.0,WIN,16:00:00,3892.31,3900.35,101035.0
20220628,15:55:00,CALL,3840,3850,10.0,0.05,0.1,0.15,0.0,0.05,15,26.95,12.1,0.0,45.0,WIN,16:00:00,3827.87,3821.74,101080.0
20220705,15:55:00,CALL,3840,3850,10.0,0.05,0.1,0.15,0.0,0.05,15,26.7,12.5,0.0,45.0,WIN,16:00:00,3827.53,3831.59,101125.0
20220707,15:55:00,PUT,3890,3880,10.0,0.05,0.1,0.15,0.0,0.05,15,26.73,12.1,0.0,45.0,WIN,16:00:00,3902.06,3902.43,101170.0
20220902,15:55:00,PUT,3910,3900,10.0,0.1,0.2,0.3,0.05,0.1,15,25.56,12.8,0.0,120.0,WIN,16:00:00,3922.84,3924.41,101290.0
20220902,15:55:00,CALL,3935,3945,10.0,0.1,0.15,0.25,0.0,0.05,15,25.56,12.2,0.0,120.0,WIN,16:00:00,3922.84,3924.41,101410.0
20220908,15:55:00,PUT,3990,3980,10.0,0.05,0.1,0.15,0.0,0.05,15,24.64,12.2,0.0,45.0,WIN,16:00:00,4002.16,4006.09,101455.0
20221003,15:55:00,CALL,3695,3705,10.0,0.05,0.1,0.15,0.0,0.05,15,31.62,13.3,0.0,45.0,WIN,16:00:00,3681.73,3678.43,101500.0
20221011,15:55:00,PUT,3575,3565,10.0,0.05,0.1,0.2,0.0,0.05,15,32.45,13.8,0.0,45.0,WIN,16:00:00,3588.77,3588.7,101545.0
20221013,15:55:00,PUT,3665,3655,10.0,0.15,0.3,0.4,0.05,0.15,15,33.57,12.4,0.0,195.0,WIN,16:00:00,3677.41,3669.86,101740.0
20221013,15:55:00,CALL,3690,3700,10.0,0.1,0.2,0.3,0.05,0.1,15,33.57,12.6,0.0,120.0,WIN,16:00:00,3677.41,3669.86,101860.0
20221020,15:55:00,PUT,3660,3650,10.0,0.05,0.1,0.2,0.0,0.05,15,30.76,12.8,0.0,45.0,WIN,16:00:00,3672.78,3665.58,101905.0
20221020,15:55:00,CALL,3685,3695,10.0,0.05,0.1,0.15,0.0,0.05,15,30.76,12.2,0.0,45.0,WIN,16:00:00,3672.78,3665.58,101950.0
20221118,15:55:00,CALL,3970,3980,10.0,0.05,0.1,0.2,0.0,0.05,15,23.93,12.4,0.0,45.0,WIN,16:00:00,3957.57,3965.48,101995.0
20221209,15:55:00,PUT,3925,3915,10.0,0.05,0.1,0.15,0.0,0.05,15,22.29,13.2,0.0,45.0,WIN,16:00:00,3938.19,3934.29,102040.0
20221213,15:55:00,PUT,4015,4005,10.0,0.05,0.1,0.2,0.0,0.05,15,25.0,13.9,0.0,45.0,WIN,16:00:00,4028.95,4019.95,102085.0
20221216,15:55:00,PUT,3845,3835,10.0,0.05,0.1,0.15,0.0,0.05,15,22.83,13.1,0.0,45.0,WIN,16:00:00,3858.07,3852.13,102130.0
20221230,15:55:00,PUT,3825,3815,10.0,0.15,0.3,0.35,0.05,0.15,15,21.44,13.5,0.0,195.0,WIN,16:00:00,3838.49,3839.53,102325.0
20230202,15:55:00,PUT,4160,4150,10.0,0.05,0.1,0.15,0.0,0.05,15,17.87,12.7,0.0,45.0,WIN,16:00:00,4172.73,4179.73,102370.0
20230203,15:55:00,PUT,4125,4115,10.0,0.05,0.1,0.15,0.0,0.05,15,18.73,12.6,0.0,45.0,WIN,16:00:00,4137.61,4136.42,102415.0
20230203,15:55:00,CALL,4150,4160,10.0,0.05,0.1,0.2,0.0,0.05,15,18.73,12.4,0.0,45.0,WIN,16:00:00,4137.61,4136.42,102460.0
20230316,15:55:00,PUT,3945,3935,10.0,0.05,0.1,0.15,0.0,0.05,15,26.14,12.3,0.0,45.0,WIN,16:00:00,3957.3,3960.33,102505.0
20230316,15:55:00,CALL,3970,3980,10.0,0.15,0.2,0.25,0.0,0.05,15,26.14,12.7,0.0,195.0,WIN,16:00:00,3957.3,3960.33,102700.0
20230331,15:55:00,CALL,4115,4125,10.0,0.05,0.1,0.15,0.0,0.05,15,19.02,12.9,0.0,45.0,WIN,16:00:00,4102.06,4108.93,102745.0
20230928,15:55:00,PUT,4285,4275,10.0,0.05,0.1,0.15,0.0,0.05,15,18.22,12.5,0.0,45.0,WIN,16:00:00,4297.52,4299.73,102790.0
20230929,15:55:00,CALL,4310,4320,10.0,0.05,0.1,0.15,0.0,0.05,15,17.34,16.3,0.0,45.0,WIN,16:00:00,4293.71,4288.24,102835.0
20231006,15:55:00,PUT,4295,4285,10.0,0.05,0.1,0.15,0.0,0.05,15,18.49,14.6,0.0,45.0,WIN,16:00:00,4309.57,4308.48,102880.0
