entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20250102,15:55:00,PUT,5850,5840,10.0,0.2,0.3,0.35,0.0,0.1,15,17.35,14.6,0.0,270.0,WIN,16:00:00,5864.63,5868.56,100270.0
20250107,15:55:00,PUT,5895,5885,10.0,0.2,0.25,0.35,0.0,0.05,15,16.04,12.8,0.0,270.0,WIN,16:00:00,5907.75,5909.04,100540.0
20250110,15:55:00,PUT,5815,5805,10.0,0.05,0.1,0.2,0.0,0.05,15,17.7,15.6,0.0,45.0,WIN,16:00:00,5830.57,5827.02,100585.0
20250127,15:55:00,CALL,6015,6025,10.0,0.05,0.1,0.15,0.0,0.05,15,14.85,15.7,0.0,45.0,WIN,16:00:00,5999.29,6012.31,100630.0
20250131,15:55:00,PUT,6025,6015,10.0,0.4,0.6,0.65,0.15,0.2,15,15.84,14.4,0.0,570.0,WIN,16:00:00,6039.4,6040.46,101200.0
20250203,15:55:00,CALL,6015,6025,10.0,0.15,0.25,0.35,0.05,0.1,15,16.43,13.3,0.0,195.0,WIN,16:00:00,6001.67,5994.63,101395.0
20250207,15:55:00,PUT,6015,6005,10.0,0.05,0.1,0.15,0.0,0.05,15,15.5,13.6,0.0,45.0,WIN,16:00:00,6028.62,6025.99,101440.0
20250221,15:55:00,PUT,6005,5995,10.0,0.05,0.1,0.2,0.0,0.05,15,15.66,12.6,0.0,45.0,WIN,16:00:00,6017.61,6013.23,101485.0
20250225,15:55:00,PUT,5935,5925,10.0,0.15,0.25,0.35,0.05,0.1,15,18.98,15.3,0.0,195.0,WIN,16:00:00,5950.3,5955.34,101680.0
20250227,15:55:00,PUT,5855,5845,10.0,0.15,0.25,0.35,0.0,0.1,15,19.1,14.2,0.0,195.0,WIN,16:00:00,5869.16,5861.68,101875.0
20250306,15:55:00,PUT,5730,5720,10.0,0.85,1.3,1.55,0.35,0.45,15,21.93,14.4,0.0,1245.0,WIN,16:00:00,5744.37,5738.5,103120.0
