entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20220110,15:55:00,PUT,4645,4620,25.0,0.05,0.1,0.2,0.0,0.05,10,18.76,15.3,0.0,30.0,WIN,16:00:00,4660.28,4670.29,100030.0
20220110,15:55:00,CALL,4675,4700,25.0,0.05,0.1,0.15,0.0,0.05,2,18.76,14.7,0.0,6.0,WIN,16:00:00,4660.28,4670.29,100036.0
20220114,15:55:00,PUT,4650,4625,25.0,0.15,0.2,0.25,0.0,0.05,10,20.31,13.5,0.0,130.0,WIN,16:00:00,4663.47,4662.82,100166.0
20220118,15:55:00,PUT,4555,4530,25.0,0.1,0.15,0.3,0.0,0.05,10,19.19,14.3,0.0,80.0,WIN,16:00:00,4569.34,4577.34,100246.0
20220118,15:55:00,CALL,4585,4610,25.0,0.15,0.2,0.3,0.0,0.05,2,19.19,15.7,0.0,26.0,WIN,16:00:00,4569.34,4577.34,100272.0
20220121,15:55:00,PUT,4385,4360,25.0,0.4,0.45,0.8,0.0,0.05,10,25.59,13.7,0.0,380.0,WIN,16:00:00,4398.74,4397.73,100652.0
20220121,15:55:00,CALL,4415,4440,25.0,0.3,0.35,0.6,0.0,0.05,2,25.59,16.3,0.0,56.0,WIN,16:00:00,4398.74,4397.73,100708.0
20220128,15:55:00,PUT,4405,4380,25.0,0.25,0.3,0.55,0.0,0.05,10,30.49,15.9,0.0,230.0,WIN,16:00:00,4420.86,4432.0,100938.0
20220128,15:55:00,CALL,4435,4460,25.0,0.35,0.4,0.6,0.0,0.05,2,30.49,14.1,0.0,66.0,WIN,16:00:00,4420.86,4432.0,101004.0
20220207,15:55:00,PUT,4460,4435,25.0,0.25,0.3,0.5,0.0,0.05,10,23.22,14.1,0.0,230.0,WIN,16:00:00,4474.05,4483.92,101234.0
20220207,15:55:00,CALL,4490,4515,25.0,0.15,0.2,0.4,0.0,0.05,2,23.22,15.9,0.0,26.0,WIN,16:00:00,4474.05,4483.92,101260.0
20220222,15:55:00,PUT,4280,4255,25.0,0.35,0.45,0.75,0.0,0.1,10,27.75,12.4,0.0,330.0,WIN,16:00:00,4292.45,4304.66,101590.0
20220222,15:55:00,CALL,4305,4330,25.0,0.45,0.5,0.8,0.0,0.05,2,27.75,12.6,0.0,86.0,WIN,16:00:00,4292.45,4304.66,101676.0
20220225,15:55:00,PUT,4365,4340,25.0,0.05,0.1,0.2,0.0,0.05,10,30.32,16.4,0.0,30.0,WIN,16:00:00,4381.4,4384.62,101706.0
20220225,15:55:00,CALL,4395,4420,25.0,0.25,0.3,0.45,0.0,0.05,2,30.32,13.6,0.0,46.0,WIN,16:00:00,4381.4,4384.62,101752.0
20220304,15:55:00,PUT,4310,4285,25.0,0.2,0.3,0.5,0.05,0.1,10,30.48,15.6,0.0,180.0,WIN,16:00:00,4325.56,4328.87,101932.0
20220304,15:55:00,CALL,4340,4365,25.0,0.15,0.2,0.35,0.0,0.05,2,30.48,14.4,0.0,26.0,WIN,16:00:00,4325.56,4328.87,101958.0
20220307,15:55:00,PUT,4185,4160,25.0,0.15,0.2,0.3,0.0,0.05,10,31.98,16.1,0.0,130.0,WIN,16:00:00,4201.06,4200.89,102088.0
20220307,15:55:00,CALL,4215,4240,25.0,0.3,0.35,0.55,0.0,0.05,2,31.98,13.9,0.0,56.0,WIN,16:00:00,4201.06,4200.89,102144.0
20220311,15:55:00,PUT,4195,4170,25.0,0.35,0.4,0.45,0.0,0.05,10,30.23,12.5,0.0,330.0,WIN,16:00:00,4207.48,4204.36,102474.0
20220311,15:55:00,CALL,4220,4245,25.0,0.15,0.2,0.35,0.0,0.05,2,30.23,12.5,0.0,26.0,WIN,16:00:00,4207.48,4204.36,102500.0
20220314,15:55:00,PUT,4155,4130,25.0,0.15,0.2,0.4,0.0,0.05,10,30.75,12.9,0.0,130.0,WIN,16:00:00,4167.89,4173.06,102630.0
20220314,15:55:00,CALL,4180,4205,25.0,0.2,0.25,0.4,0.0,0.05,2,30.75,12.1,0.0,36.0,WIN,16:00:00,4167.89,4173.06,102666.0
20220318,15:55:00,PUT,4445,4420,25.0,0.05,0.1,0.2,0.0,0.05,10,25.67,15.3,0.0,30.0,WIN,16:00:00,4460.3,4463.08,102696.0
20220331,15:55:00,PUT,4530,4505,25.0,0.6,0.7,0.9,0.05,0.1,10,19.33,15.9,0.0,580.0,WIN,16:00:00,4545.94,4530.5,103276.0
20220331,15:55:00,CALL,4560,4585,25.0,0.65,0.7,0.85,0.0,0.05,2,19.33,14.1,0.0,126.0,WIN,16:00:00,4545.94,4530.5,103402.0
20220408,15:55:00,PUT,4470,4445,25.0,0.05,0.1,0.15,0.0,0.05,10,21.55,16.6,0.0,30.0,WIN,16:00:00,4486.6,4488.68,103432.0
20220408,15:55:00,CALL,4500,4525,25.0,0.05,0.1,0.2,0.0,0.05,2,21.55,13.4,0.0,6.0,WIN,16:00:00,4486.6,4488.68,103438.0
20220414,15:55:00,CALL,4410,4435,25.0,0.05,0.1,0.2,0.0,0.05,10,21.82,13.4,0.0,30.0,WIN,16:00:00,4396.61,4392.62,103468.0
