entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20220128,15:58:00,CALL,4440,4460,20.0,0.05,0.1,0.25,0.0,0.05,10,30.49,13.1,0.0,30.0,WIN,16:00:00,4426.89,4432.0,100030.0
20220304,15:58:00,PUT,4315,4295,20.0,0.1,0.15,0.3,0.0,0.05,10,30.48,13.2,0.0,80.0,WIN,16:00:00,4328.18,4328.87,100110.0
20220422,15:58:00,CALL,4290,4310,20.0,0.15,0.2,0.3,0.0,0.05,10,22.68,14.9,0.0,130.0,WIN,16:00:00,4275.15,4271.94,100240.0
20220509,15:58:00,PUT,3980,3960,20.0,0.05,0.1,0.25,0.0,0.05,10,30.19,16.2,0.0,30.0,WIN,16:00:00,3996.18,3991.36,100270.0
20220509,15:58:00,CALL,4010,4030,20.0,0.15,0.2,0.3,0.0,0.05,5,30.19,13.8,0.0,65.0,WIN,16:00:00,3996.18,3991.36,100335.0
20220513,15:58:00,PUT,4005,3985,20.0,0.05,0.1,0.2,0.0,0.05,10,31.77,14.9,0.0,30.0,WIN,16:00:00,4019.86,4023.86,100365.0
20230929,15:58:00,PUT,4275,4255,20.0,0.05,0.1,0.15,0.0,0.05,10,17.34,14.8,0.0,30.0,WIN,16:00:00,4289.8,4288.24,100395.0
20240531,15:58:00,CALL,5285,5305,20.0,0.1,0.15,0.2,0.0,0.05,10,14.47,12.5,0.0,80.0,WIN,16:00:00,5272.51,5277.8,100475.0
20240628,15:58:00,PUT,5450,5430,20.0,0.05,0.1,0.15,0.0,0.05,10,12.24,14.8,0.0,30.0,WIN,16:00:00,5464.76,5460.71,100505.0
20240802,15:58:00,PUT,5330,5310,20.0,0.4,0.5,0.55,0.0,0.1,10,18.59,14.2,0.0,380.0,WIN,16:00:00,5344.24,5346.5,100885.0
20240906,15:58:00,PUT,5395,5375,20.0,0.05,0.1,0.15,0.0,0.05,10,19.9,13.9,0.0,30.0,WIN,16:00:00,5408.85,5408.52,100915.0
20240930,15:58:00,CALL,5780,5800,20.0,0.1,0.15,0.25,0.0,0.05,10,16.96,15.0,0.0,80.0,WIN,16:00:00,5765.0,5762.4,100995.0
20241231,15:58:00,PUT,5865,5845,20.0,0.05,0.1,0.15,0.0,0.05,10,17.4,15.9,0.0,30.0,WIN,16:00:00,5880.88,5881.79,101025.0
20250131,15:58:00,PUT,6030,6010,20.0,0.1,0.15,0.2,0.0,0.05,10,15.84,12.1,0.0,80.0,WIN,16:00:00,6042.09,6040.46,101105.0
20250310,15:58:00,PUT,5600,5580,20.0,0.25,0.3,0.4,0.0,0.05,10,23.37,12.3,0.0,230.0,WIN,16:00:00,5612.31,5614.62,101335.0
20250530,15:58:00,PUT,5905,5885,20.0,0.2,0.25,0.35,0.0,0.05,10,19.18,14.6,0.0,180.0,WIN,16:00:00,5919.61,5911.62,101515.0
20250530,15:58:00,CALL,5935,5955,20.0,0.25,0.3,0.35,0.0,0.05,5,19.18,15.4,0.0,115.0,WIN,16:00:00,5919.61,5911.62,101630.0
20260309,15:58:00,CALL,6810,6830,20.0,0.15,0.2,0.3,0.0,0.05,10,29.49,12.4,0.0,130.0,WIN,16:00:00,6797.62,6795.9,101760.0
