entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,short_bid,short_ask,long_bid,long_ask,qty,vix_level,otm_distance,exit_value,pnl,outcome,close_time,spx_at_entry,spx_at_exit,equity_after
20250110,15:55:00,PUT,5820,5805,15.0,0.25,0.3,0.4,0.0,0.05,15,17.7,10.6,0.0,345.0,WIN,16:00:00,5830.57,5827.02,100345.0
20250124,15:55:00,PUT,6085,6070,15.0,0.1,0.15,0.25,0.0,0.05,15,15.02,11.6,0.0,120.0,WIN,16:00:00,6096.61,6101.24,100465.0
20250131,15:55:00,PUT,6025,6010,15.0,0.5,0.6,0.65,0.05,0.1,15,15.84,14.4,0.0,720.0,WIN,16:00:00,6039.4,6040.46,101185.0
20250207,15:55:00,PUT,6015,6000,15.0,0.05,0.1,0.15,0.0,0.05,15,15.5,13.6,0.0,45.0,WIN,16:00:00,6028.62,6025.99,101230.0
20250221,15:55:00,PUT,6005,5990,15.0,0.05,0.1,0.2,0.0,0.05,15,15.66,12.6,0.0,45.0,WIN,16:00:00,6017.61,6013.23,101275.0
20250314,15:55:00,CALL,5655,5670,15.0,0.2,0.25,0.3,0.0,0.05,15,24.66,13.3,0.0,270.0,WIN,16:00:00,5641.66,5638.94,101545.0
20250321,15:55:00,CALL,5670,5685,15.0,0.25,0.3,0.4,0.0,0.05,15,19.8,11.6,0.0,345.0,WIN,16:00:00,5658.42,5667.35,101890.0
20250328,15:55:00,PUT,5575,5560,15.0,0.4,0.45,0.6,0.0,0.05,15,18.69,10.7,0.0,570.0,WIN,16:00:00,5585.68,5580.95,102460.0
20250502,15:55:00,CALL,5700,5715,15.0,0.2,0.3,0.4,0.05,0.1,15,24.6,11.1,0.0,270.0,WIN,16:00:00,5688.85,5686.63,102730.0
20250509,15:55:00,PUT,5655,5640,15.0,0.1,0.15,0.25,0.0,0.05,15,22.48,10.5,0.0,120.0,WIN,16:00:00,5665.48,5659.91,102850.0
20250509,15:55:00,CALL,5680,5695,15.0,0.05,0.1,0.2,0.0,0.05,5,22.48,14.5,0.0,15.0,WIN,16:00:00,5665.48,5659.91,102865.0
20250516,15:55:00,CALL,5965,5980,15.0,0.05,0.1,0.2,0.0,0.05,15,17.83,11.7,0.0,45.0,WIN,16:00:00,5953.32,5958.38,102910.0
20250523,15:55:00,CALL,5815,5830,15.0,0.25,0.3,0.45,0.0,0.05,15,20.28,13.1,0.0,345.0,WIN,16:00:00,5801.88,5802.83,103255.0
20250530,15:55:00,PUT,5895,5880,15.0,1.2,1.4,1.6,0.15,0.2,15,19.18,11.8,0.0,1770.0,WIN,16:00:00,5906.79,5911.62,105025.0
20250530,15:55:00,CALL,5920,5935,15.0,0.65,0.85,1.05,0.1,0.2,6,19.18,13.2,0.0,378.0,WIN,16:00:00,5906.79,5911.62,105403.0
20250613,15:55:00,PUT,5955,5940,15.0,0.1,0.2,0.35,0.05,0.1,15,18.02,12.9,0.0,120.0,WIN,16:00:00,5967.88,5976.96,105523.0
20250620,15:55:00,PUT,5955,5940,15.0,0.05,0.1,0.2,0.0,0.05,15,20.14,10.9,0.0,45.0,WIN,16:00:00,5965.85,5967.83,105568.0
20250711,15:55:00,PUT,6250,6235,15.0,0.05,0.1,0.15,0.0,0.05,15,15.78,10.3,0.0,45.0,WIN,16:00:00,6260.26,6259.75,105613.0
20250801,15:55:00,PUT,6230,6215,15.0,0.35,0.4,0.5,0.0,0.05,15,16.72,10.6,0.0,495.0,WIN,16:00:00,6240.59,6238.01,106108.0
20250815,15:55:00,PUT,6440,6425,15.0,0.05,0.1,0.15,0.0,0.05,15,14.83,10.2,0.0,45.0,WIN,16:00:00,6450.17,6449.79,106153.0
20250829,15:55:00,PUT,6440,6425,15.0,0.1,0.15,0.2,0.0,0.05,15,14.43,11.2,0.0,120.0,WIN,16:00:00,6451.23,6460.27,106273.0
20250905,15:55:00,PUT,6465,6450,15.0,0.1,0.15,0.2,0.0,0.05,15,15.3,10.1,0.0,120.0,WIN,16:00:00,6475.13,6481.52,106393.0
20251010,15:55:00,PUT,6545,6530,15.0,1.0,1.4,1.6,0.3,0.4,15,16.43,14.4,0.0,1470.0,WIN,16:00:00,6559.43,6552.5,107863.0
20251031,15:55:00,PUT,6840,6825,15.0,0.3,0.4,0.45,0.05,0.1,15,16.91,11.2,0.0,420.0,WIN,16:00:00,6851.19,6840.25,108283.0
20251107,15:55:00,CALL,6730,6745,15.0,0.05,0.1,0.15,0.0,0.05,15,19.5,12.7,0.0,45.0,WIN,16:00:00,6717.31,6728.81,108328.0
20260102,15:55:00,PUT,6840,6825,15.0,0.05,0.1,0.15,0.0,0.05,15,14.95,11.1,0.0,45.0,WIN,16:00:00,6851.14,6858.45,108373.0
20260130,15:55:00,PUT,6925,6910,15.0,0.25,0.35,0.5,0.05,0.1,15,16.88,10.3,0.0,345.0,WIN,16:00:00,6935.26,6939.14,108718.0
20260130,15:55:00,CALL,6950,6965,15.0,0.15,0.2,0.25,0.0,0.05,5,16.88,14.7,0.0,65.0,WIN,16:00:00,6935.26,6939.14,108783.0
20260206,15:55:00,CALL,6955,6970,15.0,0.15,0.2,0.25,0.0,0.05,15,21.77,13.4,0.0,195.0,WIN,16:00:00,6941.56,6932.25,108978.0
20260227,15:55:00,CALL,6885,6900,15.0,0.15,0.2,0.3,0.0,0.05,15,18.63,13.8,0.0,195.0,WIN,16:00:00,6871.25,6878.88,109173.0
20260306,15:55:00,PUT,6720,6705,15.0,0.05,0.1,0.15,0.0,0.05,15,23.75,19.5,0.0,45.0,WIN,16:00:00,6739.47,6739.96,109218.0
20260320,15:55:00,PUT,6490,6475,15.0,0.15,0.25,0.3,0.05,0.1,15,24.06,14.4,0.0,195.0,WIN,16:00:00,6504.36,6506.68,109413.0
